Path
"[348981, 345132]"
"[536859, 502542]"
"[680672, 680671, 679304]"
"[653746, 657556, 657555]"
"[85894, 83893]"
"[421330, 421331, 421332]"
"[709745, 709085]"
"[137667, 136306]"
"[308735, 308733, 298482]"
"[291832, 272633]"
"[713305, 713280, 713303]"
"[716208, 715016]"
"[262789, 277306]"
"[127498, 126480]"
"[701896, 701894, 701881]"
"[64008, 55849]"
"[86388, 84720]"
"[401835, 392018]"
"[829638, 829530, 829442]"
"[13455, 13422]"
"[816487, 814036]"
"[723375, 722329]"
"[296660, 296131]"
"[513754, 513753]"
"[805762, 797433]"
"[642971, 602491]"
"[77586, 75748]"
"[745901, 745902, 745903]"
"[419693, 419694, 419695]"
"[499880, 497792]"
"[431634, 435526, 426824]"
"[569101, 568762, 569084]"
"[441666, 440628]"
"[809140, 809169]"
"[598123, 588179]"
"[682390, 682186, 658348]"
"[793034, 793033, 645607]"
"[582159, 582287, 581441]"
"[787609, 787494, 773856]"
"[87357, 72449]"
"[560025, 563203, 563263, 559161]"
"[694141, 625799, 621602]"
"[710406, 709447]"
"[852596, 780692]"
"[837799, 837798, 837703]"
"[512928, 512930, 510444]"
"[599251, 599226]"
"[687228, 687227, 687226, 686125]"
"[828148, 797428]"
"[737934, 737927]"
"[824755, 824754, 824756, 824643]"
"[500223, 496604]"
"[86077, 78221]"
"[19878, 17761]"
"[521917, 521914]"
"[312088, 311981]"
"[229988, 229875]"
"[833693, 823734]"
"[752858, 752856, 752859, 745637]"
"[772409, 772219, 772147]"
"[387417, 387389]"
"[746229, 746228, 745734]"
"[613441, 584215]"
"[142798, 142796]"
"[662782, 648157]"
"[828147, 820056]"
"[513245, 511199]"
"[771196, 769779, 762217, 758812, 755514]"
"[804445, 800925]"
"[665198, 661857]"
"[831768, 831816]"
"[805006, 805002, 805005, 805003, 767196]"
"[172063, 164972]"
"[252965, 230453, 229912]"
"[308509, 308409]"
"[748602, 746697, 732697]"
"[679200, 679198, 679197, 679053]"
"[811762, 809955]"
"[797702, 764816]"
"[601259, 587793]"
"[709856, 709833, 709654, 708908]"
"[195249, 198511]"
"[443759, 385423]"
"[92452, 92441]"
"[545315, 543517]"
"[344390, 344383]"
"[607562, 607566, 606354]"
"[518522, 514867]"
"[793561, 793565, 793560, 784937]"
"[712938, 723829]"
"[393138, 391459]"
"[356769, 356778]"
"[528272, 528181]"
"[502681, 500952]"
"[349549, 296850, 285982]"
"[14628, 14580]"
"[741941, 741482]"
"[860314, 838959]"
"[373574, 352919]"
"[403274, 402048]"
"[500225, 499704]"
"[44857, 44600]"
"[435079, 328721]"
"[742075, 735555]"
"[664068, 663784]"
"[238173, 238236, 236145]"
"[262544, 262543]"
"[165085, 164480]"
"[395041, 350830]"
"[445048, 420202]"
"[100643, 100468]"
"[325971, 323545]"
"[273430, 198833]"
"[700703, 700701, 700702, 699963]"
"[750056, 747299, 741303]"
"[349250, 344825]"
"[380087, 345103, 345060]"
"[349897, 349898, 196482]"
"[776416, 771241, 771240, 768252]"
"[724854, 724342, 723632, 722356, 713268]"
"[838706, 838827]"
"[673804, 673328]"
"[82601, 74247]"
"[474196, 473884]"
"[50497, 48746]"
"[437502, 424125]"
"[744914, 744915, 744916, 744138]"
"[790107, 788097]"
"[383030, 367562]"
"[711340, 711207]"
"[326931, 324267]"
"[709260, 709210]"
"[787525, 787266]"
"[519209, 418772]"
"[483092, 483298]"
"[189574, 137624]"
"[104161, 102533]"
"[788520, 786037]"
"[817259, 817113]"
"[546935, 480271]"
"[734830, 694733, 694731, 694732, 693189]"
"[400063, 394736]"
"[402369, 398926]"
"[685056, 655406]"
"[659320, 659318, 659317, 658845]"
"[747961, 740417, 740414, 739946]"
"[443144, 442519]"
"[563109, 560985]"
"[749433, 749434, 588434]"
"[212596, 167124]"
"[58100, 56120]"
"[616151, 593275]"
"[175740, 173715, 144409]"
"[141845, 141816]"
"[739434, 739435, 739433, 739364]"
"[302588, 302524]"
"[330548, 330616]"
"[774411, 773875]"
"[528810, 528808, 497419]"
"[643472, 643473, 643474, 643468]"
"[315684, 309319]"
"[433063, 433064]"
"[173578, 164512]"
"[406896, 397276]"
"[716985, 717196, 717195]"
"[145374, 145269]"
"[675155, 658523]"
"[127246, 121072]"
"[233063, 213742]"
"[712988, 706765]"
"[583107, 582942, 581634]"
"[108122, 101666]"
"[679965, 660423]"
"[192120, 192121]"
"[230035, 229689, 230026, 230257, 230039, 230059, 230021]"
"[680524, 680523, 680522, 679149]"
"[262040, 261499]"
"[96048, 87387]"
"[82695, 75552]"
"[541018, 542323, 542290]"
"[593539, 593538, 583943]"
"[747289, 743862]"
"[739588, 739585, 733913]"
"[509122, 500757]"
"[812690, 811987]"
"[311732, 309409]"
"[677181, 688452, 688449, 688448, 688447, 660123]"
"[525727, 525348]"
"[207564, 206921]"
"[810980, 795918]"
"[719416, 719422, 715494]"
"[148958, 148959, 139245]"
"[453350, 449181, 448182]"
"[603751, 603752, 603077, 602923]"
"[287602, 263669]"
"[689202, 686089]"
"[735869, 735868, 732587]"
"[448090, 447991]"
"[383551, 374679]"
"[378122, 378120]"
"[682606, 682599, 682605, 676182]"
"[811200, 809473]"
"[7853, 7608]"
"[777311, 777309, 777129, 677925]"
"[372817, 373635]"
"[191642, 156466]"
"[670237, 668560]"
"[736825, 736826, 741421, 736824]"
"[64000, 63942]"
"[852960, 852515]"
"[837316, 835971, 835958, 834248]"
"[864475, 851917]"
"[288959, 296528, 296527, 288957]"
"[767329, 767328, 767327, 765345]"
"[750626, 744689]"
"[699928, 699674]"
"[588571, 537363]"
"[840652, 839842, 818114]"
"[740894, 696227]"
"[604879, 584087]"
"[853936, 853336, 851958]"
"[768327, 768313, 768265, 767711]"
"[87734, 65164]"
"[496344, 495950]"
"[379236, 372860]"
"[460157, 451124]"
"[766825, 766177, 759348]"
"[387584, 387553]"
"[493589, 492991]"
"[591930, 591374]"
"[165100, 165067, 122257]"
"[301034, 290526]"
"[327045, 326380]"
"[663408, 663407, 663406, 662032]"
"[85504, 80554]"
"[120239, 120233, 117652]"
"[578612, 465787]"
"[690619, 689582, 655784]"
"[739116, 741308, 741310, 741309]"
"[521225, 521227, 520641, 515962]"
"[176125, 170145]"
"[270901, 270830]"
"[661397, 659428]"
"[399895, 399890, 399888]"
"[629813, 626128]"
"[279770, 279762]"
"[291804, 288052]"
"[7618, 6061]"
"[564825, 567901, 566865, 566864]"
"[350400, 336566]"
"[472776, 402528]"
"[520059, 516883]"
"[527020, 473522]"
"[603773, 603770, 602887, 602881]"
"[98138, 94153]"
"[518132, 516247]"
"[352220, 351963]"
"[263383, 246542]"
"[823356, 823353, 823354, 821115]"
"[756460, 747349]"
"[129371, 125610]"
"[361059, 355843]"
"[622500, 622498, 620118]"
"[728478, 728476, 672466]"
"[615333, 615332, 615291]"
"[343937, 331788]"
"[5359, 4721]"
"[566944, 566050]"
"[463861, 455749]"
"[519921, 519920, 519922, 514990]"
"[816334, 811953]"
"[448507, 448506]"
"[117546, 113886]"
"[702058, 693358]"
"[806870, 806868, 806869, 806866, 806424]"
"[13718, 13667, 13652]"
"[408222, 399857]"
"[686788, 685764]"
"[608071, 606043]"
"[494074, 494073, 492286]"
"[275777, 275770]"
"[606905, 539091]"
"[788987, 787450, 788986, 788359]"
"[250779, 236983]"
"[847170, 847623, 847622]"
"[814840, 796671, 792359, 779461, 775545]"
"[848409, 848408]"
"[157962, 157938]"
"[692912, 692754, 692195]"
"[12828, 13089]"
"[550902, 542615]"
"[847151, 763011]"
"[390922, 359519]"
"[397651, 397135, 395478]"
"[286144, 284481]"
"[408180, 408619, 408618]"
"[672324, 676020]"
"[729765, 711547, 711545, 664618]"
"[379887, 379905, 331567]"
"[367406, 367201]"
"[610890, 609927]"
"[739117, 737284]"
"[416705, 336281]"
"[562707, 562226]"
"[314547, 305318]"
"[588537, 565857]"
"[452609, 451737, 448803]"
"[7441, 6765]"
"[142483, 142478]"
"[442000, 437727]"
"[304142, 303989]"
"[463482, 461700]"
"[848550, 848405]"
"[801988, 801882, 801880, 801881, 778735]"
"[327055, 326935]"
"[136535, 134592]"
"[296783, 193485, 296803]"
"[362913, 360066]"
"[482847, 464512, 461073]"
"[608945, 585203]"
"[299028, 299024, 299026, 299022]"
"[711913, 712071, 711618]"
"[614625, 614623, 605863]"
"[440643, 447420]"
"[91928, 91714]"
"[336819, 329923]"
"[697854, 697858, 697856, 697852, 697742]"
"[432499, 458962]"
"[384586, 383620]"
"[433849, 433762]"
"[230342, 230107, 176932]"
"[862644, 818555]"
"[664501, 660345]"
"[820614, 824753, 820613, 820476]"
"[85526, 85051]"
"[772665, 772495]"
"[267483, 261461]"
"[712405, 696348]"
"[174482, 174700, 175258, 174415]"
"[420758, 413617]"
"[591372, 590721]"
"[299303, 299305, 298946]"
"[354619, 354612, 354614, 354618]"
"[794686, 794675, 794674, 794345, 778885]"
"[60447, 55366]"
"[593080, 533125]"
"[327073, 324316, 324201]"
"[812312, 809551, 805431]"
"[801581, 801582, 801298]"
"[762910, 762769]"
"[658291, 657885]"
"[434889, 432291]"
"[399122, 399048]"
"[581361, 580393]"
"[422149, 443978, 443413]"
"[777132, 777131, 777130, 777075]"
"[277121, 276908]"
"[757171, 757172]"
"[292868, 253162]"
"[849674, 849524, 849583, 849523, 849461]"
"[667055, 668567, 667507, 665641, 658154]"
"[313305, 287280]"
"[718902, 594428, 592712]"
"[511511, 506781]"
"[768259, 768258, 768256, 768175, 768257, 768174, 768248]"
"[296566, 296190]"
"[545426, 463958, 463715]"
"[662687, 659634]"
"[384877, 380063]"
"[25224, 25100]"
"[598122, 587813]"
"[145916, 145974, 145640]"
"[182731, 182303]"
"[144608, 140613]"
"[441395, 441359, 441300]"
"[741534, 741530, 725622]"
"[622304, 621172]"
"[712403, 698482]"
"[825267, 825265, 825275, 825268, 823942]"
"[787492, 705695]"
"[493108, 468697]"
"[151011, 139234]"
"[466405, 460997, 460789]"
"[664581, 647955, 650872, 650870]"
"[860072, 860071, 860069, 857490]"
"[770189, 720609]"
"[785135, 761027]"
"[254799, 241403]"
"[255226, 225962]"
"[562766, 562168]"
"[853193, 854148]"
"[859245, 854494]"
"[546011, 543543]"
"[748180, 726585]"
"[281698, 254542]"
"[520978, 509140]"
"[730588, 730586, 730582, 730445]"
"[409830, 409829, 348299]"
"[132435, 132412]"
"[648198, 651881, 648199, 648196, 648193]"
"[820627, 765276, 740129]"
"[517233, 517234, 516544]"
"[488252, 406301]"
"[750597, 712509]"
"[560604, 518305, 518308, 518310, 513015, 507509]"
"[737784, 734608]"
"[268257, 261041]"
"[785134, 780498]"
"[290843, 290847, 290715]"
"[724911, 714021]"
"[726016, 726395, 725894, 725892, 725890, 725887, 725885]"
"[602958, 602957, 602959, 602878]"
"[848733, 828169]"
"[389131, 382301]"
"[694843, 682783]"
"[658765, 658476, 658764, 658763]"
"[598326, 598325, 598324, 590157]"
"[648532, 657942, 657937, 657920]"
"[689228, 689229, 689019]"
"[422074, 416251]"
"[293551, 293555]"
"[323327, 323273]"
"[352843, 385365, 352866]"
"[757886, 757870, 752245, 748533]"
"[272585, 271499]"
"[731699, 731698, 731502]"
"[547693, 542960]"
"[487654, 469472]"
"[717992, 717997, 624989]"
"[845682, 811189]"
"[485843, 482452]"
"[137537, 135599]"
"[790265, 782308]"
"[442667, 442657]"
"[652784, 637671]"
"[141488, 141487]"
"[554523, 531465, 526079]"
"[279571, 278346]"
"[186102, 186069]"
"[321097, 319938]"
"[8129, 8078]"
"[793932, 771413, 770966, 759521]"
"[648935, 645632]"
"[754495, 740176]"
"[607108, 591592]"
"[54182, 54001]"
"[306962, 306722]"
"[60589, 60587, 57670]"
"[634079, 632830]"
"[703140, 703116, 702972, 698530, 687957]"
"[562538, 561945]"
"[197338, 200626]"
"[95921, 88490]"
"[299741, 296250]"
"[659734, 659733, 659612]"
"[125059, 117339]"
"[862249, 862535]"
"[375616, 377709]"
"[24601, 24530]"
"[710725, 710724, 710717, 710588, 702931]"
"[92418, 56151]"
"[762318, 753434]"
"[303670, 303667]"
"[235571, 235570]"
"[399688, 396191]"
"[850307, 850045]"
"[795046, 795045, 794171]"
"[689888, 580122]"
"[774659, 774611]"
"[385547, 340290]"
"[858320, 858321, 858322, 858323, 858319, 842286]"
"[385190, 387060]"
"[737759, 737761, 737660]"
"[308241, 302197]"
"[864912, 864910, 864909, 864908, 864913, 864128]"
"[599665, 587544]"
"[144477, 143786]"
"[749575, 749573, 741313]"
"[845832, 840173]"
"[192621, 178147]"
"[784587, 778210]"
"[583286, 564797]"
"[686178, 685907]"
"[678488, 678349, 678073, 677841]"
"[718922, 594412, 592734]"
"[146623, 145914]"
"[643765, 642820, 639805]"
"[757195, 757197, 757196, 756890]"
"[402015, 362757]"
"[27742, 27194]"
"[385193, 387063]"
"[507965, 507948]"
"[363090, 237149]"
"[17000, 16989]"
"[714634, 714407]"
"[154404, 103127]"
"[143682, 143519]"
"[167628, 156257, 155854]"
"[758052, 758053, 758051, 737238]"
"[414842, 414575, 412118]"
"[315940, 319210]"
"[117786, 111842]"
"[9908, 8580, 8452]"
"[562344, 559045]"
"[566432, 566376]"
"[342840, 342835, 342817, 342083]"
"[454810, 454558]"
"[729570, 729569, 725534]"
"[255092, 254206]"
"[693188, 693187, 693193, 693191, 692932]"
"[500886, 496805]"
"[237725, 237366]"
"[692171, 689546]"
"[427206, 393661]"
"[461021, 460875]"
"[689084, 688410]"
"[333580, 321888]"
"[771554, 771552, 771551, 767293]"
"[305447, 305084]"
"[822943, 822942, 822911]"
"[316798, 315688]"
"[214035, 191700]"
"[87728, 64448]"
"[216429, 215907]"
"[569225, 571305]"
"[294105, 262249]"
"[528514, 525981]"
"[660901, 660900]"
"[826227, 826226, 821182, 821211, 821183, 815459]"
"[25440, 25165]"
"[818183, 801871, 732413]"
"[380546, 380291]"
"[653820, 652998]"
"[811154, 809968]"
"[683008, 637827, 636895, 551302]"
"[828497, 827315, 828231, 828230]"
"[513794, 513797, 513800, 513091]"
"[783864, 783863, 783862, 748431]"
"[279497, 278572]"
"[128288, 126789]"
"[193628, 192220]"
"[437487, 437317]"
"[282628, 282629, 280152]"
"[281991, 268288]"
"[622520, 621220]"
"[655468, 640500, 639457]"
"[374846, 374847, 374844, 374442]"
"[575531, 574368]"
"[799581, 737012, 735560]"
"[656967, 656966]"
"[306582, 306571]"
"[321618, 294303]"
"[769841, 769840, 769842, 765552]"
"[154018, 154003]"
"[849522, 849578, 849575, 849519, 844049]"
"[562573, 562390]"
"[541463, 541462, 528473]"
"[481136, 459739]"
"[85772, 82399]"
"[153755, 144962]"
"[689603, 687983]"
"[619735, 614466]"
"[260550, 231623]"
"[308674, 308621]"
"[177686, 177670, 130824]"
"[358152, 358153, 351960]"
"[613406, 613166]"
"[297846, 297387]"
"[560064, 559301]"
"[829804, 861832, 805649]"
"[609685, 609686, 597988]"
"[122931, 96459]"
"[654561, 653993]"
"[59351, 55278]"
"[484879, 479106, 438482]"
"[784989, 784521]"
"[775308, 777219, 777209]"
"[130948, 122260]"
"[560412, 553467]"
"[819882, 819757, 819879, 818327, 813838]"
"[613951, 572291]"
"[16569, 12185]"
"[472253, 451793, 452535]"
"[56826, 56825, 56464]"
"[246848, 246361]"
"[781955, 778102, 775655, 773731]"
"[175525, 174225, 174167, 174171]"
"[290563, 290561, 288640]"
"[615957, 615962, 609420]"
"[761741, 739424]"
"[269674, 266462]"
"[608626, 548291]"
"[645127, 645125, 517578]"
"[656342, 613376]"
"[401082, 400788]"
"[14440, 13662]"
"[205542, 169333]"
"[85522, 82218]"
"[704144, 704145]"
"[222697, 222713, 166778]"
"[802846, 802842, 802840, 802697, 802848]"
"[752470, 742861]"
"[602442, 602440, 602437, 602381]"
"[244853, 196774]"
"[553205, 549739]"
"[216704, 192261]"
"[492078, 490837]"
"[320817, 319779]"
"[53229, 53153]"
"[390159, 390005]"
"[795524, 795521, 795276, 795275, 792088]"
"[661037, 661029, 661033, 650899]"
"[861306, 860823]"
"[169990, 169615]"
"[384522, 383607]"
"[134596, 134112]"
"[685718, 685114]"
"[564422, 563552]"
"[687149, 616850]"
"[248852, 248849, 241681]"
"[448471, 447265]"
"[613372, 611508]"
"[24215, 24213]"
"[514711, 497991]"
"[12865, 12867]"
"[26879, 25206]"
"[85709, 84725]"
"[622205, 622285, 622274, 622281, 620329]"
"[551254, 550099]"
"[522578, 513688]"
"[817977, 817976, 817975, 816076]"
"[443263, 443276, 442572]"
"[593410, 593409, 593408, 593411, 593097]"
"[326717, 326584]"
"[498009, 493687]"
"[440521, 442582]"
"[461370, 460486]"
"[775344, 775096, 774815, 774324]"
"[713497, 708079]"
"[825454, 825455, 825456, 824370]"
"[418296, 411776]"
"[299602, 296312]"
"[691952, 689016]"
"[28210, 25393]"
"[164754, 130765]"
"[748787, 748344]"
"[161993, 153130]"
"[703780, 693742]"
"[268837, 250543]"
"[794813, 794781]"
"[766954, 766953, 766928]"
"[748224, 734809, 714629]"
"[604963, 604962]"
"[380487, 379833]"
"[699938, 699193, 698002, 695351, 695352, 683128]"
"[784413, 784543]"
"[599451, 564534]"
"[669708, 558354]"
"[603119, 602742]"
"[613754, 613573]"
"[404989, 384652]"
"[253545, 247729]"
"[568294, 567595, 567545]"
"[762011, 761465]"
"[133098, 133099, 133009]"
"[127449, 127100]"
"[217812, 222734]"
"[316032, 316033, 279452]"
"[809496, 784955]"
"[83240, 82950]"
"[448423, 449017, 448422]"
"[207506, 192792]"
"[474738, 474739, 462285]"
"[300052, 300054]"
"[753837, 748927]"
"[317729, 317171]"
"[516226, 513293]"
"[593219, 593265]"
"[662667, 661471]"
"[156814, 156815, 156335]"
"[767298, 767297, 767296, 766971]"
"[752319, 739312]"
"[728956, 723833]"
"[742668, 742258, 742113, 741720, 741590, 740447]"
"[731210, 727221]"
"[433608, 418403]"
"[530557, 530556, 530555, 529779]"
"[840333, 840332, 840331, 840330, 838789]"
"[834600, 834601, 834602, 834603, 834599, 834598, 828687]"
"[281269, 281268, 277928]"
"[442196, 443449, 442198]"
"[191001, 190965]"
"[779601, 779600, 779599, 779445]"
"[440799, 365653]"
"[454621, 426817]"
"[320683, 320685, 320670, 306867]"
"[732687, 732688, 716340]"
"[71253, 61237, 62252, 62273, 62251, 62139, 62138, 62099, 62103, 61715, 61236, 61164]"
"[611406, 607764]"
"[460636, 460065]"
"[607499, 604353]"
"[702298, 686287]"
"[493866, 493867, 472847]"
"[154355, 153452]"
"[288784, 288211]"
"[735836, 735835, 727832]"
"[568273, 566435, 564772]"
"[466099, 466032]"
"[140652, 140407]"
"[454679, 415062]"
"[130110, 130111, 129851]"
"[758998, 758992]"
"[500521, 501252]"
"[517604, 510384]"
"[821034, 820654]"
"[448544, 424277]"
"[752633, 752710, 752237]"
"[724225, 724226, 724224, 724223, 724222, 724100]"
"[400619, 395882, 396776]"
"[697984, 697867]"
"[741411, 741586, 739661]"
"[25641, 25575, 25388]"
"[786451, 767734]"
"[662661, 662123]"
"[517138, 517139, 517140, 516360]"
"[419791, 409635]"
"[378753, 326635]"
"[240448, 234544]"
"[669612, 667561]"
"[113158, 90143]"
"[812376, 812374, 812377, 812375, 785245]"
"[644877, 644585, 644374, 643516]"
"[858038, 858235]"
"[231874, 231511]"
"[606938, 606847]"
"[650990, 641649, 647694]"
"[788438, 788227]"
"[647814, 645889]"
"[659868, 659713]"
"[758705, 758704, 758706, 758703, 740994]"
"[602083, 602084, 602080]"
"[841425, 841422, 841428, 841424, 841421]"
"[385043, 366285]"
"[499626, 499343]"
"[506892, 505384]"
"[516613, 491399]"
"[193467, 193470]"
"[764305, 761548]"
"[739002, 739772, 705317]"
"[739632, 739631, 739249]"
"[22351, 21966]"
"[213863, 212784]"
"[543238, 543121]"
"[517348, 514767]"
"[732699, 677473]"
"[230003, 230007, 202083]"
"[361520, 312270]"
"[666891, 667923, 667922]"
"[521294, 521293, 521292, 521174]"
"[69884, 57976]"
"[813983, 774173]"
"[251433, 251257]"
"[515509, 515508]"
"[781821, 781586]"
"[36575, 32841]"
"[509414, 509376]"
"[85499, 78533]"
"[673199, 673197, 600278]"
"[622534, 621198]"
"[13470, 13407]"
"[657681, 657664]"
"[71565, 62851]"
"[836424, 836423]"
"[727826, 677095]"
"[486949, 484307]"
"[844055, 844103, 844059, 844058, 844057, 844056, 842382]"
"[850036, 848992, 848715, 847422]"
"[364305, 355600]"
"[500083, 499708]"
"[620358, 620355, 612451]"
"[255949, 241572]"
"[806402, 805347]"
"[436436, 436437]"
"[88483, 102077]"
"[584208, 582824]"
"[113130, 113129, 92619]"
"[91669, 86037]"
"[541378, 510465]"
"[209678, 170637]"
"[754380, 754379, 753095]"
"[840744, 838702, 838883, 838784, 838783, 834613]"
"[155399, 155392]"
"[389492, 347597]"
"[466481, 466480, 462674]"
"[465602, 465601, 465591]"
"[796508, 794219]"
"[260479, 257361]"
"[616785, 612905]"
"[200618, 199995]"
"[407194, 390400]"
"[305337, 304385]"
"[797629, 797578, 797579, 796848]"
"[667939, 667938, 665634]"
"[774126, 769326]"
"[18616, 18610]"
"[838453, 830589, 829122]"
"[811150, 810656]"
"[17030, 14379]"
"[439679, 381233]"
"[248481, 276630]"
"[826621, 821042, 819456, 817649]"
"[836136, 836137, 817396]"
"[552553, 551796]"
"[640628, 570193]"
"[861304, 861459]"
"[864735, 864736, 864738]"
"[705942, 683429]"
"[282229, 280798]"
"[521993, 519463, 518622]"
"[314770, 318322]"
"[783919, 783920, 783786]"
"[774256, 774135, 745330]"
"[408838, 408835, 408719]"
"[546562, 546124]"
"[519755, 519752, 519738, 519753]"
"[513610, 508234]"
"[727181, 725344]"
"[744833, 744834, 744831, 744832, 744830, 744123]"
"[674266, 674265, 674264, 673579]"
"[650256, 646082]"
"[748177, 726587]"
"[324655, 324185, 323820]"
"[456094, 456109, 436822]"
"[809666, 809667, 807863]"
"[94016, 83013]"
"[675465, 674128]"
"[476365, 474817]"
"[315243, 303096]"
"[76000, 74709]"
"[803189, 799782]"
"[240806, 240236]"
"[192502, 192955, 192122]"
"[769183, 767343]"
"[669898, 668521]"
"[297047, 241357]"
"[475703, 350279]"
"[771683, 771682, 771681, 771680, 771661]"
"[599186, 599185, 599184, 599027]"
"[90244, 89434]"
