Path,length,all_abandoned,is_cross,lag,is_cross_service
"[842825, 842822]",2,False,True,0.82,False
"[785218, 741801, 741802, 785420, 741654, 809883]",6,False,True,10250.56,True
"[805616, 805613, 808165]",3,False,True,432.54,False
"[847788, 851730, 845587, 847762, 847766]",5,False,True,1173.18,False
"[838916, 848486]",2,False,False,1726.09,False
"[853211, 853661]",2,False,True,61.17,False
"[852531, 852532, 852568, 852572, 852542]",5,False,True,3.53,False
"[853652, 853655]",2,False,True,0.26,False
"[850994, 850035, 850292, 836277, 851000, 850297, 836189, 836190, 851001]",9,False,True,2778.42,False
"[726497, 726724, 738471]",3,False,True,1237.48,False
"[851739, 843269]",2,False,True,1632.99,False
"[759878, 760455]",2,False,True,54.39,False
"[851888, 851889, 851450, 851452]",4,False,True,153.98,False
"[852731, 852715]",2,False,True,2.88,False
"[844574, 844575]",2,False,True,0.12,True
"[844179, 837812, 853261]",3,False,True,2984.94,True
"[846462, 848967]",2,False,True,459.83,True
"[851193, 851433]",2,False,True,31.7,False
"[852733, 852990, 853167]",3,False,True,120.32,False
"[842120, 851757, 851758]",3,False,True,1825.87,False
"[800903, 790536, 831245, 832656, 828179, 848281, 848282, 848284, 850332, 850333, 823580, 822560, 848178, 828723, 848182, 848183, 848184, 817206, 810953, 828752, 848467, 797537, 827895, 828139, 848364, 848365, 848366, 828142, 828143, 790519, 827896]",31,False,True,10431.22,True
"[837105, 835324]",2,False,True,322.31,True
"[846176, 823449, 843346]",3,False,True,3898.95,True
"[853204, 853205]",2,False,True,1.04,False
"[843618, 843622]",2,False,True,0.26,False
"[849574, 849575, 849578, 849518, 849519, 849520, 844049, 849522, 849521, 844048, 846135]",11,False,True,1013.98,True
"[823395, 841239]",2,False,False,3018.72,False
"[852474, 852460]",2,False,True,7.66,False
"[748158, 748159]",2,True,True,0.03,True
"[848112, 848180, 639424]",3,False,False,29255.38,False
"[851954, 851955, 851951]",3,False,True,1.38,False
"[840712, 840969]",2,False,True,24.13,False
"[840928, 838915, 845812, 840950, 845979, 840925]",6,False,True,1317.28,True
"[849632, 848004, 847653, 848005, 846799, 844815, 847668, 847797, 847990, 847991, 846777, 847261, 849630, 849631]",14,False,True,886.36,False
"[851608, 851715, 851597, 851877]",4,False,True,113.56,False
"[844466, 848452]",2,False,True,695.47,False
"[849986, 851909]",2,False,True,437.48,True
"[843096, 842034]",2,False,True,164.87,True
"[850064, 850415]",2,False,True,95.22,False
"[837569, 848844, 851342, 851345, 838292, 839608]",6,False,True,2560.83,True
"[849996, 849997]",2,False,True,0.0,True
"[850760, 850761]",2,False,True,0.01,False
"[814174, 813086]",2,False,True,185.17,True
"[745605, 748221]",2,False,True,373.19,True
"[827560, 846123, 847276, 850478, 845998, 847992, 847993, 845917, 848063]",9,False,True,4018.5,True
"[851384, 851705, 851516]",3,False,True,67.63,False
"[827141, 827142, 827145, 827146, 827147, 827148, 827149, 827150, 732175, 782736, 782737, 776210, 732174, 782741, 733719, 733720, 782753, 782759, 782763, 782765, 782770, 782772, 782773, 768060, 768061, 768062, 768063, 777569, 813794, 813793]",30,False,True,14619.52,True
"[851244, 849133, 851231]",3,False,True,456.37,True
"[855840, 846838, 846807]",3,False,True,1826.18,True
"[849145, 850306]",2,False,True,254.51,False
"[747418, 747419]",2,False,False,0.04,False
"[851920, 851018, 851213, 850943]",4,False,True,189.9,False
"[504537, 618908, 509655]",3,False,True,10320.57,True
"[488818, 488819]",2,True,False,0.0,False
"[851500, 851501]",2,False,True,0.04,True
"[851196, 851549]",2,False,True,117.83,True
"[849841, 849690, 799871]",3,False,True,8951.07,True
"[839216, 768528, 841287]",3,False,True,12029.0,True
"[850045, 850307, 850309, 850046]",4,False,True,0.88,False
"[849418, 849876, 849414, 849839]",4,False,True,95.9,False
"[835859, 835860, 829208, 835625, 834477, 835510, 833847, 831057, 827359, 833891, 833896, 851056, 827889, 856690, 851058, 856179, 856693, 856182, 834934, 856694, 856692, 851057]",22,False,True,5269.9,False
"[851233, 851203, 851387, 851067]",4,False,True,51.9,False
"[844036, 843870]",2,False,True,21.57,True
"[851393, 851356, 851204]",3,False,False,26.12,False
"[851066, 851347, 850341]",3,False,True,210.39,False
"[827537, 827538, 842070, 825111, 825112, 792022, 825115]",7,False,True,8728.27,True
"[836063, 836060, 836070, 839063]",4,False,True,523.96,False
"[850889, 851165]",2,False,False,41.83,False
"[831842, 833675, 816178, 833639]",4,True,True,3195.54,False
"[801424, 800753, 803308, 802644]",4,False,True,477.61,False
"[842432, 842433]",2,False,True,0.12,True
"[849881, 849102]",2,False,True,148.29,True
"[847955, 849467]",2,False,False,333.41,False
"[850507, 850508]",2,False,True,0.0,False
"[850308, 850398, 850502]",3,False,True,23.22,False
"[845617, 845619]",2,False,True,0.42,False
"[850664, 850666]",2,False,True,0.13,True
"[850649, 850229]",2,True,True,70.71,False
"[850665, 850629]",2,False,True,4.4,False
"[849780, 850389, 849807]",3,False,True,143.53,False
"[850633, 850301]",2,True,True,50.01,True
"[850336, 839585, 847187, 846070]",4,False,True,1988.14,False
"[805637, 810346, 809168, 815952, 809170, 810364, 810559]",7,False,True,1605.68,True
