project,archived_at,year,release
openstack/deb-networking-arista,2020-06-26,2020,victoria
openstack/deb-networking-mlnx,2020-06-26,2020,victoria
openstack/deb-neutron,2020-06-26,2020,victoria
openstack/deb-neutron-fwaas,2020-06-26,2020,victoria
openstack/deb-neutron-lbaas,2020-06-26,2020,victoria
openstack/deb-neutron-vpnaas,2020-06-26,2020,victoria
openstack/deb-nova,2020-06-26,2020,victoria
openstack/deb-oslosphinx,2020-06-26,2020,victoria
openstack/deb-python-aodhclient,2020-06-26,2020,victoria
openstack/deb-python-ceilometerclient,2020-06-26,2020,victoria
openstack/deb-python-ceilometermiddleware,2020-06-26,2020,victoria
openstack/deb-python-cinderclient,2020-06-26,2020,victoria
openstack/deb-python-cliff,2020-06-26,2020,victoria
openstack/deb-python-coffin,2020-06-26,2020,victoria
openstack/deb-python-colander,2020-06-26,2020,victoria
openstack/deb-python-concurrent.futures,2020-06-26,2020,victoria
openstack/deb-python-congressclient,2020-06-26,2020,victoria
openstack/deb-python-cotyledon,2020-06-26,2020,victoria
openstack/deb-python-couleur,2020-06-26,2020,victoria
openstack/deb-python-crank,2020-06-26,2020,victoria
openstack/deb-python-croniter,2020-06-26,2020,victoria
openstack/deb-python-csscompressor,2020-06-26,2020,victoria
openstack/deb-python-daemonize,2020-06-26,2020,victoria
openstack/deb-python-dcos,2020-06-26,2020,victoria
openstack/deb-python-ddt,2020-06-26,2020,victoria
openstack/deb-python-debtcollector,2020-06-26,2020,victoria
openstack/deb-python-designateclient,2020-06-26,2020,victoria
openstack/deb-python-django-appconf,2020-06-26,2020,victoria
openstack/deb-python-django-babel,2020-06-26,2020,victoria
openstack/deb-python-django-bootstrap-form,2020-06-26,2020,victoria
openstack/deb-python-django-compressor,2020-06-26,2020,victoria
openstack/deb-python-django-discover-runner,2020-06-26,2020,victoria
openstack/deb-python-django-formtools,2020-06-26,2020,victoria
openstack/deb-python-django-openstack-auth,2020-06-26,2020,victoria
openstack/deb-python-django-overextends,2020-06-26,2020,victoria
openstack/deb-python-django-pyscss,2020-06-26,2020,victoria
openstack/deb-python-doc8,2020-06-26,2020,victoria
openstack/deb-python-dogpile.cache,2020-06-26,2020,victoria
openstack/deb-python-dogpile.core,2020-06-26,2020,victoria
openstack/deb-python-editor,2020-06-26,2020,victoria
openstack/deb-python-eventlet,2020-06-26,2020,victoria
openstack/deb-python-extras,2020-06-26,2020,victoria
openstack/deb-python-falcon,2020-06-26,2020,victoria
openstack/deb-python-fasteners,2020-06-26,2020,victoria
openstack/deb-python-frozendict,2020-06-26,2020,victoria
openstack/deb-python-fuelclient,2020-06-26,2020,victoria
openstack/deb-python-funcsigs,2020-06-26,2020,victoria
openstack/deb-python-functools32,2020-06-26,2020,victoria
openstack/deb-python-futurist,2020-06-26,2020,victoria
openstack/deb-python-gabbi,2020-06-26,2020,victoria
openstack/deb-python-glanceclient,2020-06-26,2020,victoria
openstack/deb-python-gnocchiclient,2020-06-26,2020,victoria
openstack/deb-python-greenio,2020-06-26,2020,victoria
openstack/deb-python-happybase,2020-06-26,2020,victoria
openstack/deb-python-heatclient,2020-06-26,2020,victoria
openstack/deb-python-hplefthandclient,2020-06-26,2020,victoria
openstack/deb-python-httpretty,2020-06-26,2020,victoria
openstack/deb-python-ironic-inspector-client,2020-06-26,2020,victoria
openstack/deb-python-ironicclient,2020-06-26,2020,victoria
openstack/deb-python-jingo,2020-06-26,2020,victoria
openstack/deb-python-json-patch,2020-06-26,2020,victoria
openstack/deb-python-json-pointer,2020-06-26,2020,victoria
openstack/deb-python-jsonpath-rw,2020-06-26,2020,victoria
openstack/deb-python-jsonpath-rw-ext,2020-06-26,2020,victoria
openstack/deb-python-jsonrpclib,2020-06-26,2020,victoria
openstack/deb-python-jsonschema,2020-06-26,2020,victoria
openstack/deb-python-kafka,2020-06-26,2020,victoria
openstack/deb-python-keystoneclient,2020-06-26,2020,victoria
openstack/deb-python-ldappool,2020-06-26,2020,victoria
openstack/deb-python-lesscpy,2020-06-26,2020,victoria
openstack/deb-python-linecache2,2020-06-26,2020,victoria
openstack/deb-python-magnumclient,2020-06-26,2020,victoria
openstack/deb-python-manilaclient,2020-06-26,2020,victoria
openstack/deb-python-memcache,2020-06-26,2020,victoria
openstack/deb-python-microversion-parse,2020-06-26,2020,victoria
openstack/deb-python-misaka,2020-06-26,2020,victoria
openstack/deb-python-mistralclient,2020-06-26,2020,victoria
openstack/deb-python-monascaclient,2020-06-26,2020,victoria
openstack/deb-python-monotonic,2020-06-26,2020,victoria
openstack/deb-python-mox3,2020-06-26,2020,victoria
openstack/deb-python-multi-key-dict,2020-06-26,2020,victoria
openstack/deb-python-muranoclient,2020-06-26,2020,victoria
openstack/deb-python-neutronclient,2020-06-26,2020,victoria
openstack/deb-python-nose-exclude,2020-06-26,2020,victoria
openstack/deb-python-nose-parameterized,2020-06-26,2020,victoria
openstack/deb-python-nose-timer,2020-06-26,2020,victoria
openstack/deb-python-nosehtmloutput,2020-06-26,2020,victoria
openstack/deb-python-novaclient,2020-06-26,2020,victoria
openstack/deb-python-oauth2client,2020-06-26,2020,victoria
openstack/deb-python-openstackclient,2020-06-26,2020,victoria
openstack/deb-python-os-apply-config,2020-06-26,2020,victoria
openstack/deb-python-os-brick,2020-06-26,2020,victoria
openstack/deb-python-os-client-config,2020-06-26,2020,victoria
openstack/deb-python-os-cloud-config,2020-06-26,2020,victoria
openstack/deb-python-os-collect-config,2020-06-26,2020,victoria
openstack/deb-python-os-net-config,2020-06-26,2020,victoria
openstack/deb-python-os-refresh-config,2020-06-26,2020,victoria
openstack/deb-python-os-testr,2020-06-26,2020,victoria
openstack/deb-python-os-win,2020-06-26,2020,victoria
openstack/deb-python-oslo.cache,2020-06-26,2020,victoria
openstack/deb-python-oslo.concurrency,2020-06-26,2020,victoria
openstack/deb-python-oslo.config,2020-06-26,2020,victoria
openstack/deb-python-oslo.context,2020-06-26,2020,victoria
openstack/deb-python-oslo.db,2020-06-26,2020,victoria
openstack/deb-python-oslo.i18n,2020-06-26,2020,victoria
openstack/deb-python-oslo.log,2020-06-26,2020,victoria
openstack/deb-python-oslo.messaging,2020-06-26,2020,victoria
openstack/deb-python-oslo.middleware,2020-06-26,2020,victoria
openstack/deb-python-oslo.policy,2020-06-26,2020,victoria
openstack/deb-python-oslo.reports,2020-06-26,2020,victoria
openstack/deb-python-oslo.rootwrap,2020-06-26,2020,victoria
openstack/deb-python-oslo.serialization,2020-06-26,2020,victoria
openstack/deb-python-oslo.service,2020-06-26,2020,victoria
openstack/deb-python-oslo.utils,2020-06-26,2020,victoria
openstack/deb-python-oslo.versionedobjects,2020-06-26,2020,victoria
openstack/deb-python-oslo.vmware,2020-06-26,2020,victoria
openstack/deb-python-oslotest,2020-06-26,2020,victoria
openstack/deb-python-osprofiler,2020-06-26,2020,victoria
openstack/deb-python-pager,2020-06-26,2020,victoria
openstack/deb-python-pbr,2020-06-26,2020,victoria
openstack/deb-python-pecan,2020-06-26,2020,victoria
openstack/deb-python-pika-pool,2020-06-26,2020,victoria
openstack/deb-python-pint,2020-06-26,2020,victoria
openstack/deb-python-positional,2020-06-26,2020,victoria
openstack/deb-python-proliantutils,2020-06-26,2020,victoria
openstack/deb-python-pulp,2020-06-26,2020,victoria
openstack/deb-python-pycadf,2020-06-26,2020,victoria
openstack/deb-python-pydot-ng,2020-06-26,2020,victoria
openstack/deb-python-pydotplus,2020-06-26,2020,victoria
openstack/deb-python-pyeclib,2020-06-26,2020,victoria
openstack/deb-python-pyghmi,2020-06-26,2020,victoria
openstack/deb-python-pygit2,2020-06-26,2020,victoria
openstack/deb-python-pykmip,2020-06-26,2020,victoria
openstack/deb-python-pymemcache,2020-06-26,2020,victoria
openstack/deb-python-pymysql,2020-06-26,2020,victoria
openstack/deb-python-pyngus,2020-06-26,2020,victoria
openstack/deb-python-pysaml2,2020-06-26,2020,victoria
openstack/deb-python-pytimeparse,2020-06-26,2020,victoria
openstack/deb-python-pyvmomi,2020-06-26,2020,victoria
openstack/deb-python-quantumclient,2020-06-26,2020,victoria
openstack/deb-python-rcssmin,2020-06-26,2020,victoria
openstack/deb-python-reno,2020-06-26,2020,victoria
openstack/deb-python-requests-kerberos,2020-06-26,2020,victoria
openstack/deb-python-requests-mock,2020-06-26,2020,victoria
openstack/deb-python-requests-unixsocket,2020-06-26,2020,victoria
openstack/deb-python-retrying,2020-06-26,2020,victoria
openstack/deb-python-rfc3986,2020-06-26,2020,victoria
openstack/deb-python-rjsmin,2020-06-26,2020,victoria
openstack/deb-python-rtslib-fb,2020-06-26,2020,victoria
openstack/deb-python-saharaclient,2020-06-26,2020,victoria
openstack/deb-python-scciclient,2020-06-26,2020,victoria
openstack/deb-python-seamicroclient,2020-06-26,2020,victoria
openstack/deb-python-semantic-version,2020-06-26,2020,victoria
openstack/deb-python-semver,2020-06-26,2020,victoria
openstack/deb-python-senlinclient,2020-06-26,2020,victoria
openstack/deb-python-shotgun,2020-06-26,2020,victoria
openstack/deb-python-sqlalchemy-utils,2020-06-26,2020,victoria
openstack/deb-python-steadymark,2020-06-26,2020,victoria
openstack/deb-python-swiftclient,2020-06-26,2020,victoria
openstack/deb-python-tackerclient,2020-06-26,2020,victoria
openstack/deb-python-taskflow,2020-06-26,2020,victoria
openstack/deb-python-testtools,2020-06-26,2020,victoria
openstack/deb-python-toml,2020-06-26,2020,victoria
openstack/deb-python-tooz,2020-06-26,2020,victoria
openstack/deb-python-tosca-parser,2020-06-26,2020,victoria
openstack/deb-python-traceback2,2020-06-26,2020,victoria
openstack/deb-python-trollius,2020-06-26,2020,victoria
openstack/deb-python-troveclient,2020-06-26,2020,victoria
openstack/deb-python-tuskarclient,2020-06-26,2020,victoria
openstack/deb-python-txaio,2020-06-26,2020,victoria
openstack/deb-python-warlock,2020-06-26,2020,victoria
openstack/deb-python-watcherclient,2020-06-26,2020,victoria
openstack/deb-python-weakrefmethod,2020-06-26,2020,victoria
openstack/deb-python-websocket-client,2020-06-26,2020,victoria
openstack/deb-python-wrapt,2020-06-26,2020,victoria
openstack/deb-python-wsgi-intercept,2020-06-26,2020,victoria
openstack/deb-python-wsme,2020-06-26,2020,victoria
openstack/deb-python-xstatic,2020-06-26,2020,victoria
openstack/deb-python-xstatic-angular,2020-06-26,2020,victoria
openstack/deb-python-xstatic-angular-bootstrap,2020-06-26,2020,victoria
openstack/deb-python-xstatic-angular-cookies,2020-06-26,2020,victoria
openstack/deb-python-xstatic-angular-fileupload,2020-06-26,2020,victoria
openstack/deb-python-xstatic-angular-gettext,2020-06-26,2020,victoria
openstack/deb-python-xstatic-angular-lrdragndrop,2020-06-26,2020,victoria
openstack/deb-python-xstatic-angular-mock,2020-06-26,2020,victoria
openstack/deb-python-xstatic-bootstrap-datepicker,2020-06-26,2020,victoria
openstack/deb-python-xstatic-bootstrap-scss,2020-06-26,2020,victoria
openstack/deb-python-xstatic-bootswatch,2020-06-26,2020,victoria
openstack/deb-python-xstatic-d3,2020-06-26,2020,victoria
openstack/deb-python-xstatic-font-awesome,2020-06-26,2020,victoria
openstack/deb-python-xstatic-hogan,2020-06-26,2020,victoria
openstack/deb-python-xstatic-jasmine,2020-06-26,2020,victoria
openstack/deb-python-xstatic-jquery,2020-06-26,2020,victoria
openstack/deb-python-xstatic-jquery-ui,2020-06-26,2020,victoria
openstack/deb-python-xstatic-jquery.bootstrap.wizard,2020-06-26,2020,victoria
openstack/deb-python-xstatic-jquery.quicksearch,2020-06-26,2020,victoria
openstack/deb-python-xstatic-jquery.tablesorter,2020-06-26,2020,victoria
openstack/deb-python-xstatic-jsencrypt,2020-06-26,2020,victoria
openstack/deb-python-xstatic-magic-search,2020-06-26,2020,victoria
openstack/deb-python-xstatic-mdi,2020-06-26,2020,victoria
openstack/deb-python-xstatic-qunit,2020-06-26,2020,victoria
openstack/deb-python-xstatic-rickshaw,2020-06-26,2020,victoria
openstack/deb-python-xstatic-roboto-fontface,2020-06-26,2020,victoria
openstack/deb-python-xstatic-smart-table,2020-06-26,2020,victoria
openstack/deb-python-xstatic-spin,2020-06-26,2020,victoria
openstack/deb-python-xstatic-term.js,2020-06-26,2020,victoria
openstack/deb-python-xvfbwrapper,2020-06-26,2020,victoria
openstack/deb-python-yaql,2020-06-26,2020,victoria
openstack/deb-python-zaqarclient,2020-06-26,2020,victoria
openstack/deb-rally,2020-06-26,2020,victoria
openstack/deb-ryu,2020-06-26,2020,victoria
openstack/deb-sahara,2020-06-26,2020,victoria
openstack/deb-sahara-dashboard,2020-06-26,2020,victoria
openstack/deb-senlin,2020-06-26,2020,victoria
openstack/deb-stevedore,2020-06-26,2020,victoria
openstack/deb-subunit,2020-06-26,2020,victoria
openstack/deb-swift,2020-06-26,2020,victoria
openstack/deb-tempest,2020-06-26,2020,victoria
openstack/deb-testresources,2020-06-26,2020,victoria
openstack/deb-trove,2020-06-26,2020,victoria
