project,archived_at,year,release
openstack/deb-git-review,2020-06-26,2020,victoria
openstack/deb-heat-cfntools,2020-06-26,2020,victoria
openstack/deb-ironic-inspector,2020-06-26,2020,victoria
openstack/deb-ironic-ui,2020-06-26,2020,victoria
openstack/deb-magnum,2020-06-26,2020,victoria
openstack/deb-migrate,2020-06-26,2020,victoria
openstack/deb-networking-cisco,2020-06-26,2020,victoria
openstack/deb-networking-hyperv,2020-06-26,2020,victoria
openstack/deb-networking-l2gw,2020-06-26,2020,victoria
openstack/deb-networking-midonet,2020-06-26,2020,victoria
openstack/deb-networking-nec,2020-06-26,2020,victoria
openstack/deb-networking-odl,2020-06-26,2020,victoria
openstack/deb-networking-ovn,2020-06-26,2020,victoria
openstack/deb-neutron-taas,2020-06-26,2020,victoria
openstack/fuel-nailgun-extension-iac,2020-06-26,2020,victoria
openstack/deb-novnc,2020-06-26,2020,victoria
openstack/deb-openstack-doc-tools,2020-06-26,2020,victoria
openstack/deb-openstack-meta-packages,2020-06-26,2020,victoria
openstack/deb-openstack-nose,2020-06-26,2020,victoria
openstack/deb-openstack-trove,2020-06-26,2020,victoria
openstack/deb-nodepool,2020-06-26,2020,victoria
openstack/deb-python-kmip,2020-06-26,2020,victoria
openstack/deb-python-neutron-lib,2020-06-26,2020,victoria
openstack/deb-python-openstackdocstheme,2020-06-26,2020,victoria
openstack/deb-python-openstacksdk,2020-06-26,2020,victoria
openstack/deb-python-os-api-ref,2020-06-26,2020,victoria
openstack/deb-python-os-vif,2020-06-26,2020,victoria
openstack/deb-python-osc-lib,2020-06-26,2020,victoria
openstack/deb-python-requestbuilder,2020-06-26,2020,victoria
openstack/deb-senlin-dashboard,2020-06-26,2020,victoria
openstack/deb-python-aioeventlet,2020-06-26,2020,victoria
