id,status,changes
32114,Non core,36
33240,Non core,20
21961,Core,335
34847,Non core,4
13177,Non core,82
12825,Non core,39
28329,Non core,80
33717,Non core,49
33244,Non core,12
6282,Non core,81
34892,Non core,4
29543,Non core,27
31746,Non core,74
24061,Core,60
4149,Non core,47
6968,Core,331
12404,Core,744
9545,Core,1067
34123,Non core,13
8846,Core,227
34319,Non core,4
31737,Core,26
28062,Non core,229
32363,Non core,20
35012,Non core,3
21387,Core,380
28748,Core,179
16164,Non core,5
15206,Non core,10
9535,Core,626
19134,Core,703
7130,Non core,116
32029,Non core,236
10234,Core,414
33594,Non core,3
32581,Non core,14
9311,Core,249
9303,Core,416
31072,Non core,30
35161,Non core,3
34271,Non core,17
32190,Non core,21
23866,Non core,28
28743,Non core,36
30750,Non core,75
11075,Non core,44
27418,Non core,5
16339,Non core,15
35099,Non core,6
31450,Non core,11
30555,Non core,35
35098,Non core,4
34913,Non core,3
6618,Core,603
20778,Core,345
31506,Non core,76
35024,Non core,6
17068,Core,2355
14805,Non core,798
5559,Non core,10
31976,Non core,8
31652,Non core,4
15054,Core,394
33502,Non core,7
33648,Non core,14
30996,Non core,6
597,Core,163
33881,Non core,39
8864,Core,306
14525,Core,554
32688,Non core,5
21785,Core,50
31213,Core,30
33525,Non core,5
21798,Non core,400
10910,Core,35
27032,Core,193
34290,Non core,3
32667,Non core,66
13095,Core,482
6962,Non core,123
32398,Non core,13
5112,Non core,35
29122,Non core,25
28701,Non core,28
7233,Core,116
1955,Core,214
33292,Non core,13
29759,Non core,5
31664,Non core,9
28499,Non core,5
32074,Non core,8
30409,Non core,44
11090,Core,475
21991,Non core,9
12640,Non core,21
27427,Non core,69
33732,Non core,86
31052,Non core,6
33871,Non core,13
7549,Non core,593
30858,Non core,15
8108,Non core,121
9236,Core,86
7294,Non core,32
1926,Core,902
34668,Non core,3
33455,Core,37
34959,Non core,5
17097,Non core,81
34533,Non core,13
31730,Non core,8
34936,Non core,4
34933,Non core,3
17559,Non core,3
27774,Non core,5
34946,Non core,3
819,Non core,73
23618,Non core,12
32333,Non core,8
27446,Non core,5
34067,Non core,4
29260,Non core,11
31906,Non core,4
16768,Core,44
8161,Non core,19
20813,Core,74
25241,Non core,93
33121,Non core,7
21778,Non core,21
9373,Non core,97
28691,Non core,20
32352,Non core,5
8157,Non core,322
34821,Non core,3
32717,Non core,3
34718,Non core,15
33950,Non core,4
31827,Non core,55
33161,Non core,16
27190,Non core,50
29870,Non core,8
19234,Non core,123
7369,Core,218
21107,Non core,18
29425,Non core,42
33712,Non core,4
31719,Non core,6
5948,Core,363
18816,Non core,65
13671,Non core,104
32288,Non core,18
841,Core,2320
9369,Core,242
32411,Non core,17
2711,Non core,64
33898,Non core,5
32594,Non core,24
32736,Non core,15
33301,Non core,3
18904,Non core,136
21715,Non core,14
33173,Non core,3
29071,Non core,77
21069,Core,221
34579,Non core,5
28271,Non core,14
24965,Non core,3
28719,Non core,60
33780,Non core,5
32433,Non core,9
29037,Non core,6
30911,Non core,14
33536,Non core,3
21528,Core,143
11290,Non core,61
34213,Non core,3
33828,Non core,7
27256,Non core,12
20498,Core,433
23266,Non core,3
13995,Core,270
8863,Core,314
29605,Non core,13
31039,Non core,15
33036,Non core,3
31291,Non core,40
29296,Non core,4
20663,Non core,111
33786,Non core,12
7156,Non core,435
33519,Core,8
3153,Core,6958
32881,Non core,6
30407,Core,65
12932,Non core,22
27419,Non core,361
3031,Non core,161
5997,Core,293
28759,Non core,10
33125,Non core,3
23804,Core,251
9139,Non core,18
28514,Non core,4
32090,Non core,9
7198,Core,418
21757,Non core,33
30534,Non core,7
2733,Non core,64
33558,Non core,8
30696,Non core,40
29568,Non core,6
26693,Non core,13
32349,Non core,35
11292,Core,153
33282,Non core,8
4727,Non core,87
7488,Core,1111
30810,Non core,38
31289,Non core,847
33741,Non core,23
24824,Non core,154
19724,Core,50
11904,Core,2937
18551,Non core,11
9003,Core,665
34141,Non core,6
30893,Non core,32
9247,Non core,19
21247,Non core,7
34201,Non core,4
31769,Non core,7
30744,Non core,3
29088,Non core,8
33192,Non core,3
32219,Non core,51
34173,Non core,3
19391,Non core,51
26686,Non core,18
31749,Non core,25
33945,Non core,47
8726,Core,85
2033,Core,20
26343,Non core,623
32291,Non core,197
34017,Non core,29
29350,Non core,20
20104,Non core,13
28510,Non core,13
33987,Non core,3
18279,Non core,44
34462,Non core,3
27345,Non core,8
19690,Non core,7
21909,Non core,197
28295,Non core,10
15895,Core,89
33130,Non core,31
33380,Non core,9
30998,Non core,13
13689,Non core,146
33582,Non core,8
32036,Non core,13
9200,Core,74
10135,Core,951
24501,Core,75
18236,Non core,34
31754,Non core,5
33756,Non core,3
12670,Non core,392
16282,Non core,94
14675,Non core,23
27086,Non core,13
14985,Core,4164
9257,Non core,56
18575,Non core,254
11491,Non core,966
22312,Non core,6
23950,Core,82
11928,Non core,4
33636,Non core,98
12907,Non core,39
31280,Non core,28
33431,Non core,12
20775,Non core,344
31503,Non core,5
27329,Non core,54
32326,Non core,67
32523,Non core,15
10273,Core,378
33826,Non core,10
30523,Core,92
17440,Non core,3
30028,Non core,21
26250,Non core,26
34125,Non core,3
30793,Non core,8
33643,Non core,3
26721,Non core,84
28410,Non core,5
26141,Non core,166
33341,Non core,3
32203,Non core,3
14885,Core,147
19521,Non core,23
23871,Non core,9
5046,Core,1416
34041,Non core,7
29889,Non core,4
2463,Non core,68
31335,Non core,5
20172,Core,1048
30609,Non core,18
27838,Non core,29
33652,Non core,40
30678,Non core,3
10338,Non core,17
24780,Core,84
24816,Non core,6
31662,Non core,18
782,Core,332
29880,Non core,8
11082,Non core,214
34045,Non core,3
19904,Non core,16
20746,Non core,4
26220,Non core,5
31814,Non core,4
32266,Non core,15
6854,Core,1503
17255,Core,47
30495,Non core,13
7386,Non core,33
33379,Non core,21
14624,Non core,21
30314,Non core,6
32833,Non core,3
6484,Core,626
13294,Core,523
33273,Non core,5
28403,Non core,26
16721,Non core,12
28159,Non core,39
33818,Non core,8
22636,Non core,45
25738,Core,58
10420,Core,162
23279,Non core,12
31616,Non core,8
28752,Non core,52
30229,Non core,33
8042,Non core,590
20171,Non core,11
23182,Non core,58
31027,Non core,75
27809,Non core,27
28094,Non core,5
32469,Non core,6
17363,Core,28
33832,Non core,3
32425,Non core,5
6732,Core,1074
28275,Non core,10
33760,Non core,3
19743,Non core,13
27498,Non core,3
8318,Non core,132
28372,Core,113
32578,Non core,7
27715,Non core,15
8212,Non core,6
17042,Non core,32
30746,Non core,11
29863,Non core,12
9592,Non core,793
16347,Non core,21
14552,Non core,125
5805,Core,119
30855,Non core,5
16373,Non core,13
30777,Core,64
30449,Core,84
30262,Non core,7
8898,Core,143
32803,Non core,4
18810,Non core,16
33725,Non core,3
32531,Non core,19
29805,Non core,57
21232,Non core,11
33830,Non core,5
28899,Non core,16
24162,Core,370
30906,Non core,3
16690,Non core,39
33344,Non core,13
22998,Core,207
30025,Core,8
32493,Non core,21
18250,Core,23
33512,Non core,3
19604,Non core,24
30238,Non core,10
32238,Non core,91
7543,Non core,54
6547,Core,8893
360,Core,1818
32577,Core,24
6469,Core,800
31525,Non core,5
30515,Non core,11
20805,Non core,1403
32728,Non core,13
29865,Core,90
25089,Non core,3
5575,Non core,49
29911,Non core,69
33370,Non core,19
31016,Non core,53
18781,Non core,25
32722,Non core,3
30075,Non core,5
9268,Non core,95
27330,Non core,27
17119,Non core,49
14972,Non core,35
32070,Non core,3
28022,Core,296
31871,Non core,9
6994,Non core,94
27499,Non core,10
30438,Non core,24
2,Core,3424
21273,Non core,39
31510,Non core,45
31425,Non core,3
11952,Core,200
30384,Non core,202
32432,Non core,16
30395,Non core,16
22477,Core,56
31828,Non core,72
32245,Non core,5
31455,Non core,6
31825,Non core,58
31479,Non core,16
2475,Non core,23
23757,Non core,33
20466,Non core,378
30516,Non core,4
26032,Non core,5
33295,Non core,3
29585,Non core,21
31241,Non core,10
4162,Core,1263
32635,Non core,4
33353,Core,2
30582,Non core,32
14352,Core,169
7102,Core,1283
25625,Core,227
32171,Non core,17
31821,Core,27
33012,Non core,6
12398,Non core,188
27478,Core,24
27915,Non core,4
28367,Non core,25
16308,Non core,56
30171,Non core,3
33061,Non core,4
30092,Non core,128
20865,Non core,8
17031,Non core,3
22997,Non core,41
8731,Core,1012
5196,Core,1170
27880,Core,29
26580,Non core,7
23847,Core,72
16186,Non core,9
32395,Non core,20
18511,Non core,15
32637,Non core,3
13852,Non core,47
32533,Non core,23
1736,Core,631
16068,Non core,9
28621,Non core,4
29191,Non core,8
8770,Non core,186
33032,Non core,5
29100,Core,32
15921,Non core,98
30963,Non core,10
33148,Non core,7
33176,Non core,6
13178,Non core,19
30211,Non core,3
1669,Core,2584
29349,Non core,7
20363,Non core,69
32880,Non core,3
9555,Non core,281
10086,Non core,41
28128,Non core,16
17686,Non core,3
27252,Non core,5
21570,Non core,18
27224,Core,129
23078,Core,151
16957,Non core,24
9061,Non core,394
6928,Core,1343
4491,Non core,165
11564,Core,991
28332,Non core,27
30447,Non core,20
32956,Non core,4
32802,Non core,5
27954,Non core,97
32431,Non core,8
2472,Core,7166
28721,Non core,9
31713,Non core,14
11816,Non core,154
18256,Non core,21
29268,Non core,61
32067,Non core,100
18031,Non core,11
25277,Core,12
7654,Non core,11
32205,Non core,7
5733,Non core,97
31239,Core,16
10288,Non core,115
19193,Core,66
15935,Non core,6
28849,Non core,23
27052,Non core,10
31750,Non core,8
32220,Non core,5
32643,Non core,3
31310,Non core,9
24872,Core,136
17927,Non core,9
4608,Core,299
23928,Core,917
22018,Non core,18
27380,Non core,132
27399,Non core,18
27383,Non core,33
32163,Non core,26
32211,Non core,27
24849,Non core,10
32518,Non core,4
6167,Core,1029
7249,Core,247
9649,Non core,8
30643,Non core,21
30533,Non core,57
8175,Non core,229
2276,Non core,86
28618,Core,24
25877,Non core,170
23650,Non core,3
26581,Non core,5
8866,Non core,74
20190,Core,808
26584,Non core,95
26272,Non core,3
32296,Non core,4
28654,Non core,98
12356,Core,282
26571,Non core,28
26118,Non core,17
30095,Non core,4
32519,Non core,5
12171,Core,182
30676,Non core,4
6683,Non core,26
28735,Non core,6
26106,Non core,12
30165,Non core,47
11744,Non core,5
21813,Non core,68
22076,Core,103
11810,Non core,8
9725,Non core,62
28014,Non core,35
20944,Non core,7
14369,Non core,40
8482,Core,1113
30705,Non core,3
31959,Non core,5
32304,Core,4
26647,Non core,22
19779,Core,500
8988,Non core,34
11929,Core,37
31823,Non core,5
8745,Non core,182
29161,Non core,107
20312,Non core,37
29157,Non core,37
8099,Core,528
20754,Non core,41
29909,Non core,16
18058,Non core,28
6062,Non core,618
31902,Non core,3
17843,Non core,3
7888,Non core,95
32471,Non core,29
10298,Core,16
2218,Non core,253
31695,Non core,9
17130,Non core,1862
17799,Core,771
32108,Non core,6
29702,Non core,18
5792,Non core,87
17813,Core,35
27180,Non core,16
30921,Non core,6
23267,Non core,9
9426,Non core,14
30755,Non core,24
32073,Non core,3
26617,Non core,74
12860,Core,216
11076,Core,153
29139,Non core,9
21692,Core,374
16222,Core,589
31916,Non core,5
30408,Non core,92
23365,Core,262
29729,Non core,13
25666,Non core,11
4460,Non core,104
28607,Non core,5
16771,Non core,147
31706,Non core,5
14232,Non core,94
13702,Core,153
30759,Core,8
30081,Non core,3
31482,Non core,7
30054,Non core,5
10379,Non core,205
29144,Non core,47
29466,Non core,10
25001,Non core,6
22271,Non core,21
29360,Non core,9
12988,Non core,28
22093,Non core,8
29131,Non core,74
27619,Non core,3
30621,Non core,3
21970,Core,40
23601,Non core,27
10250,Core,123
29298,Non core,10
9963,Non core,52
30356,Non core,142
31960,Non core,6
27944,Non core,10
31835,Non core,5
18736,Non core,6
17887,Non core,17
16984,Core,24
32274,Non core,3
29397,Non core,11
31108,Non core,4
19184,Core,195
30670,Non core,69
25254,Non core,137
27815,Non core,5
27621,Core,179
20451,Non core,7
24791,Non core,307
29954,Non core,12
10343,Non core,644
31258,Non core,5
23598,Non core,25
6633,Non core,12
26498,Non core,7
22406,Core,160
18742,Non core,63
26689,Non core,6
17264,Non core,29
11109,Core,728
23518,Non core,25
30660,Non core,4
24604,Non core,30
28032,Non core,13
24890,Non core,10
29217,Non core,6
30209,Non core,23
30690,Non core,3
31733,Non core,7
31420,Non core,8
13988,Non core,10
22165,Non core,786
26768,Non core,7
18295,Non core,11
31353,Non core,3
14892,Non core,111
25397,Non core,4
28614,Non core,506
29891,Non core,3
11347,Non core,26
27594,Non core,15
12597,Non core,69
8037,Non core,22
11683,Non core,3
11589,Non core,101
14029,Non core,5
10806,Non core,43
29631,Non core,3
26114,Non core,56
27057,Non core,43
1011,Core,52
20635,Non core,1094
8084,Non core,37
31870,Non core,6
23829,Core,52
29270,Non core,5
28664,Non core,4
16310,Core,41
12021,Core,758
31528,Non core,8
2792,Non core,5
4978,Core,389
31836,Non core,5
31106,Non core,5
23314,Non core,99
25011,Non core,12
31903,Non core,3
31209,Non core,8
30133,Non core,56
29671,Non core,3
20301,Non core,5
27336,Non core,89
31004,Non core,45
27420,Non core,18
30920,Non core,7
28470,Non core,3
28948,Core,22
31648,Non core,3
29650,Non core,7
14287,Non core,30
25251,Non core,27
30650,Non core,9
15237,Non core,11
2592,Non core,272
8878,Core,249
29405,Non core,17
29236,Non core,34
30842,Non core,3
23467,Non core,10
31256,Non core,4
14070,Core,850
22799,Non core,79
6873,Core,4357
30322,Non core,17
22259,Non core,22
28354,Non core,3
30598,Non core,8
7923,Non core,615
18795,Non core,226
22595,Non core,53
1916,Non core,188
31817,Non core,3
26463,Non core,45
24580,Non core,27
27302,Non core,37
970,Core,1111
29125,Non core,7
22437,Non core,5
30110,Non core,4
13915,Non core,78
18955,Core,167
30009,Non core,7
16615,Non core,43
11692,Non core,27
31565,Non core,7
28050,Non core,6
30428,Non core,15
19118,Non core,13
18480,Non core,5
23312,Non core,47
28208,Non core,21
22290,Non core,13
27614,Non core,22
30357,Non core,11
31568,Non core,6
30927,Non core,10
28570,Non core,6
11085,Non core,17
26340,Core,253
21714,Non core,31
10022,Core,131
5950,Core,143
29615,Non core,9
10311,Core,77
29539,Non core,6
22578,Non core,5
16668,Non core,30
31539,Non core,7
25837,Non core,35
1523,Non core,17
11503,Non core,9
21672,Core,65
1446,Non core,35
24999,Non core,21
6610,Core,362
10864,Non core,3
27068,Core,121
27462,Non core,11
26588,Core,19
21224,Core,153
28613,Non core,71
31449,Non core,3
3099,Core,285
23317,Non core,284
6133,Core,298
29269,Non core,4
17591,Core,540
28071,Core,17
27633,Non core,6
25817,Non core,8
14807,Non core,28
28452,Non core,13
29503,Non core,26
28628,Non core,6
6924,Non core,588
25648,Non core,8
30728,Non core,3
26570,Non core,23
29344,Non core,14
15362,Non core,8
31182,Non core,7
14570,Non core,21
30735,Non core,3
8125,Core,74
21741,Core,44
24100,Non core,17
29864,Non core,5
26546,Non core,24
21314,Non core,28
25113,Non core,23
30547,Non core,6
15279,Non core,12
20401,Non core,91
22534,Non core,14
14131,Core,80
9712,Non core,643
30442,Non core,6
31210,Non core,3
26867,Non core,4
13734,Core,210
23924,Core,6
30298,Non core,40
29525,Non core,9
29013,Non core,5
27589,Non core,15
25290,Non core,5
16845,Non core,33
31012,Non core,4
29124,Core,24
9057,Non core,7
30687,Non core,8
12050,Non core,16
9625,Core,145
290,Non core,94
29792,Non core,4
19956,Non core,44
13438,Non core,39
11444,Non core,52
28718,Non core,8
10873,Non core,1398
25820,Non core,17
28714,Non core,31
30221,Non core,28
29874,Non core,10
8532,Non core,130
18051,Non core,10
28374,Non core,31
13009,Non core,274
25591,Non core,8
30669,Non core,3
31093,Non core,5
29201,Non core,7
30844,Non core,4
27781,Non core,254
22078,Non core,7
23060,Non core,263
26422,Non core,17
17896,Core,29
26970,Non core,17
27822,Non core,633
10206,Core,223
30883,Non core,6
30657,Non core,3
2889,Core,408
13770,Core,13
31204,Non core,4
19990,Core,64
30717,Non core,29
26931,Non core,8
28949,Non core,4
12281,Non core,117
28082,Non core,13
31189,Non core,3
8716,Core,55
21914,Non core,4
26490,Non core,42
16006,Non core,66
10237,Core,153
55,Core,82
27386,Non core,45
20523,Non core,191
13478,Non core,108
15064,Non core,25
24919,Non core,7
30410,Non core,11
27941,Non core,5
26359,Non core,19
21302,Non core,47
12542,Non core,109
21284,Non core,40
30272,Non core,7
15692,Non core,49
29579,Non core,4
16036,Non core,9
25138,Non core,9
17776,Non core,236
30692,Non core,3
8749,Core,316
29970,Non core,28
29745,Non core,12
28502,Non core,5
22948,Non core,64
29834,Non core,6
29272,Non core,16
26387,Non core,5
6577,Core,312
29239,Non core,7
2062,Core,120
28180,Non core,19
12193,Core,62
22042,Non core,10
20100,Non core,16
20191,Non core,181
30619,Non core,4
8932,Core,192
261,Non core,423
29291,Non core,11
2696,Non core,42
10607,Core,317
21111,Non core,23
30814,Non core,11
30309,Non core,5
27079,Non core,7
16353,Non core,11
26936,Non core,93
19098,Non core,10
28471,Non core,4
330,Core,436
7016,Non core,324
10413,Non core,5
30740,Non core,8
16511,Core,75
26916,Non core,5
28396,Non core,24
30722,Non core,4
30200,Non core,3
9995,Non core,64
18591,Core,495
30960,Non core,6
28777,Non core,11
4187,Core,69
30796,Non core,4
28063,Core,7
29222,Non core,121
26449,Non core,14
7186,Non core,26
6876,Non core,65
21883,Core,76
30220,Non core,3
11880,Non core,41
28258,Non core,4
2394,Core,173
518,Non core,29
29278,Non core,12
21922,Non core,102
4128,Non core,62
19316,Non core,457
27978,Non core,5
29502,Non core,3
29062,Non core,9
30297,Non core,3
26233,Non core,10
30159,Non core,3
27550,Non core,5
22321,Non core,3
29106,Non core,7
29979,Non core,3
5754,Core,469
2903,Core,585
1653,Non core,1394
9098,Core,89
29941,Non core,3
14162,Non core,49
25630,Non core,9
8362,Non core,14
28100,Non core,3
4428,Core,382
28875,Non core,7
22484,Core,279
27979,Non core,6
24005,Non core,22
15222,Non core,12
28011,Non core,13
8116,Non core,27
30099,Non core,15
23186,Core,622
16896,Non core,879
7185,Non core,70
8580,Non core,47
30198,Non core,5
30013,Non core,14
19766,Non core,7
13637,Core,25
29796,Non core,4
1607,Non core,141
24250,Non core,24
27532,Non core,10
27215,Core,32
1918,Non core,68
28543,Non core,177
17499,Non core,352
20229,Core,318
16274,Core,36
28504,Non core,61
20722,Non core,124
30683,Non core,4
5367,Core,763
2874,Core,355
29958,Non core,6
7141,Non core,69
14173,Non core,18
28140,Non core,8
25564,Non core,25
1091,Non core,53
7404,Core,295
25733,Core,28
13111,Non core,125
29364,Non core,12
11391,Non core,167
29668,Non core,10
12323,Non core,99
14123,Non core,6
17880,Core,124
15209,Non core,11
8674,Non core,54
6579,Non core,152
20106,Non core,48
8478,Non core,42
28435,Non core,12
23735,Non core,86
26143,Non core,3
28940,Non core,6
19490,Non core,4
