reviewer,projects_nbr,rev_status
8336,6,Non core
8344,19,Core
8347,2,Non core
8350,1,Non core
8351,7,Non core
8358,68,Non core
8362,10,Non core
8366,1,Non core
8367,81,Core
8369,3,Non core
8376,1,Non core
8378,3,Non core
8380,3,Non core
8391,1,Non core
8392,26,Core
8399,29,Non core
8401,5,Non core
8406,3,Non core
8408,7,Non core
8410,39,Non core
8411,35,Non core
8412,13,Non core
8414,4,Non core
8415,22,Non core
8416,1,Non core
8421,2,Non core
8426,3,Non core
8429,6,Non core
8430,6,Non core
8431,1,Non core
8432,2,Non core
8433,4,Core
8434,11,Non core
8435,10,Non core
8437,2,Non core
8439,2,Non core
8441,5,Non core
8443,21,Core
8446,7,Non core
8449,90,Core
8450,1,Non core
8461,1,Non core
8464,9,Non core
8467,2,Non core
8470,3,Non core
8473,1,Non core
8476,1,Non core
8478,15,Non core
8482,100,Core
8483,1,Non core
8486,1,Non core
8491,9,Core
8493,2,Non core
8494,4,Non core
8495,1,Non core
8497,1,Non core
8502,1,Non core
8503,1,Non core
8505,7,Non core
8507,7,Non core
8509,1,Non core
8510,2,Non core
8511,1,Non core
8512,6,Non core
8513,1,Non core
8514,14,Non core
8515,5,Non core
8517,3,Non core
8529,1,Non core
8531,3,Non core
8532,48,Non core
8533,24,Non core
8537,5,Non core
8542,4,Non core
8543,34,Core
8544,3,Non core
8545,3,Non core
8549,1,Non core
8556,585,Core
8557,3,Non core
8560,2,Core
8571,3,Non core
8574,25,Non core
8575,2,Non core
8576,15,Non core
8577,3,Non core
8578,1,Non core
8579,1,Non core
8580,15,Non core
8582,5,Non core
8584,2,Non core
8586,1,Non core
8587,7,Non core
8590,2,Non core
8592,31,Non core
8596,12,Non core
8598,1,Non core
8600,2,Non core
8601,19,Core
8604,1,Non core
8607,4,Non core
8614,5,Non core
8617,14,Non core
8622,9,Non core
8623,34,Core
8625,5,Non core
8627,2,Non core
8632,1,Non core
8635,1,Non core
8641,12,Non core
8642,13,Non core
8645,11,Non core
8646,22,Non core
8648,53,Core
8650,1,Non core
8651,15,Non core
8652,18,Core
8655,48,Core
8660,1,Non core
8662,26,Non core
8669,2,Non core
8670,2,Non core
8671,1,Non core
8674,8,Non core
8685,8,Non core
8686,18,Non core
8687,2,Non core
8688,68,Non core
8689,6,Non core
8690,5,Non core
8696,1,Non core
8697,1,Non core
8698,2,Non core
8702,1,Non core
8703,1,Non core
8704,1,Non core
8710,3,Core
8716,20,Core
8718,1,Non core
8726,41,Core
8731,48,Core
8732,2,Non core
8735,25,Core
8736,20,Non core
8738,1,Non core
8740,3,Non core
8743,7,Non core
8745,39,Non core
8748,5,Non core
8749,28,Core
8752,1,Non core
8757,4,Non core
8759,15,Non core
8766,13,Core
8767,20,Non core
8768,23,Non core
8770,67,Non core
8771,2,Non core
8775,3,Non core
8776,19,Core
8777,21,Core
8779,2,Non core
8781,3,Non core
8782,11,Non core
8784,5,Non core
8786,31,Core
8787,29,Non core
8788,61,Non core
8789,19,Non core
8791,2,Non core
8792,4,Non core
8794,7,Non core
8797,30,Core
8799,1,Non core
8802,6,Non core
8803,12,Non core
8804,2,Non core
8808,1,Non core
8813,1,Non core
8818,3,Non core
8823,1,Non core
8824,19,Non core
8826,2,Non core
8829,15,Non core
8831,11,Non core
8832,1,Non core
8833,83,Core
8834,1,Non core
8836,1,Non core
8837,8,Non core
8839,7,Non core
8840,2,Non core
8844,4,Non core
8846,28,Core
8851,40,Non core
8856,1,Non core
8857,4,Non core
8859,6,Non core
8861,4,Non core
8863,23,Core
8864,27,Core
8865,9,Non core
8866,48,Non core
8868,6,Non core
8871,165,Non core
8872,1,Non core
8873,32,Non core
8874,14,Non core
8876,5,Non core
8878,31,Core
8880,1,Non core
8881,1,Non core
8882,20,Core
8887,2,Non core
8888,7,Non core
8889,12,Non core
8890,14,Non core
8895,8,Non core
8898,16,Core
8905,2,Non core
8907,34,Core
8909,7,Non core
8910,2,Non core
8911,41,Core
8912,8,Non core
8920,1,Non core
8921,2,Non core
8922,2,Non core
8930,3,Non core
8931,19,Non core
8932,54,Core
8933,1,Non core
8935,13,Non core
8938,1,Non core
8940,7,Non core
8944,22,Non core
8949,1,Non core
8950,3,Non core
8954,16,Non core
8958,3,Non core
8959,18,Non core
8964,1,Non core
8965,14,Non core
8967,7,Non core
8968,10,Non core
8969,1,Non core
8970,3,Non core
8974,1,Non core
8976,28,Non core
8978,31,Non core
8984,9,Non core
8988,18,Non core
8989,7,Non core
8992,117,Non core
8994,12,Non core
8995,1,Non core
8996,19,Non core
8997,6,Non core
9000,2,Non core
9001,1,Non core
9003,65,Core
9004,1,Non core
9013,7,Non core
9014,2,Non core
9019,1,Non core
9020,1,Non core
9029,12,Non core
9030,2,Non core
9031,1,Core
9032,2,Non core
9035,2,Non core
9037,22,Non core
9040,2,Core
9041,4,Non core
9043,4,Non core
9044,5,Non core
9045,1,Non core
9046,12,Non core
9048,6,Non core
9051,8,Non core
9057,2,Non core
9059,1,Non core
9060,27,Non core
9061,79,Non core
9062,4,Non core
9063,1,Non core
9064,8,Non core
9066,8,Non core
9067,5,Non core
9068,10,Non core
9069,3,Non core
9072,1,Non core
9073,1,Non core
9074,1,Non core
9076,14,Core
9077,4,Non core
9079,2,Non core
9084,1,Non core
9086,1,Non core
9089,2,Non core
9090,2,Non core
9091,10,Non core
9093,8,Non core
9094,4,Non core
9095,11,Core
9096,8,Non core
9098,47,Core
9100,13,Non core
9101,17,Non core
9107,93,Non core
9111,1,Non core
9112,3,Non core
9113,3,Non core
9114,1,Non core
9119,1,Non core
9121,1,Non core
9122,4,Non core
9123,1,Non core
9124,2,Non core
9126,18,Non core
9129,1,Non core
9130,1,Non core
9136,1,Non core
9139,5,Non core
9141,1,Non core
9142,19,Non core
9145,1,Non core
9146,8,Non core
9147,4,Non core
9149,1,Non core
9152,10,Non core
9155,7,Non core
9162,41,Core
9165,4,Non core
9166,2,Non core
9169,1,Non core
9171,20,Core
9172,14,Non core
9173,3,Non core
9174,3,Non core
9176,19,Non core
9177,1,Non core
9178,15,Non core
9180,8,Non core
9186,16,Non core
9188,11,Non core
9189,9,Non core
9190,3,Non core
9191,3,Non core
9194,7,Non core
9196,14,Non core
9200,25,Core
9204,5,Non core
9205,3,Core
9207,4,Non core
9209,5,Non core
9212,4,Non core
9213,2,Non core
9214,19,Non core
9215,3,Non core
9216,6,Non core
9218,14,Non core
9219,3,Non core
9223,11,Non core
9225,11,Non core
9227,1,Non core
9234,22,Non core
9235,2,Non core
9236,22,Core
9237,55,Core
9246,2,Non core
9247,8,Non core
9248,5,Non core
9249,4,Non core
9251,2,Non core
9253,5,Non core
9257,29,Non core
9263,30,Non core
9268,28,Non core
9272,5,Non core
9274,2,Non core
9275,18,Non core
9276,12,Core
9278,1,Non core
9282,3,Non core
9284,1,Non core
9285,7,Non core
9289,1,Non core
9290,2,Non core
9295,1,Non core
9297,2,Non core
9299,1,Non core
9300,3,Non core
9301,8,Non core
9303,52,Core
9309,3,Non core
9311,36,Core
9312,15,Core
9313,14,Non core
9315,11,Non core
9317,33,Core
9318,1,Non core
9320,3,Non core
9323,21,Core
9327,5,Non core
9331,20,Non core
9332,1,Non core
9335,8,Non core
9337,10,Non core
9343,1,Non core
9347,1,Non core
9349,11,Non core
9352,12,Non core
9355,1,Non core
9359,1,Non core
9361,17,Non core
9363,1,Non core
9364,9,Non core
9365,1,Non core
9366,13,Non core
9367,1,Non core
9369,34,Core
9373,29,Non core
9375,14,Non core
9377,29,Non core
9380,5,Non core
9382,116,Core
9383,8,Non core
9387,25,Core
9392,3,Non core
9396,21,Non core
9397,216,Non core
9398,2,Non core
9407,19,Non core
9408,16,Non core
9409,8,Non core
9410,52,Non core
9412,13,Non core
9414,293,Non core
9415,5,Non core
9416,2,Non core
9419,1,Non core
9420,22,Non core
9423,20,Non core
9426,7,Non core
9429,1,Non core
9431,4,Non core
9432,11,Non core
9438,3,Non core
9439,12,Non core
9443,1,Non core
9444,11,Non core
9446,1,Non core
9447,1,Non core
9448,11,Non core
9449,14,Non core
9450,15,Non core
9452,11,Non core
9453,31,Non core
9454,1,Non core
9459,36,Non core
9461,4,Non core
9464,1,Non core
9466,4,Non core
9475,1,Non core
9479,2,Non core
9480,2,Non core
9483,5,Non core
9484,1,Non core
9485,10,Non core
9488,24,Non core
9492,6,Non core
9493,4,Non core
9498,8,Core
9499,3,Non core
9500,64,Core
9514,7,Non core
9515,39,Non core
9516,1,Non core
9519,1,Non core
9520,2,Non core
9521,8,Non core
9524,11,Non core
9526,22,Non core
9531,34,Core
9532,1,Non core
9533,13,Non core
9535,38,Core
9536,24,Non core
9537,20,Core
9539,1,Non core
9542,101,Core
9545,55,Core
9546,13,Non core
9548,17,Core
9550,15,Non core
9551,13,Non core
9552,8,Non core
9553,3,Non core
9554,3,Non core
9555,30,Non core
9556,2,Non core
9557,3,Non core
9558,9,Non core
9560,25,Non core
9562,50,Core
9563,10,Non core
9564,1,Non core
9565,4,Non core
9567,1,Non core
9569,21,Non core
9571,1,Non core
9572,5,Non core
9576,47,Core
9577,3,Non core
9580,5,Non core
9581,15,Non core
9582,21,Core
9588,15,Non core
9589,2,Non core
9591,16,Core
9592,92,Non core
9594,1,Non core
9596,3,Non core
9598,1,Non core
9600,7,Non core
9601,3,Non core
9604,1,Non core
9605,3,Non core
9607,1,Non core
9608,12,Core
9610,13,Non core
9622,28,Non core
9623,6,Non core
9624,19,Non core
9625,16,Core
9626,6,Non core
9630,1,Non core
9631,18,Non core
9634,1,Non core
9636,1,Non core
9638,1,Non core
9642,13,Non core
9645,8,Non core
9647,5,Non core
9648,6,Core
9649,8,Non core
9651,1,Non core
9654,1,Non core
9656,119,Non core
9657,1,Non core
9658,2,Non core
9659,6,Non core
9662,3,Non core
9664,53,Non core
9665,1,Non core
9667,1,Non core
9669,2,Non core
9671,6,Non core
9680,4,Non core
9683,6,Non core
9684,6,Non core
9686,1,Non core
9689,1,Non core
9693,1,Non core
9698,3,Non core
9701,6,Non core
9705,8,Non core
9706,1,Non core
9708,67,Core
9712,61,Non core
9715,1,Non core
9717,45,Core
9718,2,Non core
9719,1,Non core
9722,4,Non core
9725,30,Non core
9726,1,Non core
9730,10,Non core
9740,9,Non core
9746,7,Non core
9749,7,Non core
9750,8,Non core
9754,1,Non core
9755,3,Non core
9757,1,Core
9760,5,Non core
9767,1,Non core
9769,1,Non core
9770,6,Non core
9771,1,Non core
9774,1,Non core
9775,16,Non core
9778,2,Non core
9779,1,Non core
9782,6,Non core
9788,25,Core
9791,2,Non core
9796,110,Core
9800,12,Non core
9801,2,Non core
9802,1,Non core
9810,1,Non core
9811,4,Non core
9816,161,Core
9820,35,Core
9825,1,Non core
9836,1,Non core
9847,4,Non core
9853,4,Non core
9854,1,Non core
9856,2,Non core
9860,3,Non core
9865,1,Non core
9878,2,Non core
9879,1,Non core
9881,2,Non core
9887,1,Non core
9889,1,Non core
9894,6,Non core
9895,3,Non core
9907,2,Non core
9910,7,Non core
9911,9,Non core
9914,68,Core
9918,1,Non core
9922,1,Non core
9924,5,Non core
9926,2,Non core
9927,5,Non core
9930,1,Non core
9932,4,Non core
9933,1,Non core
9940,5,Non core
9945,2,Non core
9946,4,Non core
9947,1,Non core
9952,1,Non core
9954,35,Non core
9958,2,Non core
9959,1,Non core
9960,1,Non core
9961,2,Non core
9963,24,Non core
9970,21,Non core
9971,9,Non core
9975,5,Non core
9976,72,Core
9977,20,Non core
9978,23,Non core
9979,13,Non core
9981,27,Non core
9983,22,Non core
9987,1,Non core
9988,4,Non core
9989,1,Non core
9995,8,Non core
9997,2,Non core
10000,2,Non core
10004,1,Non core
10007,5,Non core
10008,10,Non core
10014,11,Non core
10016,7,Non core
10017,1,Non core
10018,9,Non core
10019,1,Non core
10020,4,Non core
10022,36,Core
10025,1,Non core
10034,14,Non core
10035,51,Core
10043,7,Non core
10046,29,Non core
10056,3,Non core
10058,42,Non core
10061,28,Non core
10063,39,Core
10064,4,Non core
10068,328,Non core
10070,1,Non core
10071,1,Non core
10073,4,Non core
10076,1,Non core
10086,23,Non core
10088,3,Non core
10089,6,Non core
10090,11,Non core
10091,1,Non core
10094,1,Non core
10095,1,Non core
10096,1,Non core
10097,1,Non core
10099,3,Non core
10100,2,Non core
10105,4,Non core
10106,4,Non core
10108,3,Non core
10110,10,Non core
10112,29,Non core
10114,1,Non core
10115,26,Non core
10126,3,Non core
10127,5,Non core
10134,5,Core
10135,59,Core
10136,15,Core
10139,3,Non core
10140,2,Non core
10149,1,Non core
10151,4,Non core
10155,3,Non core
10156,2,Non core
10161,2,Non core
10163,2,Non core
10165,5,Non core
10175,1,Non core
10176,2,Non core
10177,4,Non core
10179,3,Non core
10180,1,Non core
10181,6,Non core
10185,3,Non core
10186,1,Non core
10187,2,Non core
10190,2,Non core
10196,1,Non core
10200,6,Non core
10202,8,Non core
10203,1,Non core
10206,43,Core
10207,6,Non core
10210,3,Non core
10212,2,Non core
10213,8,Non core
10214,1,Non core
10215,21,Non core
10216,1,Non core
10217,10,Non core
10218,4,Non core
10221,8,Non core
10222,1,Non core
10224,19,Core
10234,40,Core
10237,39,Core
10239,113,Core
10241,1,Non core
10242,8,Non core
10243,3,Non core
10244,1,Non core
10245,3,Non core
10247,9,Non core
10248,1,Non core
10250,24,Core
10256,1,Non core
10257,21,Non core
10258,3,Non core
10261,3,Non core
10262,1,Non core
10263,36,Non core
10266,5,Non core
10267,29,Non core
10269,7,Non core
10271,5,Non core
10273,48,Core
10275,4,Non core
10277,5,Non core
10278,9,Non core
10279,2,Non core
10280,1,Non core
10281,17,Non core
10282,1,Non core
10283,1,Non core
10284,3,Non core
10288,26,Non core
10289,4,Non core
10290,11,Non core
10295,16,Non core
10298,7,Core
10300,7,Non core
10301,4,Non core
10303,2,Non core
10304,1,Non core
10310,4,Non core
10311,38,Core
10313,7,Non core
10314,1,Non core
10318,2,Non core
10321,1,Non core
10322,1,Non core
10323,1,Non core
10326,1,Non core
10327,10,Non core
10330,2,Non core
10335,4,Non core
10338,12,Non core
10341,2,Non core
10342,46,Core
10343,69,Non core
10345,6,Non core
10347,9,Non core
10348,8,Core
10350,1,Non core
10351,1,Non core
10352,1,Non core
10353,13,Non core
10354,3,Non core
10356,3,Non core
10358,2,Non core
10359,5,Non core
10366,54,Non core
10368,4,Non core
10369,13,Non core
10370,10,Non core
10373,12,Non core
10374,10,Non core
10375,11,Non core
10378,4,Non core
10379,36,Non core
10380,20,Non core
10383,12,Non core
10384,38,Core
10388,3,Non core
10391,29,Core
10392,15,Non core
10393,5,Non core
10395,1,Non core
10396,7,Non core
10399,2,Non core
10405,2,Non core
10406,1,Non core
10409,1,Non core
10413,6,Non core
10415,1,Non core
10419,21,Core
10420,20,Core
10421,1,Non core
10424,4,Non core
10425,1,Non core
10428,2,Non core
10429,1,Non core
10438,2,Non core
10439,28,Non core
10440,6,Non core
10442,5,Non core
10443,16,Core
10453,31,Non core
10459,137,Core
10469,1,Non core
10471,1,Non core
10474,14,Core
10475,12,Core
10476,1,Non core
10477,14,Non core
10479,5,Non core
10483,1,Non core
10485,15,Non core
10486,6,Non core
10487,26,Non core
10488,22,Non core
10489,15,Non core
10492,2,Non core
10494,1,Non core
10495,1,Non core
10497,49,Non core
10507,8,Non core
10509,1,Non core
10511,9,Non core
10512,1,Non core
10513,4,Non core
10515,8,Non core
10517,3,Non core
10518,3,Non core
10519,1,Non core
10521,5,Non core
10523,2,Non core
10526,5,Non core
10528,1,Non core
10535,1,Non core
10536,6,Non core
10540,48,Non core
10547,4,Non core
10549,2,Non core
10555,2,Non core
10556,15,Non core
10558,13,Non core
10559,14,Non core
10570,1,Non core
10574,6,Non core
10578,6,Non core
10579,5,Non core
10583,10,Non core
10584,18,Core
10585,2,Non core
10586,2,Non core
10588,1,Non core
10589,1,Non core
10594,10,Non core
10598,1,Non core
10601,2,Non core
10605,3,Non core
10607,110,Core
10608,41,Core
10618,11,Non core
10621,2,Non core
10626,4,Non core
10628,10,Non core
10634,4,Non core
10635,13,Non core
10637,1,Non core
10644,16,Core
10652,5,Non core
10655,1,Non core
10656,1,Non core
10657,8,Non core
10662,2,Non core
10663,2,Non core
10665,4,Non core
10667,4,Non core
10669,1,Non core
10670,51,Core
10672,5,Non core
10674,6,Non core
10675,3,Non core
10676,3,Non core
10677,2,Non core
10680,1,Non core
10683,6,Non core
10684,2,Non core
10697,19,Non core
10705,27,Non core
10707,1,Non core
10717,1,Non core
10721,2,Non core
10723,1,Non core
10725,26,Non core
10727,1,Non core
10728,1,Non core
10730,1,Non core
10731,3,Non core
10732,10,Non core
10735,5,Non core
10744,1,Non core
10747,1,Non core
10750,4,Non core
10752,1,Non core
10753,2,Non core
10755,1,Non core
10757,1,Non core
10760,4,Non core
10765,19,Non core
10770,1,Non core
10773,1,Non core
10777,3,Non core
10780,9,Non core
10781,10,Non core
10786,2,Non core
10787,26,Non core
10789,3,Non core
10791,7,Non core
10795,12,Non core
10796,12,Non core
10797,4,Non core
10800,1,Non core
10806,12,Non core
10809,4,Non core
10812,2,Non core
10814,3,Non core
10816,2,Non core
10818,3,Non core
10822,1,Non core
10827,2,Non core
10829,2,Non core
10832,1,Non core
10836,8,Non core
10839,1,Non core
10842,29,Non core
10846,1,Non core
10847,2,Non core
10849,3,Non core
10850,41,Core
10851,3,Non core
10856,5,Core
10857,8,Non core
10864,1,Non core
10870,4,Non core
10873,142,Non core
10876,2,Non core
10880,2,Non core
10881,44,Core
10884,1,Non core
10886,1,Non core
10896,1,Non core
10897,19,Non core
10899,1,Non core
10903,1,Non core
10910,25,Core
10911,3,Non core
10912,1,Non core
10913,1,Non core
10917,11,Non core
10918,2,Non core
10919,2,Non core
10923,1,Non core
10924,7,Non core
10928,1,Non core
10934,1,Non core
10937,2,Non core
10939,1,Non core
10945,1,Non core
10950,1,Non core
10951,1,Non core
10956,1,Non core
10959,22,Core
10960,2,Non core
10962,6,Non core
10964,1,Non core
10965,4,Non core
10966,2,Non core
10967,2,Non core
10969,75,Core
10971,3,Non core
10972,2,Non core
10973,4,Non core
10977,1,Non core
10980,39,Core
10984,8,Non core
10987,25,Non core
10992,8,Non core
10994,1,Non core
10997,1,Non core
10998,1,Non core
10999,1,Non core
11002,1,Non core
11006,3,Core
11011,4,Non core
11015,1,Non core
11017,6,Non core
11019,1,Non core
11020,1,Non core
11022,37,Non core
11024,2,Core
11027,1,Non core
11029,12,Core
11033,1,Non core
11034,24,Core
11036,2,Non core
11040,1,Non core
11042,3,Non core
11045,12,Non core
11047,18,Non core
11049,1,Non core
11057,5,Non core
11059,4,Non core
11061,4,Non core
11069,10,Non core
11075,10,Non core
11076,28,Core
11079,6,Non core
11081,19,Core
11082,41,Non core
11084,2,Non core
11085,19,Non core
11089,1,Non core
11090,68,Core
11094,16,Non core
11096,5,Non core
11098,8,Non core
11105,70,Core
11109,27,Core
11110,8,Non core
11114,16,Non core
11123,1,Non core
11127,2,Non core
11132,4,Non core
11135,1,Non core
11138,2,Non core
11139,7,Non core
11151,14,Core
11153,2,Non core
11154,5,Non core
11155,20,Core
11156,1,Non core
11159,15,Non core
11163,5,Non core
11166,56,Non core
11171,3,Non core
11174,1,Non core
11176,15,Non core
11181,1,Non core
11182,6,Non core
11186,1,Non core
11189,13,Non core
11193,3,Non core
11194,1,Non core
11196,2,Non core
11197,4,Non core
11203,1,Non core
11204,3,Non core
11207,1,Non core
11208,13,Non core
11214,1,Non core
11215,5,Non core
11219,1,Non core
11221,1,Non core
11224,68,Non core
11227,3,Non core
11234,3,Non core
11235,14,Non core
11236,3,Non core
11237,3,Non core
11238,1,Non core
11239,1,Non core
11240,9,Core
11244,1,Non core
11253,1,Non core
11254,1,Non core
11255,7,Non core
11261,2,Non core
11264,5,Non core
11268,35,Non core
11269,5,Non core
11275,1,Non core
11278,84,Core
11279,27,Non core
11286,3,Non core
11290,13,Non core
11292,36,Core
11293,2,Non core
11295,1,Non core
11296,1,Non core
11297,16,Non core
11299,5,Non core
11302,17,Non core
11303,27,Non core
11306,2,Non core
11307,19,Non core
11308,1,Non core
11312,2,Non core
11313,14,Non core
11315,4,Non core
11316,5,Non core
11317,7,Core
11323,1,Non core
11324,3,Non core
11326,1,Non core
11328,2,Non core
11330,2,Non core
11333,16,Non core
11335,1,Non core
11343,55,Core
11345,2,Non core
11347,15,Non core
11349,3,Non core
11353,3,Non core
11355,2,Non core
11356,41,Core
11360,2,Non core
11361,2,Non core
11364,4,Non core
11365,7,Non core
11366,5,Non core
11367,3,Non core
11373,1,Non core
11380,1,Non core
11387,13,Non core
11391,40,Non core
11395,1,Non core
11397,13,Core
11399,1,Non core
11407,1,Non core
11415,1,Non core
11417,1,Non core
11418,4,Non core
11420,8,Non core
11424,13,Non core
11425,2,Non core
11427,11,Non core
11428,14,Non core
11433,4,Non core
11434,4,Non core
11437,2,Non core
11444,41,Non core
11447,4,Non core
11448,1,Non core
11453,1,Non core
11457,3,Non core
11458,1,Non core
11459,4,Non core
11466,2,Non core
11468,1,Non core
11473,2,Non core
11475,1,Non core
11479,7,Core
11482,7,Non core
11486,2,Non core
11489,2,Non core
11491,80,Non core
11495,1,Non core
11500,1,Non core
11503,7,Non core
11505,1,Non core
11509,2,Non core
11515,12,Non core
11521,3,Non core
11526,1,Non core
11530,9,Non core
11531,6,Non core
11533,1,Non core
11536,61,Core
11538,7,Core
11539,1,Non core
11545,1,Non core
11546,5,Non core
11547,3,Non core
11548,2,Non core
11549,10,Non core
11555,1,Non core
11561,26,Core
11562,1,Non core
11564,101,Core
11577,17,Non core
11580,16,Core
11582,5,Non core
11583,33,Core
11587,10,Non core
11589,47,Non core
11592,2,Non core
11598,4,Non core
11599,3,Non core
11600,55,Core
11602,3,Non core
11603,2,Non core
11604,68,Core
11605,4,Non core
11606,1,Non core
11610,9,Non core
11614,13,Non core
11615,1,Non core
11616,3,Non core
11622,6,Non core
11624,1,Non core
11625,1,Non core
11626,1,Non core
11628,87,Core
11631,3,Non core
11636,4,Non core
11637,3,Non core
11638,8,Non core
11642,10,Non core
11644,2,Non core
11645,1,Non core
11647,9,Non core
11650,22,Non core
11651,1,Non core
11655,84,Core
11660,3,Non core
11661,2,Non core
11662,12,Non core
11665,1,Non core
11667,2,Non core
11669,6,Non core
11670,7,Non core
11671,10,Non core
11672,9,Non core
11673,4,Non core
11674,5,Core
11675,1,Non core
11676,6,Non core
11678,2,Non core
11681,8,Non core
11682,24,Core
11683,4,Non core
11685,23,Non core
11686,1,Non core
11689,16,Non core
11690,1,Non core
11692,17,Non core
11695,2,Non core
11698,3,Non core
11701,2,Non core
11702,4,Non core
11704,8,Non core
11706,4,Non core
11708,17,Non core
11709,1,Non core
11710,5,Non core
11711,5,Non core
11714,4,Non core
11716,23,Core
11730,2,Non core
11731,5,Non core
11732,3,Non core
11737,2,Non core
11739,3,Non core
11741,2,Non core
11744,8,Non core
11748,13,Core
11750,8,Non core
11751,8,Non core
11752,3,Non core
11753,6,Non core
11757,7,Non core
11758,6,Non core
11759,5,Non core
11762,8,Non core
11768,2,Non core
11774,7,Non core
11776,1,Non core
11778,20,Core
11782,16,Non core
11783,6,Non core
11784,3,Non core
11785,2,Non core
11787,2,Non core
11793,2,Non core
11794,1,Non core
11797,6,Non core
11798,2,Non core
11800,11,Non core
11802,2,Non core
11803,13,Non core
11804,3,Non core
11805,230,Non core
11807,1,Non core
11809,21,Non core
11810,10,Non core
11813,2,Non core
11816,51,Non core
11818,1,Non core
11819,14,Core
11820,3,Non core
11822,11,Non core
11823,2,Non core
11824,1,Non core
11825,4,Non core
11827,25,Core
11831,1,Non core
11832,9,Non core
11834,1,Non core
11835,1,Non core
11858,3,Non core
11860,3,Non core
11861,32,Core
11863,4,Non core
11864,5,Non core
11865,18,Non core
11866,1,Non core
11869,47,Non core
11872,1,Non core
11877,5,Non core
11878,23,Non core
11880,11,Non core
11881,5,Non core
11884,2,Non core
11885,13,Non core
11887,1,Non core
11889,5,Non core
11892,1,Non core
11893,1,Non core
11895,1,Non core
11897,5,Non core
11898,20,Non core
11901,1,Non core
11902,5,Non core
11903,9,Non core
11904,351,Core
11905,1,Non core
11907,14,Non core
11913,1,Non core
11915,30,Core
11923,3,Non core
11928,2,Non core
11929,26,Core
11933,7,Non core
11934,18,Non core
11938,1,Non core
11939,3,Non core
11941,7,Non core
11947,2,Non core
11950,1,Non core
11952,28,Core
11956,6,Non core
11957,1,Non core
11968,17,Non core
11969,14,Core
11970,7,Non core
11973,4,Non core
11975,99,Core
11997,9,Non core
12000,90,Non core
12004,1,Non core
12013,1,Non core
12014,1,Non core
12015,13,Non core
12021,31,Core
12022,4,Non core
12024,18,Non core
12028,2,Non core
12030,3,Non core
12035,3,Non core
12036,2,Non core
12038,31,Non core
12039,25,Non core
12043,2,Non core
12045,2,Non core
12050,4,Non core
12051,2,Non core
12053,10,Non core
12056,2,Non core
12057,1,Non core
12058,1,Non core
12060,1,Non core
12064,2,Non core
12069,7,Non core
12071,40,Non core
12076,14,Core
12080,16,Non core
12084,2,Non core
12087,3,Non core
12088,9,Non core
12092,13,Non core
12095,1,Non core
12100,9,Non core
12103,2,Non core
12105,1,Non core
12107,1,Non core
12108,10,Non core
12110,5,Core
12112,9,Non core
12114,6,Non core
12119,8,Non core
12124,2,Non core
12129,6,Non core
12131,1,Non core
12133,13,Non core
12134,6,Non core
12139,10,Non core
12140,5,Non core
12141,8,Non core
12142,2,Non core
12149,7,Non core
12150,5,Non core
12156,7,Non core
12160,9,Non core
12161,1,Non core
12170,1,Non core
12171,53,Core
12175,27,Non core
12176,1,Non core
12177,12,Non core
12178,1,Non core
12182,6,Non core
12184,6,Non core
12188,1,Non core
12190,1,Non core
12192,1,Non core
12193,7,Core
12195,1,Non core
12196,9,Non core
12197,1,Non core
12198,2,Non core
12199,15,Non core
12200,21,Non core
12208,9,Non core
12210,2,Non core
12211,8,Non core
12215,5,Non core
12223,1,Non core
12231,6,Non core
12232,13,Core
12246,1,Non core
12247,1,Non core
12255,4,Non core
12256,3,Non core
12257,7,Non core
12259,13,Non core
12261,3,Non core
12262,1,Non core
12271,3,Non core
12275,10,Non core
12279,8,Non core
12280,4,Non core
12281,23,Non core
12283,1,Non core
12285,3,Non core
12287,2,Non core
12288,2,Non core
12293,3,Non core
12296,1,Non core
12297,3,Non core
12299,15,Non core
12304,2,Non core
12307,1,Non core
12311,2,Non core
12315,3,Non core
12316,2,Non core
12320,8,Non core
12321,34,Core
12323,25,Non core
12325,14,Core
12335,1,Non core
12337,1,Non core
12340,11,Non core
12343,1,Non core
12350,2,Non core
12351,2,Non core
12354,1,Non core
12355,11,Non core
12356,49,Core
12361,1,Non core
12362,4,Non core
12363,24,Non core
12367,3,Core
12371,2,Non core
12376,2,Non core
12377,1,Non core
12378,6,Non core
12382,12,Non core
12385,51,Non core
12388,1,Non core
12391,2,Non core
12393,128,Core
12394,9,Core
12395,29,Core
12398,30,Non core
12399,1,Non core
12400,6,Non core
12402,50,Non core
12403,17,Non core
12404,85,Core
12405,1,Non core
12407,7,Non core
12408,22,Non core
12410,4,Non core
12411,4,Non core
12412,5,Non core
12415,7,Non core
12417,12,Non core
12425,1,Non core
12428,2,Non core
12430,1,Non core
12436,1,Non core
12437,2,Non core
12440,1,Non core
12441,4,Non core
12442,3,Non core
12443,11,Non core
12444,14,Non core
12449,1,Non core
12454,4,Non core
12455,16,Core
12456,2,Non core
12459,25,Core
12464,1,Non core
12473,1,Non core
12476,3,Non core
12482,1,Non core
12483,1,Non core
12484,13,Non core
12485,3,Non core
12486,4,Non core
12487,13,Non core
12493,1,Non core
12505,1,Non core
12512,21,Non core
12513,5,Non core
12514,2,Non core
12516,3,Non core
12519,2,Non core
12521,2,Non core
12524,4,Non core
12525,17,Non core
