reviewer,projects_nbr,rev_status
1616,4,Non core
1627,3,Non core
1631,1,Non core
1633,14,Non core
1635,2,Non core
1636,4,Non core
1653,72,Non core
1660,1,Non core
1669,105,Core
1670,2,Non core
1678,14,Non core
1687,3,Non core
1689,16,Non core
1690,1,Non core
1699,9,Non core
1706,11,Non core
1711,9,Non core
1726,59,Core
1736,141,Core
1742,1,Non core
1749,2,Non core
1761,1,Non core
1773,8,Non core
1775,1,Non core
1779,32,Non core
1782,4,Non core
1783,2,Non core
1792,1,Non core
1794,1,Non core
1795,11,Non core
1801,14,Non core
1802,1,Non core
1803,10,Non core
1805,1,Non core
1806,1,Non core
1812,25,Non core
1814,5,Non core
1816,20,Non core
1821,5,Non core
1822,1,Non core
1826,1,Non core
1828,1,Non core
1836,1,Non core
1839,3,Non core
1849,56,Non core
1861,1,Non core
1865,21,Non core
1870,5,Non core
1872,5,Non core
1882,7,Non core
1894,31,Non core
1904,2,Non core
1914,1,Non core
1916,70,Non core
1918,42,Non core
1921,55,Core
1923,24,Non core
1925,17,Core
1926,68,Core
1935,9,Non core
1941,56,Non core
1943,1,Non core
1952,2,Non core
1955,115,Core
1958,2,Non core
1970,10,Non core
1976,12,Non core
1978,2,Non core
1981,3,Non core
1991,16,Core
1994,49,Non core
1998,10,Non core
1999,1,Non core
2011,23,Non core
2023,18,Core
2031,20,Non core
2033,20,Core
2035,35,Non core
2036,4,Non core
2039,1,Non core
2043,3,Non core
2062,27,Core
2064,13,Non core
2067,5,Non core
2069,5,Non core
2096,2,Non core
2101,8,Non core
2106,1,Non core
2109,9,Non core
2115,2,Non core
2135,2,Non core
2140,2,Non core
2146,1,Non core
2147,1,Non core
2170,8,Non core
2174,1,Non core
2185,2,Non core
2208,1,Non core
2214,1,Non core
2218,71,Non core
2222,2,Non core
2226,2,Non core
2230,9,Non core
2238,2,Non core
2243,53,Core
2245,28,Core
2258,1,Non core
2261,1,Non core
2264,1,Non core
2265,34,Non core
2270,2,Non core
2271,73,Non core
2276,31,Non core
2284,49,Core
2308,1,Non core
2310,1,Non core
2322,4,Non core
2323,3,Non core
2325,15,Non core
2332,1,Non core
2340,36,Non core
2350,5,Non core
2353,3,Non core
2367,1,Non core
2376,13,Non core
2383,1,Non core
2394,45,Core
2401,4,Non core
2404,4,Non core
2417,34,Non core
2419,30,Core
2424,89,Non core
2437,1,Non core
2439,3,Non core
2448,35,Core
2453,3,Non core
2455,11,Non core
2458,5,Non core
2459,1,Non core
2463,26,Non core
2467,29,Non core
2468,17,Non core
2472,270,Core
2475,10,Non core
2477,1,Non core
2481,12,Non core
2486,1,Non core
2505,1,Non core
2506,20,Core
2510,1,Non core
2515,3,Non core
2531,4,Non core
2535,3,Non core
2537,32,Non core
2556,14,Non core
2559,4,Non core
2560,2,Non core
2561,1,Non core
2574,2,Non core
2583,11,Non core
2589,15,Non core
2592,53,Non core
2607,6,Non core
2622,21,Non core
2634,9,Non core
2649,8,Non core
2652,1,Non core
2654,1,Non core
2661,1,Non core
2667,6,Non core
2672,1,Non core
2674,1,Non core
2681,2,Non core
2696,7,Non core
2697,4,Non core
2711,34,Non core
2726,2,Non core
2732,1,Non core
2733,10,Non core
2737,1,Non core
2741,1,Non core
2750,147,Core
2754,2,Non core
2756,1,Non core
2759,17,Non core
2760,1,Non core
2763,4,Non core
2769,3,Non core
2792,4,Non core
2793,1,Non core
2799,95,Core
2804,1,Non core
2807,18,Non core
2813,97,Core
2814,1,Non core
2822,1,Non core
2828,4,Non core
2834,35,Non core
2835,8,Non core
2846,4,Non core
2847,1,Non core
2860,23,Non core
2861,12,Non core
2872,1,Non core
2874,70,Core
2883,2,Non core
2888,27,Core
2889,51,Core
2903,81,Core
2907,1,Non core
2914,1,Non core
2928,12,Non core
2933,2,Non core
2934,11,Non core
2949,1,Non core
2967,9,Non core
2976,7,Non core
2983,1,Non core
3009,35,Core
3012,61,Core
3031,42,Non core
3032,1,Non core
3059,1,Non core
3068,12,Core
3085,12,Non core
3094,7,Non core
3098,26,Non core
3099,25,Core
3108,19,Non core
3109,1,Non core
3114,7,Non core
3131,1,Non core
3152,2,Non core
3153,212,Core
3185,44,Core
3189,10,Non core
3191,7,Non core
3208,8,Non core
3211,13,Non core
3217,18,Non core
4108,2,Non core
