team,intersection,status
horizon,5.555555555555555,Core
horizon,6.25,Core
horizon,29.41176470588235,Core
horizon,6.666666666666667,Core
horizon,6.666666666666667,Core
horizon,47.61904761904762,Core
horizon,42.85714285714285,Core
horizon,33.333333333333336,Core
horizon,47.36842105263158,Core
horizon,6.666666666666667,Core
horizon,47.36842105263158,Core
horizon,11.11111111111111,Core
horizon,36.36363636363637,Core
horizon,10.526315789473683,Core
horizon,11.11111111111111,Core
horizon,11.11111111111111,Core
horizon,12.5,Core
horizon,42.85714285714285,Core
horizon,6.25,Core
horizon,36.36363636363637,Core
horizon,28.571428571428573,Core
horizon,42.10526315789474,Core
horizon,21.73913043478261,Core
horizon,11.11111111111111,Core
horizon,60.0,Core
horizon,8.333333333333334,Core
horizon,40.0,Core
horizon,40.0,Core
horizon,10.0,Core
horizon,10.526315789473683,Core
horizon,5.555555555555555,Core
horizon,5.555555555555555,Core
horizon,40.0,Core
horizon,5.555555555555555,Core
horizon,22.22222222222222,Core
horizon,5.0,Core
horizon,20.0,Core
horizon,22.22222222222222,Core
horizon,22.22222222222222,Core
horizon,50.0,Core
horizon,5.0,Core
horizon,60.0,Core
horizon,5.0,Core
horizon,5.882352941176471,Core
horizon,12.5,Core
horizon,11.764705882352942,Core
horizon,22.22222222222222,Core
horizon,10.0,Core
horizon,66.66666666666667,Core
horizon,66.66666666666667,Core
horizon,5.2631578947368425,Core
horizon,5.555555555555555,Core
horizon,6.25,Core
horizon,6.25,Core
horizon,66.66666666666667,Core
horizon,6.25,Core
horizon,12.5,Core
horizon,5.555555555555555,Core
horizon,11.11111111111111,Core
horizon,12.5,Core
horizon,12.5,Core
horizon,40.0,Core
horizon,5.555555555555555,Core
horizon,50.0,Core
horizon,5.555555555555555,Core
horizon,6.666666666666667,Core
horizon,6.666666666666667,Core
horizon,6.25,Core
horizon,12.5,Core
horizon,11.11111111111111,Core
horizon,11.11111111111111,Core
horizon,31.57894736842105,Core
horizon,33.333333333333336,Core
horizon,37.5,Core
horizon,57.142857142857146,Core
horizon,11.11111111111111,Core
horizon,46.66666666666666,Core
horizon,40.0,Core
horizon,41.1764705882353,Core
horizon,36.36363636363637,Core
horizon,40.0,Core
horizon,40.0,Core
horizon,20.0,Core
horizon,41.1764705882353,Core
horizon,10.0,Core
horizon,41.1764705882353,Core
horizon,50.0,Core
horizon,61.53846153846154,Core
horizon,29.41176470588235,Core
horizon,40.0,Core
horizon,100.0,Core
horizon,5.555555555555555,Core
horizon,5.882352941176471,Core
horizon,6.666666666666667,Core
horizon,6.666666666666667,Core
horizon,100.0,Core
horizon,6.666666666666667,Core
horizon,14.285714285714286,Core
horizon,5.882352941176471,Core
horizon,12.5,Core
horizon,14.285714285714286,Core
horizon,14.285714285714286,Core
horizon,50.0,Core
horizon,5.882352941176471,Core
horizon,66.66666666666667,Core
horizon,5.882352941176471,Core
horizon,7.142857142857143,Core
horizon,7.142857142857143,Core
horizon,6.666666666666667,Core
horizon,14.285714285714286,Core
horizon,5.555555555555555,Core
horizon,5.882352941176471,Core
horizon,6.666666666666667,Core
horizon,6.666666666666667,Core
horizon,100.0,Core
horizon,6.666666666666667,Core
horizon,14.285714285714286,Core
horizon,5.882352941176471,Core
horizon,12.5,Core
horizon,14.285714285714286,Core
horizon,14.285714285714286,Core
horizon,50.0,Core
horizon,5.882352941176471,Core
horizon,66.66666666666667,Core
horizon,5.882352941176471,Core
horizon,7.142857142857143,Core
horizon,7.142857142857143,Core
horizon,6.666666666666667,Core
horizon,14.285714285714286,Core
horizon,57.142857142857146,Core
horizon,34.78260869565217,Core
horizon,55.0,Core
horizon,5.555555555555555,Core
horizon,47.61904761904762,Core
horizon,21.05263157894737,Core
horizon,37.5,Core
horizon,20.0,Core
horizon,21.05263157894737,Core
horizon,21.05263157894737,Core
horizon,16.666666666666668,Core
horizon,43.47826086956522,Core
horizon,11.11111111111111,Core
horizon,57.142857142857146,Core
horizon,30.43478260869565,Core
horizon,57.89473684210526,Core
horizon,29.166666666666668,Core
horizon,21.05263157894737,Core
horizon,50.0,Core
horizon,57.89473684210526,Core
horizon,5.882352941176471,Core
horizon,50.0,Core
horizon,29.41176470588235,Core
horizon,39.130434782608695,Core
horizon,35.294117647058826,Core
horizon,29.41176470588235,Core
horizon,29.41176470588235,Core
horizon,17.647058823529413,Core
horizon,45.45454545454545,Core
horizon,11.764705882352942,Core
horizon,39.130434782608695,Core
horizon,45.0,Core
horizon,61.11111111111112,Core
horizon,42.85714285714285,Core
horizon,29.41176470588235,Core
horizon,55.55555555555556,Core
horizon,6.666666666666667,Core
horizon,55.55555555555556,Core
horizon,25.0,Core
horizon,36.36363636363637,Core
horizon,23.529411764705884,Core
horizon,25.0,Core
horizon,25.0,Core
horizon,12.5,Core
horizon,50.0,Core
horizon,6.25,Core
horizon,50.0,Core
horizon,80.0,Core
horizon,50.0,Core
horizon,75.0,Core
horizon,25.0,Core
horizon,6.666666666666667,Core
horizon,55.55555555555556,Core
horizon,25.0,Core
horizon,42.85714285714285,Core
horizon,23.529411764705884,Core
horizon,25.0,Core
horizon,25.0,Core
horizon,12.5,Core
horizon,76.47058823529412,Core
horizon,6.25,Core
horizon,50.0,Core
horizon,58.8235294117647,Core
horizon,80.0,Core
horizon,40.0,Core
horizon,25.0,Core
horizon,6.666666666666667,Core
horizon,14.285714285714286,Core
horizon,5.882352941176471,Core
horizon,12.5,Core
horizon,14.285714285714286,Core
horizon,14.285714285714286,Core
horizon,50.0,Core
horizon,5.882352941176471,Core
horizon,66.66666666666667,Core
horizon,5.882352941176471,Core
horizon,7.142857142857143,Core
horizon,7.142857142857143,Core
horizon,6.666666666666667,Core
horizon,14.285714285714286,Core
horizon,25.0,Core
horizon,50.0,Core
horizon,23.529411764705884,Core
horizon,25.0,Core
horizon,25.0,Core
horizon,12.5,Core
horizon,50.0,Core
horizon,6.25,Core
horizon,42.85714285714285,Core
horizon,42.10526315789474,Core
horizon,58.8235294117647,Core
horizon,40.0,Core
horizon,25.0,Core
horizon,22.22222222222222,Core
horizon,85.71428571428571,Core
horizon,100.0,Core
horizon,100.0,Core
horizon,25.0,Core
horizon,15.789473684210526,Core
horizon,28.571428571428573,Core
horizon,15.789473684210526,Core
horizon,26.666666666666668,Core
horizon,35.714285714285715,Core
horizon,33.333333333333336,Core
horizon,100.0,Core
horizon,21.05263157894737,Core
horizon,22.22222222222222,Core
horizon,22.22222222222222,Core
horizon,11.11111111111111,Core
horizon,33.333333333333336,Core
horizon,5.555555555555555,Core
horizon,39.130434782608695,Core
horizon,38.095238095238095,Core
horizon,45.0,Core
horizon,30.43478260869565,Core
horizon,22.22222222222222,Core
horizon,85.71428571428571,Core
horizon,85.71428571428571,Core
horizon,22.22222222222222,Core
horizon,15.0,Core
