repo,developers,devs_count
sahara-core,"[23078, 10459, 30077, 8932, 33353]",5
ironic-ui-core,[11655],1
futurist-core,[10239],1
sushy-oem-idrac-core,"[27909, 10250, 17558, 26340, 23851, 23847]",6
python-dracclient-core,"[27909, 10250, 10644, 10239, 17558, 6773, 23847]",7
senlin-dashboard-core,"[8246, 16352, 6610, 6763]",4
networking-generic-switch-core,"[14826, 9542, 12232, 14525, 12356]",5
ansible-role-thales-hsm-core,[1004],1
ansible-role-atos-hsm-core,[1004],1
service-types-authority-core,"[964, 11564, 14070, 2, 2750]",5
os-testr-core,"[4146, 8556, 22873, 5689, 5196, 2750, 4190]",7
openstack-ansible-os_designate-core,"[8099, 6816]",2
openstack-ansible-os_gnocchi-core,"[20587, 1004]",2
ptgbot-core,"[2394, 308]",2
automaton-core,[6618],1
debtcollector-core,"[2472, 1297]",2
vitrage-dashboard-core,"[19122, 19140, 24635, 19233, 19134, 9031, 19184, 19159, 1736, 19142]",10
compute-hyperv-core,"[12604, 3185, 8213, 8543]",4
networking-hyperv-core,"[12604, 3185, 8213, 8543]",4
i18n-core,"[841, 17765, 14482, 17566, 6882]",5
watcher-dashboard-core,"[19055, 18971, 24872, 28748, 21692]",5
os-service-types-core,"[11564, 8482, 2472, 14070, 2]",5
tempest-stress-core,[8556],1
liberasurecode-core,"[330, 8433, 4608, 597, 9625, 17363, 7485]",7
os-client-config-core,"[2889, 3099, 970, 1726, 2]",5
os-performance-tools-core,"[6488, 8556, 5196]",3
molteniron-core,"[5660, 18242, 11929]",3
patrole-core,"[23186, 8556, 6167, 16274, 17896, 23185, 8911, 30742]",8
performance-docs-core,"[3012, 5950, 15232]",3
sphinx-feature-classification-core,[14070],1
etcd3gw-core,"[6928, 5638, 30491]",3
watcher-specs-core,"[19055, 18971, 24872, 19457, 28748, 21692, 24501]",7
yaql-core,"[8127, 7225, 29085, 14107]",4
openstack-zuul-roles-core,[6547],1
nova-powervm-core,"[16551, 14806, 13637, 14070, 10608, 28063, 14581]",7
openstack-helm-addons-core,"[21420, 23928]",2
qa-specs-core,"[8556, 5689, 5196]",3
zaqar-specs-core,"[6484, 6159, 8846, 15054]",4
whereto-core,[2472],1
ansible-role-tripleo-modify-image-core,"[3153, 4571]",2
panko-core,"[6732, 14107]",2
api-sig-core,"[11564, 10239, 1063, 10670]",4
microversion-parse-core,"[11564, 10239, 1063, 14070, 10670]",5
reviewstats-core,"[6472, 1561, 2750, 11904, 4190]",5
openstack-helm-deployments-core,"[28618, 21420]",2
coverage2sql-core,"[8556, 22873, 5689]",3
bashate-core,"[8556, 7118, 5371]",3
hacking-core,"[6928, 2472, 8556, 31239, 30491, 24162]",6
openstack-chef-core,"[19193, 13252, 11915, 21961, 14790]",5
puppet-monasca-core,"[8126, 9500, 11155]",3
eslint-config-openstack-core,"[8556, 5689]",2
karma-subunit-reporter-core,"[8556, 9717, 17001]",3
openstack-helm-docs-core,[23928],1
tripleo-ha-utils-core,[20936],1
goal-tools-core,"[2472, 5046, 6873, 11904]",4
cookiecutter-core,"[5196, 2]",2
dib-utils-core,[6928],1
constellations-core,"[2472, 782]",2
self-healing-sig-core,"[2394, 18591]",2
security-specs-core,"[11397, 11029, 7063]",3
openstack-ansible-os_panko-core,"[20587, 1004]",2
osops-core,"[2394, 15993, 28606, 681, 9076, 17556, 1004, 15007, 11904]",9
multi-arch-sig-core,"[7118, 23078, 22076, 8125, 12404]",5
openstack-ansible-os_almanach-core,"[17784, 20902, 18063]",3
murano-apps-core,"[13149, 15168, 6577]",3
training-labs-core,"[20770, 7007, 11109]",3
karbor-core,"[13070, 2023, 20883, 17151, 21224, 19346]",6
devstack-plugin-open-cas-core,[28948],1
openstack-ansible-os_congress-core,"[17068, 21883]",2
ansible-role-openstack-operations-core,[3153],1
scientific-wg-core,"[7546, 21671, 10910]",3
bugdaystats-core,[11904],1
upstream-institute-virtual-environment-core,"[14482, 9562, 10298]",3
monasca-transform-core,"[11580, 9276, 7565, 10311, 2419, 16222]",6
nose-html-output-core,[841],1
kolla-cli-core,"[16520, 7488, 24147, 17386]",4
neutron-lbaas-dashboard-core,"[841, 10980, 11628]",3
searchlight-core,"[5314, 29228, 27068]",3
searchlight-ui-core,"[14124, 10063, 7665, 27068]",4
searchlight-specs-core,[7665],1
publiccloud-sig-core,"[16984, 10134, 23924, 13629]",4
uc-recognition-core,"[15993, 704, 7272, 17556, 17505, 12651, 612, 14091]",8
ops-tags-team-core,"[15993, 704, 4625, 17556, 12651, 9382, 7232, 136, 612, 14091, 12110]",11
workload-ref-archs-core,"[12651, 14091]",2
arch-wg-core,"[6488, 970, 308]",3
openstack-ansible-os_monasca-core,[22981],1
openstack-ansible-os_monasca-agent-core,[2799],1
openstack-planet-core,"[964, 1, 10348, 2, 287, 308]",6
logstash-filters-core,[6039],1
qinling-dashboard-core,"[25936, 6732]",2
qinling-core,"[21781, 6732]",2
monasca-analytics-core,"[21739, 12193, 2419, 16222]",4
openstack-ansible-os_monasca-ui-core,[2799],1
auto-scaling-sig-core,"[2394, 27224, 12404, 4257, 16222]",5
os-loganalyze-core,[2750],1
networking-l2gw-core,"[7018, 13770, 8313, 21626, 6558, 6854]",6
python-wsmanclient-core,"[10239, 7419, 18893, 13362]",4
fuel-upgrade-core,"[8749, 10391]",2
fairy-slipper-core,"[5754, 964, 2448, 7260, 782, 15293, 6167, 1991]",8
ironic-webclient-core,"[16628, 9717]",2
release-tools-core,"[5638, 2472, 22816, 11904, 308]",5
gnocchi-core,"[11564, 2284, 1669, 6537]",4
networking-ofagent-core,"[9200, 6854, 8344]",3
python-neutron-pd-driver-core,[6637],1
openstack-ansible-security-core,[538],1
tripleo-ui-core,"[9317, 20970, 4978]",3
dragonflow-core,"[6598, 23766, 23235, 20229, 17880]",5
networking-onos-core,"[11343, 16788, 25575, 9168, 14605]",5
openstack-ux-core,"[6547, 17736, 5623, 11778, 6650, 12367, 9162, 14124, 20060, 13781, 12651, 7665]",12
mox3-core,"[2472, 2]",2
python-tricircleclient-core,"[11819, 1004, 8726]",3
tricircle-core,"[11819, 1004, 19060, 8726, 12076, 27215, 5367, 28071, 17448]",9
congress-core,"[25553, 11278, 18591, 8878, 13995, 8215]",6
syntribos-core,"[15515, 18729, 17709, 15259, 8603, 18462, 21297]",7
openstack-ansible-os_molteniron-core,[2799],1
faafo-core,"[6547, 167, 612]",3
