id,changes,status
6537,5212,Core
7450,163,Core
8770,864,Non core
27954,504,Non core
34815,1,Non core
31022,1,Non core
17896,495,Core
24434,1,Non core
22636,263,Non core
32876,1,Non core
15054,1497,Core
8932,2028,Core
28275,35,Non core
33987,13,Non core
17887,195,Non core
30746,79,Non core
33282,44,Non core
30911,12,Non core
27498,23,Non core
30092,41,Non core
22076,683,Core
12860,815,Core
19391,94,Non core
27499,46,Non core
19724,16,Core
27880,94,Core
31289,1808,Non core
31821,99,Core
16198,102,Non core
28714,128,Non core
33728,4,Non core
16957,52,Non core
33594,5,Non core
34121,4,Non core
9397,260,Non core
14287,63,Non core
32966,2,Non core
4727,278,Non core
10135,2780,Core
8287,1,Non core
27478,83,Core
2481,56,Non core
24501,290,Core
30028,4,Non core
34213,2,Non core
34550,6,Non core
31749,23,Non core
30534,6,Non core
14806,184,Core
2218,2555,Non core
33582,10,Non core
30463,4,Non core
34544,2,Non core
34628,1,Non core
18236,82,Non core
748,6021,Non core
26343,1896,Non core
30495,134,Non core
21314,113,Non core
29881,6,Non core
25011,14,Non core
28403,44,Non core
30200,11,Non core
14675,84,Non core
34350,1,Non core
21107,18,Non core
6995,427,Core
11022,1122,Non core
15205,33,Non core
30998,24,Non core
32523,10,Non core
18142,37,Non core
29585,84,Non core
28664,15,Non core
30858,14,Non core
34516,1,Non core
32304,108,Core
34304,1,Non core
26141,582,Non core
17823,431,Non core
34017,21,Non core
28050,19,Non core
34596,1,Non core
34465,1,Non core
11928,8,Non core
32333,1,Non core
14594,18,Non core
2799,2048,Core
32070,11,Non core
33643,1,Non core
33006,1,Non core
33608,9,Non core
33945,4,Non core
28295,8,Non core
32637,3,Non core
20171,55,Non core
14552,152,Non core
33390,6,Non core
33176,3,Non core
10910,78,Core
8866,614,Non core
24,1159,Non core
10267,267,Non core
5754,3735,Core
33003,1,Non core
34056,2,Non core
24816,32,Non core
33696,3,Non core
31503,4,Non core
34340,4,Non core
28595,38,Non core
33546,5,Non core
27086,18,Non core
34334,3,Non core
32851,2,Non core
18971,860,Core
19055,791,Core
24872,534,Core
26461,1,Non core
29911,332,Non core
23871,207,Non core
34421,1,Non core
32577,27,Core
30408,46,Non core
32036,52,Non core
20705,7,Non core
9200,251,Core
31506,39,Non core
30395,16,Non core
34394,1,Non core
16721,17,Non core
27809,213,Non core
30906,8,Non core
9317,1410,Core
12825,93,Non core
24220,1,Non core
33061,5,Non core
30696,17,Non core
33636,8,Non core
30165,64,Non core
32587,1,Non core
30958,1,Non core
12988,171,Non core
21757,45,Non core
10089,16,Non core
29325,1,Non core
18279,91,Non core
35041,1,Non core
6873,11228,Core
8871,13016,Non core
23186,1862,Core
27078,286,Non core
9373,420,Non core
32787,1,Non core
29880,25,Non core
22318,29,Non core
32449,1,Non core
17558,10,Core
14510,146,Non core
34406,2,Non core
10237,794,Core
27654,868,Core
33774,8,Non core
2463,80,Non core
19743,10,Non core
7386,155,Non core
33983,1,Non core
30515,21,Non core
33721,1,Non core
33652,20,Non core
32417,3,Non core
4219,4,Non core
33671,5,Non core
31518,2,Non core
33871,7,Non core
29805,7,Non core
9610,20,Non core
24849,34,Non core
28778,33,Non core
29636,1,Non core
34113,1,Non core
30438,45,Non core
6994,705,Non core
27345,1,Non core
28022,735,Core
31750,8,Non core
1926,2035,Core
34167,2,Non core
18306,7,Non core
25613,67,Non core
7160,539,Non core
32728,82,Non core
9247,10,Non core
287,189,Core
8000,130,Core
8710,18,Core
32595,3,Non core
34150,1,Non core
31661,29,Non core
33826,4,Non core
13323,703,Non core
20408,15,Non core
28058,3,Non core
13511,9,Non core
30636,7,Non core
30690,13,Non core
26222,779,Core
32493,10,Non core
12640,39,Non core
819,50,Non core
13826,1,Non core
34173,4,Non core
30609,11,Non core
33818,7,Non core
25877,1015,Non core
32266,35,Non core
33558,7,Non core
32618,2,Non core
34188,1,Non core
8318,91,Non core
19521,19,Non core
30901,11,Non core
32604,4,Non core
28035,90,Non core
30882,8,Non core
33694,3,Non core
32219,63,Non core
9592,5322,Non core
30314,9,Non core
32627,23,Non core
34116,1,Non core
29161,153,Non core
29937,7,Non core
30384,24,Non core
31083,2,Non core
34071,5,Non core
360,5230,Core
1561,6106,Core
10873,7551,Non core
17440,4,Non core
34117,1,Non core
32469,3,Non core
16707,629,Non core
33828,4,Non core
10350,1,Non core
22170,1,Non core
10850,2128,Core
27715,40,Non core
29268,113,Non core
31016,71,Non core
33130,4,Non core
27252,9,Non core
16347,34,Non core
12371,5,Non core
2276,132,Non core
31239,82,Core
16308,236,Non core
29202,2,Non core
33492,10,Non core
33789,1,Non core
33284,3,Non core
31417,5,Non core
30859,6,Non core
15905,599,Core
33896,2,Non core
5950,347,Core
31754,3,Non core
13343,1145,Non core
28208,65,Non core
33576,1,Non core
27256,24,Non core
12039,892,Non core
30054,9,Non core
13438,121,Non core
31039,17,Non core
26159,267,Non core
9820,1103,Core
21691,664,Non core
27336,385,Non core
27546,49,Non core
27781,819,Non core
29071,78,Non core
22312,13,Non core
26081,1,Non core
20363,175,Non core
29863,17,Non core
16373,18,Non core
32531,25,Non core
27340,2,Non core
33240,4,Non core
32826,17,Non core
12932,20,Non core
32842,3,Non core
10338,17,Non core
32553,2,Non core
33380,6,Non core
33756,2,Non core
32296,4,Non core
31814,3,Non core
14131,395,Core
21672,373,Core
33229,3,Non core
4328,7745,Non core
26114,60,Non core
32712,2,Non core
33613,1,Non core
31825,7,Non core
31959,14,Non core
33469,17,Non core
7543,140,Non core
29425,152,Non core
17305,5,Non core
22713,38,Non core
28618,164,Core
33611,1,Non core
14907,146,Non core
31510,30,Non core
29865,790,Core
30211,3,Non core
8726,505,Core
1921,1853,Core
6167,6632,Core
33458,2,Non core
3,311199,Non core
9796,2652,Core
33436,4,Non core
26264,1,Non core
28025,54,Non core
10034,58,Non core
31880,3,Non core
7125,2078,Non core
32075,9,Non core
22214,9,Non core
29298,40,Non core
7404,1960,Core
9323,149,Core
11034,1818,Core
15857,292,Core
23401,338,Core
23517,290,Core
25395,101,Core
30582,86,Non core
32592,5,Non core
28011,11,Non core
33602,3,Non core
32216,6,Non core
19457,428,Core
30075,7,Non core
28899,10,Non core
23140,191,Non core
11952,510,Core
31890,1,Non core
7020,189,Non core
30996,8,Non core
18213,19,Non core
29651,4,Non core
7,6166,Non core
11564,4360,Core
20805,2387,Non core
7262,636,Non core
10413,10,Non core
31976,4,Non core
10224,647,Core
7063,460,Core
7042,356,Non core
16532,37,Non core
21797,763,Non core
23060,507,Non core
23173,293,Non core
29503,196,Non core
26588,356,Core
33914,1,Non core
21785,92,Core
33730,1,Non core
31882,39,Non core
31455,15,Non core
11109,725,Core
7225,2927,Core
15168,2953,Core
19136,57,Non core
8157,564,Non core
14273,932,Non core
14517,748,Non core
16168,974,Non core
18179,477,Non core
11297,268,Non core
7514,60,Core
31418,6,Non core
25726,4,Non core
32635,9,Non core
23924,21,Core
22722,16,Non core
5575,94,Non core
18511,402,Non core
14972,25,Non core
7616,98,Non core
32171,42,Non core
28691,37,Non core
32722,1,Non core
21273,158,Non core
30357,20,Non core
8532,1049,Non core
11290,26,Non core
31525,5,Non core
14270,68,Non core
32158,2,Non core
27978,20,Non core
34212,1,Non core
20190,1024,Core
27141,59,Non core
9555,649,Non core
32261,1,Non core
6924,1546,Non core
11154,7,Non core
7769,669,Core
18841,1,Non core
31828,16,Non core
33525,1,Non core
11151,507,Core
14101,472,Core
14340,617,Core
14509,702,Core
22405,508,Core
22484,429,Core
27068,810,Core
8482,4119,Core
23096,1,Non core
13039,2724,Non core
30447,28,Non core
20366,1,Non core
2475,45,Non core
33136,1,Non core
25625,727,Core
3185,407,Core
32438,23,Non core
13636,931,Non core
31241,13,Non core
29156,2,Non core
13807,9,Non core
31079,1,Non core
4428,884,Core
6172,2850,Core
6835,440,Core
7369,1244,Core
7428,1309,Core
10475,830,Core
11748,309,Core
12395,908,Core
19011,288,Core
21528,278,Core
22960,193,Core
29963,2133,Non core
12356,1844,Core
13380,853,Core
18955,1222,Core
19644,272,Core
25847,100,Core
23825,164,Non core
13637,108,Core
16551,52,Core
29349,29,Non core
31827,8,Non core
29222,565,Non core
9791,5,Non core
25820,35,Non core
20146,121,Non core
29191,9,Non core
11869,1756,Non core
708,789,Core
9268,143,Non core
30705,3,Non core
25695,319,Core
9171,840,Core
17097,227,Non core
28332,43,Non core
30498,4,Non core
30744,3,Non core
31902,48,Non core
11934,87,Non core
8175,928,Non core
32622,1,Non core
32090,3,Non core
33370,1,Non core
30441,1,Non core
18538,12,Non core
28014,43,Non core
30442,25,Non core
33128,4,Non core
10250,348,Core
10644,164,Core
31636,19,Non core
32533,13,Non core
31479,32,Non core
32260,10,Non core
25089,8,Non core
23598,50,Non core
32108,12,Non core
13689,432,Non core
30963,48,Non core
29422,21,Non core
13852,65,Non core
8745,307,Non core
27822,493,Non core
12021,1290,Core
31792,6,Non core
21714,16,Non core
14352,1768,Core
33032,3,Non core
32755,2,Non core
24680,17,Non core
21570,46,Non core
15921,206,Non core
33474,1,Non core
19307,287,Core
32623,1,Non core
21718,3,Non core
31052,6,Non core
33083,3,Non core
741,2214,Non core
8174,870,Non core
31561,1,Non core
6507,51,Non core
33148,4,Non core
