id,age,changes
7166,3379,351
31581,315,9
16708,2637,312
34520,189,8
31033,1088,54
34750,158,6
32755,644,33
11536,2985,1584
35320,0,1
33765,414,15
32460,0,1
35058,52,79
34720,161,6
34346,274,9
5241,3418,462
31857,824,42
35067,51,43
6681,3516,525
24828,2010,236
35117,0,1
11166,3072,415
34653,180,13
27565,1706,154
30455,1183,148
14394,2455,6
32148,796,7
16011,2082,101
9708,3176,941
33795,396,5
34754,6,2
34107,329,5
31813,857,26
15527,739,35
167,3882,1436
33634,451,10
29775,1156,243
32671,644,3
34665,97,11
34340,270,27
32921,616,43
32020,615,23
23360,2154,20
34543,204,8
9642,2744,17
33492,459,39
23922,1298,11
33473,318,6
5803,3607,431
7353,3390,2313
1179,3666,413
24777,1981,6
28048,1623,176
30615,1172,95
34712,54,3
30380,1219,62
33612,267,13
30077,1208,32
32114,811,36
33240,524,20
35266,0,1
21961,2297,335
34847,17,4
13177,2588,82
12825,2930,39
28329,1556,80
33717,411,49
35233,0,1
33244,471,12
6282,3567,81
34892,97,4
29543,1319,27
31746,888,74
24061,2115,60
4149,3160,47
6968,3468,331
12404,2884,744
9545,3192,1067
34667,0,1
34123,313,13
35238,0,1
8846,3261,227
35173,16,2
31728,0,1
34319,190,4
8104,60,2
31737,895,26
28062,1608,229
32363,726,20
35012,20,3
21387,2288,380
28748,1497,179
16164,97,5
15206,2747,10
9535,2750,626
19134,2486,703
7130,3443,116
32029,794,236
10234,3019,414
33594,445,3
32581,671,14
9311,3188,249
35203,6,3
9303,3120,416
31072,1002,30
34637,16,2
35161,19,3
34271,114,17
32190,620,21
34106,10,2
23866,2135,28
28743,1489,36
30750,1122,75
35192,3,3
11075,2656,44
34257,0,1
27418,1655,5
26922,1790,2
16339,2492,15
31324,0,1
35099,27,6
31450,953,11
30555,1145,35
34510,0,1
35098,24,4
34913,58,3
31683,854,2
6618,3485,603
20778,2324,345
31506,868,76
35024,50,6
35169,0,1
17068,2566,2355
14805,2753,798
27442,1498,2
5559,2572,10
31976,800,8
35178,0,1
31652,698,4
15054,2673,394
33502,316,7
33648,349,14
30996,1050,6
597,3863,163
33881,223,39
8864,3225,306
35091,12,3
14525,2683,554
32688,623,5
