project,team
monasca-events-api,monasca
monasca-notification,monasca
monasca-persister,monasca
monasca-statsd,monasca
monasca-tempest-plugin,monasca
monasca-thresh,monasca
monasca-ui,monasca
python-monascaclient,monasca
monasca-transform,monasca
monasca-ceilometer,monasca
monasca-kibana-plugin,monasca
monasca-log-api,monasca
monasca-grafana-datasource,monasca
murano,murano
murano-agent,murano
murano-dashboard,murano
murano-tempest-plugin,murano
python-muranoclient,murano
murano-apps,murano
murano-pkg-check,murano
yaql,murano
neutron-lib,neutron
os-ken,neutron
ovsdbapp,neutron
python-neutronclient,neutron
networking-bagpipe,neutron
networking-bgpvpn,neutron
networking-sfc,neutron
neutron,neutron
neutron-dynamic-routing,neutron
neutron-fwaas,neutron
neutron-fwaas-dashboard,neutron
neutron-tempest-plugin,neutron
neutron-vpnaas,neutron
neutron-vpnaas-dashboard,neutron
ovn-octavia-provider,neutron
tap-as-a-service,neutron
networking-odl,neutron
networking-midonet,neutron
networking-ovn,neutron
networking-ofagent,neutron
networking-onos,neutron
os-vif,nova
nova,nova
osc-placement,nova
placement,nova
python-novaclient,nova
os-resource-classes,nova
os-traits,nova
octavia-lib,octavia
python-octaviaclient,octavia
octavia,octavia
octavia-dashboard,octavia
octavia-tempest-plugin,octavia
neutron-lbaas,octavia
neutron-lbaas-dashboard,octavia
openstack-ansible,openstackansible
ansible-config_template,openstackansible
cliff,openstacksdk
openstacksdk,openstacksdk
osc-lib,openstacksdk
python-openstackclient,openstacksdk
os-client-config,openstacksdk
shade,openstacksdk
requestsexceptions,openstacksdk
openstackclient,openstacksdk
os-service-types,openstacksdk
oslo.context,oslo
oslo.i18n,oslo
oslo.log,oslo
oslo.messaging,oslo
oslo.utils,oslo
oslo.vmware,oslo
automaton,oslo
castellan,oslo
oslo.cache,oslo
oslo.concurrency,oslo
oslo.config,oslo
oslo.db,oslo
oslo.limit,oslo
oslo.metrics,oslo
oslo.middleware,oslo
oslo.policy,oslo
oslo.privsep,oslo
oslo.reports,oslo
oslo.rootwrap,oslo
oslo.serialization,oslo
oslo.service,oslo
oslo.upgradecheck,oslo
oslo.versionedobjects,oslo
stevedore,oslo
taskflow,oslo
tooz,oslo
debtcollector,oslo
futurist,oslo
oslotest,oslo
osprofiler,oslo
mox3,oslo
oslosphinx,oslo
etcd3gw,oslo
microversion-parse,oslo
os-api-ref,oslo
pbr,oslo
pylockfile,oslo
sphinx-feature-classification,oslo
puppet-aodh,puppetopenstack
puppet-barbican,puppetopenstack
puppet-ceilometer,puppetopenstack
puppet-cinder,puppetopenstack
puppet-cloudkitty,puppetopenstack
puppet-designate,puppetopenstack
puppet-ec2api,puppetopenstack
puppet-glance,puppetopenstack
