team,projects
requirements,['requirements']
sahara,"['python-saharaclient', 'sahara', 'sahara-dashboard', 'sahara-extra', 'sahara-image-elements', 'sahara-plugin-ambari', 'sahara-plugin-cdh', 'sahara-plugin-mapr', 'sahara-plugin-spark', 'sahara-plugin-storm', 'sahara-plugin-vanilla', 'sahara-tests', 'sahara-specs']"
senlin,"['senlin', 'python-senlinclient', 'senlin-dashboard', 'senlin-tempest-plugin']"
skyline,"['skyline-apiserver', 'skyline-console']"
solum,"['python-solumclient', 'solum', 'solum-dashboard', 'solum-specs', 'solum-tempest-plugin']"
storlets,['storlets']
swift,"['liberasurecode', 'pyeclib', 'python-swiftclient', 'swift', 'swift-bench']"
tacker,"['tacker', 'tacker-horizon', 'python-tackerclient', 'tacker-specs']"
telemetry,"['aodh', 'ceilometer', 'telemetry-specs', 'ceilometermiddleware', 'python-aodhclient', 'telemetry-tempest-plugin']"
tripleo,"['ansible-role-chrony', 'ansible-role-collect-logs', 'ansible-role-container-registry', 'ansible-role-openstack-operations', 'ansible-role-redhat-subscription', 'ansible-role-tripleo-modify-image', 'dib-utils', 'instack-undercloud', 'openstack-tempest-skiplist', 'openstack-virtual-baremetal', 'os-apply-config', 'os-collect-config', 'os-net-config', 'os-refresh-config', 'paunch', 'puppet-pacemaker', 'puppet-tripleo', 'python-tripleoclient', 'tripleo-ansible', 'tripleo-ci', 'tripleo-common', 'tripleo-docs', 'tripleo-heat-templates', 'tripleo-image-elements', 'tripleo-ipsec', 'tripleo-operator-ansible', 'tripleo-puppet-elements', 'tripleo-quickstart', 'tripleo-repos', 'tripleo-specs', 'tripleo-upgrade', 'tripleo-validations', 'validations-common', 'validations-libs', 'tripleo-ha-utils']"
trove,"['python-troveclient', 'trove', 'trove-dashboard', 'trove-specs', 'trove-tempest-plugin']"
venus,"['venus', 'venus-specs', 'venus-dashboard', 'python-venusclient', 'venus-tempest-plugin']"
vitrage,"['vitrage', 'vitrage-specs', 'vitrage-tempest-plugin', 'python-vitrageclient', 'vitrage-dashboard', 'xstatic-dagre', 'xstatic-dagre-d3', 'xstatic-graphlib', 'xstatic-lodash', 'xstatic-moment', 'xstatic-moment-timezone']"
watcher,"['watcher', 'watcher-specs', 'watcher-tempest-plugin', 'python-watcherclient', 'watcher-dashboard']"
winstackers,"['os-win', 'oswin-tempest-plugin', 'networking-hyperv', 'compute-hyperv']"
zaqar,"['python-zaqarclient', 'zaqar', 'zaqar-specs', 'zaqar-tempest-plugin', 'zaqar-ui']"
zun,"['python-zunclient', 'zun', 'zun-tempest-plugin', 'zun-ui']"
