release,project,dependent_projects
juno,openstack/oslo.vmware,31
kilo,openstack/puppet-tempest,-1
kilo,openstack/python-barbicanclient,1
kilo,openstack/cookbook-openstack-client,17
kilo,openstack/keystoneauth-saml2,5
kilo,openstack/pbr,-1
kilo,openstack/oslo.i18n,14
kilo,openstack/cookbook-openstack-identity,17
kilo,openstack/tooz,2
kilo,openstack/stevedore,2
kilo,openstack/puppet-glance,-1
kilo,openstack/python-novaclient,13
kilo,openstack/ironic,17
kilo,openstack/python-designateclient,12
kilo,openstack/ceilometer,14
kilo,openstack/cookbook-openstack-database,17
kilo,openstack/tripleo-heat-templates,6
kilo,openstack/oslo.concurrency,14
kilo,openstack/devstack-gate,8
kilo,openstack/astara-appliance,-1
kilo,openstack/python-troveclient,13
kilo,openstack/puppet-ceilometer,3
kilo,openstack/puppet-sahara,-1
kilo,openstack/oslo.context,1
kilo,openstack/fuel-docs,-1
kilo,openstack/designate,-1
kilo,openstack/cookbook-openstack-network,17
kilo,openstack/freezer-api,2
kilo,openstack/python-muranoclient,1
kilo,openstack/astara,-1
kilo,openstack/python-saharaclient,13
kilo,openstack/fuel-library,3
kilo,openstack/cookbook-openstack-ops-messaging,17
kilo,openstack/murano-apps,-1
kilo,openstack-attic/akanda-appliance-builder,-1
kilo,openstack/neutron,19
kilo,openstack/fuel-ostf,3
kilo,openstack/murano-dashboard,2
kilo,openstack/cookbook-openstack-telemetry,17
kilo,openstack/oslo.serialization,14
kilo,openstack/murano,2
kilo,openstack/release-tools,2
kilo,openstack/networking-midonet,-1
kilo,openstack/python-mistralclient,1
kilo,openstack/tacker,-1
kilo,openstack/os-client-config,2
kilo,openstack/tripleo-image-elements,3
kilo,openstack/fuel-astute,3
kilo,openstack/cookbook-openstack-data-processing,17
kilo,openstack/requirements,53
kilo,openstack/networking-odl,1
kilo,openstack/os-brick,1
kilo,openstack/python-zaqarclient,11
kilo,openstack/api-site,1
kilo,openstack/puppet-cinder,-1
kilo,openstack/tempest,10
kilo,openstack/python-openstackclient,4
kilo,openstack/django_openstack_auth,13
kilo,openstack/sahara,13
kilo,openstack/ossa,1
kilo,openstack/magnum,-1
kilo,openstack/networking-ovn,2
kilo,openstack/keystone,22
kilo,openstack/manila-ui,-1
kilo,openstack/compute-hyperv,1
kilo,openstack/mistral-extra,-1
kilo,openstack/python-heatclient,2
kilo,openstack/python-neutronclient,14
kilo,openstack/puppet-trove,-1
kilo,openstack/fuel-devops,1
kilo,openstack/kolla,-1
kilo,openstack/cookbook-openstack-dashboard,17
kilo,openstack/ec2-api,2
kilo,openstack/cookbook-openstack-bare-metal,17
kilo,openstack/tripleo-ci,4
kilo,openstack/networking-hyperv,-1
kilo,openstack/devstack,13
kilo,openstack/pycadf,1
kilo,openstack/fuel-main,5
kilo,openstack/python-swiftclient,2
kilo,openstack/manila,-1
kilo,openstack/heat-specs,1
kilo,openstack/cookbook-openstack-compute,17
kilo,openstack/oslo.policy,2
