is_cross,is_cross_service,Source_service,Target_service,lag,same_dev
True,True,openstackcharms,nova,654.35,True
True,True,openstackcharms,keystone,654.34,True
True,True,openstackcharms,cinder,654.38,True
True,False,designate,designate,46.94,True
True,False,tripleo,tripleo,0.01,True
True,False,tripleo,tripleo,0.01,True
True,False,tripleo,tripleo,647.55,True
True,False,kolla,kolla,7443.18,True
True,True,neutron,kuryr,1741.29,False
True,True,technicalcommittee,,412.42,True
True,False,neutron,neutron,28.47,False
True,False,tripleo,tripleo,12880.66,False
True,True,,technicalcommittee,0.1,True
True,False,tripleo,tripleo,0.06,True
True,True,tempest,tripleo,0.71,True
True,True,ironic,openstacksdk,0.02,True
True,True,tempest,nova,22.79,True
True,True,openstackcharms,horizon,48.64,True
True,True,openstackcharms,nova,48.62,True
True,True,openstackcharms,cinder,48.63,True
True,True,openstackcharms,placement,48.63,True
True,True,openstackcharms,neutron,48.63,True
True,True,openstackcharms,keystone,48.61,True
True,True,openstackcharms,glance,48.62,True
True,False,openstackansible,openstackansible,5.07,True
True,False,openstackansible,openstackansible,462.17,True
True,True,ironic,kolla,3173.34,False
False,False,kolla,kolla,3177.53,False
False,False,kolla,kolla,3190.45,False
True,False,openstackcharms,openstackcharms,0.06,True
True,False,openstackcharms,openstackcharms,69.15,True
True,True,releasemanagement,,0.02,False
True,True,oslo,tripleo,4507.4,False
True,False,tempest,tempest,140.42,False
True,True,openstackcharms,neutron,144.63,True
True,True,openstackcharms,glance,24.29,True
True,True,openstackcharms,placement,144.55,True
True,True,openstackcharms,horizon,145.53,True
True,True,openstackcharms,nova,26.6,True
True,True,openstackcharms,cinder,145.5,True
True,True,openstackcharms,keystone,24.17,True
True,True,puppetopenstack,tripleo,22.26,True
True,False,tripleo,tripleo,0.05,True
True,False,tripleo,tripleo,476.01,False
True,True,,keystone,99.37,True
True,True,telemetry,aodh,1631.42,False
True,False,nova,nova,575.53,False
True,False,neutron,neutron,4.75,True
True,False,oslo,oslo,2.42,True
True,True,,tripleo,1440.06,True
True,True,,tripleo,1365.53,True
True,True,ironic,requirements,1.22,False
True,False,octavia,octavia,504.11,True
True,True,ironic,,192.03,True
True,False,nova,nova,20.76,True
True,False,manila,manila,243.99,True
True,False,glance,glance,1.98,True
True,True,nova,openstacksdk,22.21,True
True,True,horizon,magnum,1614.83,True
False,False,glance,glance,68.92,False
True,False,manila,manila,0.0,True
True,True,glance,tempest,2353.95,False
True,False,designate,designate,18.97,True
False,False,ironic,ironic,124.26,False
True,False,tripleo,tripleo,0.08,True
True,True,nova,tempest,1631.1,True
True,False,cinder,cinder,290.12,True
True,False,nova,nova,699.03,True
True,False,openstackcharms,openstackcharms,696.77,True
True,False,tripleo,tripleo,17.75,True
True,False,kolla,kolla,0.08,True
True,False,neutron,neutron,22.67,True
True,True,qualityassurance,neutron,149.97,False
True,False,kolla,kolla,152.11,True
True,False,kolla,kolla,852.76,True
True,False,barbican,barbican,1.59,True
False,False,barbican,barbican,21.34,False
False,False,barbican,barbican,21.27,False
True,False,barbican,barbican,1.67,True
True,False,barbican,barbican,1.58,True
True,False,tripleo,tripleo,0.0,True
True,False,tripleo,tripleo,84.56,False
False,False,manila,manila,42.22,True
True,False,barbican,barbican,122.46,True
True,False,tripleo,tripleo,96.49,True
True,False,tripleo,tripleo,21.61,True
True,False,tripleo,tripleo,960.62,True
True,True,barbican,qualityassurance,22.66,True
True,True,nova,tempest,0.01,True
True,True,cinder,tempest,0.04,True
True,True,tempest,nova,1377.46,False
True,False,tripleo,tripleo,0.82,True
True,False,tripleo,tripleo,94.81,False
True,False,tripleo,tripleo,10.25,False
True,False,kolla,kolla,0.35,True
True,False,tripleo,tripleo,837.0,True
True,False,tripleo,tripleo,1.59,True
True,False,tripleo,tripleo,1.44,True
True,False,tripleo,tripleo,0.46,True
True,False,tripleo,tripleo,168.16,True
True,False,tripleo,tripleo,2777.95,True
True,False,tripleo,tripleo,0.58,True
True,False,tripleo,tripleo,189.88,True
True,False,tripleo,tripleo,2777.96,True
True,False,tripleo,tripleo,185.78,True
True,False,tripleo,tripleo,1632.99,True
True,False,nova,nova,54.39,True
True,False,tripleo,tripleo,0.0,True
True,False,tripleo,tripleo,2.88,True
True,True,neutron,kuryr,2984.94,False
True,False,neutron,neutron,31.7,True
True,False,manila,manila,1.18,True
True,True,qualityassurance,manila,23.85,False
False,False,manila,manila,44.77,True
True,True,requirements,ironic,322.31,True
True,True,qualityassurance,manila,23.62,False
False,False,manila,manila,44.71,True
True,False,tripleo,tripleo,688.07,True
True,True,horizon,octavia,521.53,False
True,False,openstackcharms,openstackcharms,1.04,True
True,True,,,0.03,True
True,False,kolla,kolla,0.02,True
True,False,openstackcharms,openstackcharms,7.66,True
False,False,qualityassurance,qualityassurance,20.18,True
False,False,manila,manila,1.09,False
False,False,manila,manila,29255.38,False
False,False,qualityassurance,qualityassurance,20.43,True
False,False,ironic,ironic,75.19,True
True,True,,,1.35,True
True,False,barbican,barbican,24.13,True
False,False,ironic,ironic,0.31,True
True,True,octavia,tripleo,939.62,False
True,True,horizon,senlin,1614.83,True
True,False,tripleo,tripleo,113.56,True
True,False,tripleo,tripleo,4231.96,True
True,False,tripleo,tripleo,695.47,True
True,False,tripleo,tripleo,0.13,True
True,True,puppetopenstack,tripleo,164.87,True
True,False,manila,manila,95.22,True
True,True,tempest,tripleo,0.63,True
True,True,,technicalcommittee,0.0,True
True,False,tripleo,tripleo,1.96,True
True,True,openstackansible,,521.63,False
True,True,openstackansible,,292.67,False
True,False,tripleo,tripleo,0.05,True
True,False,tripleo,tripleo,0.03,True
True,False,nova,nova,453.15,True
True,False,nova,nova,23.88,True
True,True,,tripleo,3.04,True
True,False,kolla,kolla,152.11,True
True,False,kolla,kolla,852.76,True
True,False,kolla,kolla,13334.58,True
True,False,qualityassurance,qualityassurance,254.51,True
True,False,tripleo,tripleo,16.27,True
True,True,requirements,ironic,0.04,True
True,True,kuryr,zun,117.83,False
False,False,cinder,cinder,8901.5,True
True,False,tripleo,tripleo,0.88,True
True,False,tripleo,tripleo,0.01,True
True,False,tripleo,tripleo,22.9,False
True,False,manila,manila,3193.98,False
True,False,openstackansible,openstackansible,4.38,True
True,True,tempest,tripleo,21.57,True
True,True,glance,tempest,2851.68,True
True,False,cinder,cinder,1.03,True
True,False,kolla,kolla,1183.47,False
True,False,tripleo,tripleo,0.32,True
True,False,tripleo,tripleo,0.55,True
True,False,tripleo,tripleo,168.1,True
