is_cross,is_cross_service,lag
True,True,0.04
True,False,118.18
True,True,17.57
True,False,0.03
True,True,6127.11
True,True,2882.48
True,True,25.61
True,False,1622.51
True,True,117.54
True,False,3.98
True,False,0.05
True,True,3985.2
True,False,127.73
True,True,0.24
True,False,24.86
True,False,33.5
True,True,5534.76
False,False,16.94
True,False,0.03
True,False,1861.2
True,False,1146.38
True,False,71.81
True,False,164.43
True,True,10668.3
True,True,6052.64
True,False,3405.26
True,True,669.45
True,True,0.06
True,True,24045.13
True,True,0.63
True,False,1995.89
True,True,0.02
True,False,971.46
True,True,26104.01
False,False,173.22
True,False,0.28
True,False,93.98
True,False,165.46
True,False,14.89
True,False,12.44
True,False,521.05
True,False,71.38
True,False,2.89
True,False,1825.82
True,False,355.47
True,True,9171.29
True,False,5132.58
True,False,0.18
True,False,0.31
True,False,0.03
True,False,5597.06
True,False,0.37
True,True,1898.87
True,False,569.85
True,False,17.69
True,False,144.32
True,False,19.55
True,True,1.03
True,True,1343.97
True,True,162.94
False,False,0.37
True,True,65.14
True,True,4357.96
True,False,430.37
False,False,0.28
True,True,694.01
True,False,1301.3
True,True,313.87
True,True,19.48
True,False,0.07
True,True,2815.57
False,False,3772.13
True,True,0.03
True,False,4008.86
True,True,15.09
False,False,10177.07
True,False,25.19
True,False,815.45
True,False,91.08
True,False,0.8
True,True,0.04
True,False,22.32
True,True,2444.87
True,True,0.04
True,False,0.91
True,True,1582.72
True,True,13.24
True,True,1.03
True,False,856.73
True,False,479.11
True,False,211.49
True,True,15643.71
False,False,5.29
True,False,5157.15
True,False,139.8
True,True,120.28
True,False,8233.95
True,True,238.11
True,True,986.04
True,True,71.28
True,False,601.7
True,False,475.54
False,False,22.73
False,False,439.22
False,False,3.41
True,False,118.74
True,True,0.37
True,True,0.01
True,True,21.56
True,False,4367.19
False,False,619.42
False,False,9210.19
True,True,74.26
True,False,2297.19
True,False,0.22
True,True,27.81
True,False,210.76
True,False,230.96
True,False,0.05
True,True,0.02
False,False,20.02
True,False,151.09
True,True,17.85
True,False,666.55
True,False,9.34
True,False,6298.27
True,False,497.18
True,False,1.21
True,True,0.82
True,False,0.07
True,False,0.07
True,False,19.64
True,False,411.08
True,True,12079.94
True,True,17391.99
True,False,531.08
True,True,6142.99
True,False,3747.3
True,True,1800.8
True,True,9905.27
True,True,213.5
True,False,796.65
True,False,3481.04
True,False,0.14
True,True,2611.48
True,False,177.71
True,True,5.51
True,False,312.61
True,False,20.09
True,True,6188.27
True,False,238.55
True,False,170.09
True,False,3013.58
True,False,25013.38
True,True,283.85
True,True,2680.57
True,True,0.58
True,False,817.71
True,False,207.22
True,True,0.2
True,True,4010.86
False,False,141.42
True,True,468.37
True,True,119.07
True,False,0.6
False,False,504.19
True,True,1489.66
True,True,3543.27
False,False,1825.01
False,False,23.23
True,True,119.19
True,True,24.7
True,False,1108.23
True,False,2.86
True,True,3074.66
True,False,268.46
True,False,376.54
True,False,0.25
True,False,1851.83
True,True,15.26
True,True,5.88
True,True,1852.09
True,True,163.88
True,False,1319.16
True,True,380.0
True,False,0.02
True,True,1027.58
True,False,69.95
True,True,0.28
True,False,3.57
True,False,0.03
True,True,0.24
True,True,0.06
True,False,501.5
True,False,0.9
True,False,1.93
True,False,52.32
True,False,0.94
True,False,0.04
True,False,0.57
True,False,7913.98
True,False,403.87
True,True,0.43
True,False,0.07
True,True,2322.53
True,False,16.15
True,False,497.92
True,False,172.04
True,True,0.04
True,True,1382.72
False,False,7269.12
True,False,333.44
True,False,0.12
True,True,416.26
True,True,297.13
True,True,23.02
True,False,148.48
True,True,92.72
True,True,2084.12
True,True,2994.61
True,False,255.42
True,False,22.72
True,True,1650.24
True,True,1772.14
False,False,99.85
True,False,2332.19
True,False,144.64
True,True,2366.98
True,False,30.3
True,False,1328.72
True,False,5788.05
True,True,0.2
True,True,483.37
True,False,79.55
True,False,654.06
True,True,1.16
True,True,2994.76
True,True,458.44
True,False,38.14
True,False,14756.37
True,True,3092.17
True,False,11844.68
True,False,1608.43
True,False,739.98
True,True,306.32
True,False,0.03
True,False,9236.4
True,False,1.25
True,False,671.08
True,False,3505.59
True,True,23.68
True,False,11305.15
True,False,765.53
True,True,342.12
True,False,17.21
True,False,1920.77
True,False,0.43
True,False,1017.28
True,False,3891.13
True,False,1940.11
True,True,339.26
