id,changes,projects,age
4257,1490,52,3737
30566,25,4,1187
29974,68,2,1313
15519,712,73,2665
25402,494,16,1350
35339,3,1,1
11297,82,12,3022
16137,2041,72,2504
31779,4,2,880
35016,7,2,33
14288,404,54,2842
32586,63,5,690
31068,23,19,1062
34980,2,2,94
35316,1,1,0
34226,6,1,279
13039,681,30,2937
10961,1,1,0
35245,1,1,0
4523,1141,35,3753
30226,1,1,0
17566,6,4,2395
34260,6,3,143
22119,1,1,0
14119,738,17,2854
33693,2,1,244
6476,1589,354,3374
31721,36,4,845
19298,97,30,2149
8122,354,54,3354
33408,1,1,0
35327,1,1,0
6737,334,51,3427
7166,351,20,3379
31581,9,2,315
16708,312,28,2637
34520,8,1,189
31033,54,3,1088
34750,6,4,158
32755,33,14,644
11536,1584,44,2985
35320,1,1,0
33765,15,5,414
32460,1,1,0
35058,79,68,52
34720,6,5,161
34346,9,3,274
5241,462,37,3418
31857,42,3,824
35067,43,38,51
6681,525,26,3516
24828,236,21,2010
35117,1,1,0
11166,415,33,3072
34653,13,8,180
27565,154,116,1706
30455,148,19,1183
14394,6,6,2455
32148,7,3,796
16011,101,21,2082
9708,941,29,3176
33795,5,2,396
34754,2,2,6
34107,5,2,329
31813,26,3,857
15527,35,2,739
167,1436,139,3882
33634,10,8,451
29775,243,29,1156
32671,3,2,644
34665,11,10,97
34340,27,15,270
32921,43,31,616
32020,23,17,615
23360,20,15,2154
34543,8,5,204
9642,17,9,2744
33492,39,5,459
23922,11,6,1298
33473,6,1,318
5803,431,32,3607
7353,2313,126,3390
1179,413,11,3666
24777,6,3,1981
28048,176,18,1623
30615,95,33,1172
34712,3,2,54
30380,62,13,1219
33612,13,4,267
30077,32,23,1208
32114,36,18,811
33240,20,2,524
35266,1,1,0
21961,335,19,2297
34847,4,1,17
13177,82,17,2588
12825,39,6,2930
28329,80,14,1556
33717,49,17,411
35233,1,1,0
33244,12,3,471
6282,81,18,3567
34892,4,1,97
29543,27,5,1319
31746,74,10,888
24061,60,34,2115
4149,47,3,3160
6968,331,31,3468
12404,744,166,2884
9545,1067,47,3192
34667,1,1,0
34123,13,1,313
35238,1,1,0
8846,227,17,3261
35173,2,2,16
31728,1,1,0
34319,4,2,190
8104,2,2,60
31737,26,4,895
28062,229,20,1608
32363,20,11,726
35012,3,2,20
21387,380,161,2288
28748,179,33,1497
16164,5,2,97
15206,10,4,2747
9535,626,23,2750
19134,703,33,2486
7130,116,23,3443
32029,236,84,794
10234,414,26,3019
33594,3,3,445
32581,14,3,671
9311,249,27,3188
35203,3,2,6
9303,416,32,3120
31072,30,4,1002
34637,2,1,16
35161,3,1,19
34271,17,3,114
32190,21,3,620
34106,2,1,10
23866,28,8,2135
28743,36,29,1489
30750,75,18,1122
35192,3,1,3
11075,44,5,2656
34257,1,1,0
27418,5,1,1655
26922,2,2,1790
16339,15,5,2492
31324,1,1,0
35099,6,2,27
31450,11,3,953
30555,35,2,1145
34510,1,1,0
35098,4,3,24
34913,3,3,58
31683,2,1,854
6618,603,35,3485
20778,345,12,2324
31506,76,6,868
35024,6,2,50
35169,1,1,0
17068,2355,95,2566
14805,798,64,2753
27442,2,2,1498
5559,10,6,2572
31976,8,4,800
35178,1,1,0
31652,4,3,698
15054,394,39,2673
33502,7,2,316
33648,14,3,349
30996,6,3,1050
597,163,14,3863
33881,39,27,223
8864,306,18,3225
35091,3,2,12
14525,554,48,2683
32688,5,1,623
21785,50,12,2275
13114,1,1,0
31213,30,4,1006
35090,1,1,0
33525,5,2,427
34585,1,1,0
21798,400,37,2227
35143,1,1,0
10910,35,18,2980
27032,193,9,1751
34290,3,1,111
32667,66,8,601
34320,1,1,0
13095,482,60,2720
6962,123,11,3431
32398,13,3,679
5112,35,22,2335
29122,25,1,1270
28701,28,3,1396
7233,116,13,3145
1955,214,38,3878
33292,13,2,460
33543,2,2,84
29759,5,3,1211
34583,1,1,0
35107,1,1,0
31664,9,2,763
28499,5,2,1335
35087,1,1,0
34602,1,1,0
32074,8,1,627
35038,1,1,0
30409,44,2,1100
35093,1,1,0
11090,475,33,3011
35050,1,1,0
21991,9,4,2236
12640,21,10,2816
27427,69,16,1679
33732,86,8,339
30568,1,1,0
31052,6,4,1014
33871,13,1,308
34181,2,2,124
34983,2,2,25
7549,593,18,3344
34951,1,1,0
34728,2,1,51
34997,1,1,0
30858,15,9,1042
8108,121,32,3282
9236,86,12,3169
7294,32,8,2364
1926,902,50,3896
34694,2,1,24
34668,3,1,24
34982,1,1,0
33455,37,5,397
34959,5,4,18
17097,81,18,2507
34533,13,2,46
35043,1,1,0
31730,8,1,828
34819,2,1,23
34934,1,1,0
34936,4,1,15
34933,3,1,28
17559,3,3,1946
27774,5,4,1606
34946,3,1,24
819,73,23,3584
33813,2,1,51
34868,5,2,2
33493,6,5,10
23618,12,3,1337
34921,3,1,5
32333,8,1,238
27446,5,2,1316
34067,4,1,171
29260,11,6,1211
31906,4,1,51
16768,44,14,2553
8161,19,7,3038
34794,2,2,5
20813,74,11,2284
34949,1,1,0
33905,2,2,274
33949,1,1,0
25241,93,7,1721
33121,7,2,222
21778,21,9,2110
9373,97,14,1419
28691,20,6,1127
32352,5,2,649
34064,1,1,0
8157,322,46,3047
34821,3,2,31
32717,3,2,559
34718,15,1,60
33950,4,4,78
31827,55,33,683
33161,16,16,396
33436,6,5,0
27190,50,46,1597
29870,8,7,989
34864,2,2,17
30102,1,1,0
32675,2,1,545
19234,123,19,2330
7369,218,18,3320
21107,18,14,2254
34584,2,2,84
29425,42,2,1237
33712,4,2,327
31719,6,2,625
5948,363,16,3445
18816,65,8,2169
13671,104,9,2540
34915,1,1,0
32288,18,9,605
841,2320,119,3595
9369,242,33,3109
34906,1,1,0
34902,1,1,0
32411,17,7,574
2711,64,22,3688
33898,5,2,272
32594,24,4,549
34781,3,3,9
32736,15,4,526
33301,3,3,166
34740,1,1,0
33249,1,1,0
18904,136,12,2385
21715,14,9,2204
33173,3,2,374
29071,77,15,1092
34861,1,1,0
21069,221,11,2075
34756,2,2,25
28056,1,1,0
34801,2,1,11
34579,5,2,76
28271,14,8,1418
24965,3,2,1928
31048,1,1,0
28719,60,5,1174
34807,1,1,0
33780,5,5,250
32433,9,2,143
29037,6,5,1179
30911,14,6,977
34046,1,1,0
33536,3,2,244
21528,143,5,2187
33271,1,1,0
34646,1,1,0
11290,61,19,2767
34213,3,1,112
33828,7,1,266
27256,12,4,1534
20498,433,18,2252
23266,3,2,744
13995,270,34,2568
8863,314,22,3124
29605,13,9,534
31039,15,9,718
33036,3,2,431
31291,40,5,816
29296,4,3,365
34780,1,1,0
20663,111,18,2203
33786,12,5,240
34772,1,1,0
20408,2,2,1130
34618,2,1,26
34452,2,1,13
7156,435,39,3290
33519,8,3,301
3153,6958,132,3500
29771,2,2,17
32881,6,3,476
30407,65,13,1061
33920,1,1,0
20248,1,1,0
12932,22,9,2568
27419,361,28,1544
3031,161,46,3664
5997,293,19,3410
34715,3,3,5
28759,10,5,1357
33125,3,3,69
34327,1,1,0
23804,251,22,1964
34642,1,1,0
34026,2,2,47
9139,18,4,2428
34734,1,1,0
28514,4,2,1386
32090,9,2,485
34588,1,1,0
7198,418,20,3269
32871,1,1,0
21757,33,15,1721
33618,2,2,10
30534,7,6,1035
2733,64,10,3201
30902,2,1,944
34650,1,1,0
33558,8,3,293
30696,40,28,781
34703,1,1,0
29568,6,3,990
31663,1,1,0
26693,13,6,1367
32349,35,8,572
34681,1,1,0
11292,153,20,2886
34680,1,1,0
33282,8,4,350
34644,2,1,0
28675,2,2,981
24744,2,2,1818
4727,87,12,3185
7488,1111,41,3226
30810,38,4,821
31289,847,88,853
33741,23,10,219
24824,154,44,1882
28088,2,2,154
19724,50,1,2280
11904,2937,274,2768
34643,1,1,0
18551,11,7,1770
9003,665,27,2744
11539,2,2,2514
34629,1,1,0
34600,5,1,9
34141,6,3,83
30893,32,7,925
34624,2,1,0
33986,2,2,97
7383,2,1,2
34525,1,1,0
34541,1,1,0
9247,19,14,2206
21247,7,6,2157
34201,4,1,121
31769,7,2,346
30744,3,3,792
29004,1,1,0
34211,1,1,0
29088,8,3,833
34591,1,1,0
33192,3,3,352
32219,51,3,566
34173,3,2,64
19391,51,6,1826
26686,18,2,1642
31749,25,9,699
33945,47,1,166
8726,85,28,3076
2033,20,4,3374
26343,623,19,1678
34558,2,1,0
32291,197,101,526
34017,29,6,140
34556,1,1,0
29350,20,5,1086
20104,13,6,1842
28510,13,9,1299
33284,2,1,231
33987,3,2,41
18279,44,23,1529
34462,3,2,24
27345,8,5,286
33816,2,2,192
19690,7,6,2248
34539,1,1,0
21909,197,23,2046
28295,10,2,395
15895,89,17,2069
34532,1,1,0
34538,1,1,0
34459,1,1,0
34205,2,2,92
33130,31,3,320
33380,9,2,275
30998,13,3,704
31288,2,2,626
13689,146,32,2620
33582,8,3,233
30859,2,2,568
32036,13,1,540
9200,74,13,2925
10135,951,55,2751
24501,75,9,1717
34369,1,1,0
18236,34,4,1141
31754,5,2,138
34373,1,1,0
33756,3,2,187
12670,392,4,2268
16282,94,27,2394
14675,23,4,2566
27086,13,2,1231
14985,4164,127,2543
9257,56,16,2897
34497,1,1,0
18575,254,17,2287
34437,1,1,0
11491,966,48,2762
34485,1,1,0
22312,6,1,616
23950,82,29,1897
34255,1,1,0
11928,4,4,2097
31080,1,1,0
30421,1,1,0
33636,98,1,195
34458,1,1,0
33410,1,1,0
33357,1,1,0
12907,39,13,1566
31280,28,4,728
33431,12,4,236
20775,344,48,2131
33453,1,1,0
34360,1,1,0
31503,5,4,720
27329,54,11,1378
32326,67,57,448
34306,1,1,0
28781,2,2,1138
32523,15,6,424
34392,1,1,0
10273,378,33,2787
34380,1,1,0
33826,10,2,141
30523,92,7,936
17440,3,2,88
30028,21,16,163
26250,26,8,1642
34125,3,1,70
16718,1,1,0
34367,1,1,0
30793,8,6,861
33608,3,1,0
33643,3,2,163
26721,84,25,1573
34308,1,1,0
28410,5,2,916
33006,2,1,44
26141,166,15,1610
33341,3,1,223
32203,3,3,313
14885,147,23,2493
19521,23,8,2030
34056,2,2,23
23871,9,7,1715
34060,2,1,13
32051,1,1,0
34311,1,1,0
34247,2,1,0
33892,1,1,0
34054,1,1,0
5046,1416,66,3286
34037,2,1,13
34041,7,2,39
29889,4,3,976
2463,68,19,3467
31335,5,5,729
20172,1048,27,2102
30609,18,6,880
27838,29,10,1350
33652,40,8,145
30678,3,2,865
34278,1,1,0
10338,17,7,1630
33774,2,2,116
34259,1,1,0
28982,1,1,0
24780,84,4,1248
24816,6,4,1722
34185,1,1,0
34110,1,1,0
31662,18,3,630
782,332,25,3589
29880,8,1,339
33708,1,1,0
11082,214,23,2763
34045,3,1,16
19904,16,4,2152
20746,4,1,1682
26220,5,3,1392
32110,2,1,495
31814,4,4,540
33910,1,1,0
33576,2,1,57
32266,15,1,462
6854,1503,47,3191
17255,47,5,1406
30495,13,3,714
33655,1,1,0
33761,1,1,0
34235,1,1,0
7386,33,8,3114
33379,21,19,195
34133,2,2,16
14624,21,7,2219
30314,6,2,905
32833,3,1,321
6484,626,39,3166
32537,2,2,334
34059,3,2,11
29982,2,1,4
33613,2,2,89
32814,2,1,0
34116,3,2,10
34200,1,1,0
13294,523,87,2548
33273,5,4,212
28403,26,1,897
16721,12,3,2078
28159,39,11,1257
33818,8,1,39
22636,45,6,1428
27676,2,1,502
34183,1,1,0
25738,58,9,1294
34189,1,1,0
10420,162,16,2526
34184,1,1,0
34187,1,1,0
29681,1,1,0
23279,12,10,1834
31616,8,3,139
12188,2,2,1972
28752,52,27,490
30229,33,5,926
29422,2,2,189
8042,590,28,2912
34063,2,2,10
20171,11,2,1398
23182,58,18,1854
31027,75,62,709
27809,27,7,884
28094,5,3,1088
32469,6,1,377
33859,1,1,0
17363,28,3,2281
34127,4,4,1
33832,3,1,16
32425,5,1,392
33836,2,1,5
6732,1074,46,2998
28275,10,3,1166
33760,3,1,84
33710,1,1,0
19743,13,3,1986
27498,3,2,237
33857,1,1,0
8318,132,32,2939
29500,1,1,0
34109,1,1,0
33835,2,1,30
22170,2,2,1908
34092,1,1,0
34091,1,1,0
34075,1,1,0
34095,1,1,0
34094,1,1,0
34078,1,1,0
28372,113,4,1134
34074,1,1,0
32578,7,6,343
27715,15,2,1332
33872,2,2,49
8212,6,3,2918
26274,1,1,0
17042,32,3,2222
30746,11,3,262
34050,2,1,0
29863,12,2,896
9592,793,35,1993
16347,21,6,846
33003,2,2,246
32617,2,1,139
14552,125,25,2317
33833,1,1,0
5805,119,16,3199
30855,5,2,756
16373,13,1,2310
30777,64,3,729
30449,84,17,231
33952,3,2,9
30262,7,1,696
8898,143,5,1568
32803,4,3,224
18810,16,5,2146
29058,2,2,1096
33725,3,3,24
32371,1,1,0
32531,19,4,310
29805,57,43,958
33145,1,1,0
21232,11,6,1895
33830,5,5,21
33848,1,1,0
24434,6,1,9
33856,2,2,2
30882,2,1,29
11582,1,1,0
28899,16,9,1093
24162,370,41,1607
33899,1,1,0
30906,3,3,726
16690,39,13,1815
33344,13,4,137
22998,207,13,1838
32842,3,1,4
30025,8,3,729
32493,21,7,314
13551,2,2,2099
18250,23,3,1081
33512,3,2,71
33673,2,1,0
19604,24,4,1786
30238,10,3,855
32238,91,61,337
7543,54,19,2959
6547,8893,671,3091
28690,1,1,0
33195,2,2,154
360,1818,78,3634
33742,2,1,18
32577,24,8,287
33544,1,1,0
6469,800,44,3160
31525,5,2,432
32712,2,2,187
30515,11,4,785
33592,1,1,0
33694,2,2,22
32075,2,1,126
33466,1,1,0
20805,1403,85,1963
32728,13,5,183
29865,90,25,903
33753,6,4,6
33602,2,2,39
33762,1,1,0
33776,1,1,0
25089,3,3,1588
33766,1,1,0
33759,1,1,0
31654,1,1,0
5575,49,11,3221
29911,69,7,885
30834,2,1,0
33370,19,18,84
33574,1,1,0
30474,2,1,6
31016,53,5,637
33675,1,1,0
18781,25,8,2002
32722,3,2,68
30075,5,5,261
9268,95,26,2796
27330,27,4,1190
28971,1,1,0
17119,49,4,2186
14972,35,4,826
33663,4,1,6
32070,3,3,327
28022,296,21,1151
31871,9,2,434
6994,94,24,2917
27499,10,3,878
30438,24,7,766
2,3424,216,3618
31268,2,2,589
21273,39,3,1885
32441,1,1,0
31510,45,5,334
33633,2,2,0
31425,3,2,245
11952,200,12,2558
31026,1,1,0
32845,1,1,0
30384,202,168,761
32432,16,4,256
30454,1,1,0
30395,16,7,698
32435,1,1,0
31511,1,1,0
22477,56,10,1792
33575,1,1,0
31828,72,60,152
32245,5,3,160
31455,6,5,524
31825,58,35,145
31479,16,4,504
2475,23,7,2789
23757,33,13,1636
20466,378,51,1931
30516,4,1,344
26032,5,5,413
33469,4,2,10
33503,1,1,0
33295,3,1,54
29585,21,6,828
31241,10,2,562
33484,1,1,0
4162,1263,102,2797
32635,4,2,200
33128,2,2,91
33476,1,1,0
32121,1,1,0
33353,2,1,5
30582,32,2,675
14352,169,19,2284
7102,1283,112,2898
25625,227,13,1379
32171,17,1,282
31821,27,2,309
33012,6,1,95
12398,188,9,2489
27478,24,5,922
27915,4,3,1160
28367,25,5,859
16308,56,7,1977
30171,3,2,773
31646,1,1,0
33250,2,1,0
33061,4,2,92
30092,128,77,717
33396,1,1,0
33420,1,1,0
33339,2,1,0
20865,8,4,1279
17031,3,3,188
33067,1,1,0
22997,41,11,1405
33375,3,1,10
8731,1012,17,2779
31933,2,1,2
33384,1,1,0
5196,1170,47,3164
31417,2,2,27
27880,29,3,321
26580,7,3,950
23847,72,7,1628
16186,9,1,334
32395,20,1,193
33362,1,1,0
18511,15,2,501
32637,3,3,147
33321,1,1,0
13852,47,2,2122
32533,23,2,174
1736,631,70,3421
16068,9,4,1131
28621,4,2,283
33330,1,1,0
29191,8,1,920
8770,186,30,2753
33032,5,1,30
31321,1,1,0
33299,1,1,0
29100,32,9,922
15921,98,4,2146
30963,10,2,550
33280,1,1,0
33272,1,1,0
32204,2,2,58
33148,7,3,29
29156,2,2,199
33176,6,4,20
13178,19,15,2386
30211,3,3,35
33268,1,1,0
31859,1,1,0
1669,2584,67,3451
33118,1,1,0
29349,7,2,876
20363,69,17,1829
25726,2,1,59
32880,3,2,77
33241,1,1,0
32158,2,1,37
33224,1,1,0
9555,281,14,2611
10086,41,23,2603
33135,1,1,0
28128,16,5,1023
17686,3,2,287
27252,5,3,872
21570,18,4,1690
33185,2,2,0
31557,1,1,0
33146,1,1,0
27224,129,11,1190
23078,151,31,1656
16957,24,4,1170
32690,2,2,65
33166,1,1,0
32930,2,1,7
33158,2,1,0
32281,2,2,200
9061,394,45,2682
6928,1343,98,2885
4491,165,19,3110
11564,991,43,2463
31882,8,8,12
33083,5,2,10
28332,27,6,962
30447,20,10,644
33105,1,1,0
31112,1,1,0
29018,1,1,0
32956,4,2,37
32802,5,2,45
27954,97,30,1045
32431,8,6,88
2472,7166,656,3271
28721,9,6,892
31713,14,2,225
11816,154,20,2436
32589,2,1,8
18256,21,4,751
30798,1,1,0
25635,2,2,324
32126,1,1,0
29268,61,7,852
32067,100,68,170
18031,11,3,1799
33082,1,1,0
25277,12,7,1410
32929,1,1,0
7654,11,6,2386
32205,7,2,145
5733,97,17,3008
31996,1,1,0
33045,1,1,0
33046,1,1,0
31239,16,3,437
10288,115,20,2182
19193,66,14,1889
15935,6,4,2005
28849,23,3,804
11534,1,1,0
33018,1,1,0
33014,1,1,0
27052,10,5,1181
31750,8,5,304
31928,2,1,202
32220,5,2,180
32999,1,1,0
32777,1,1,0
32834,1,1,0
32643,3,3,71
32677,2,2,26
31310,9,5,163
24872,136,14,1446
17927,9,6,951
4608,299,11,3121
28182,2,2,99
31537,2,1,125
23928,917,12,1525
22018,18,7,1672
31845,7,3,11
27380,132,4,115
32605,1,1,0
27399,18,14,1062
31319,1,1,0
27383,33,23,1083
32163,26,3,143
32898,1,1,0
32211,27,6,146
24849,10,6,884
32518,4,3,82
32324,1,1,0
6167,1029,46,2964
7249,247,22,2808
32858,1,1,0
9649,8,6,2513
32860,2,1,0
32857,1,1,0
30643,21,3,527
30533,57,2,118
8175,229,48,2572
2276,86,19,2065
28618,24,6,883
25877,170,25,1282
23650,3,3,1535
26581,5,3,853
8866,74,18,2373
32541,2,2,56
20190,808,43,1773
26584,95,41,1200
26272,3,3,1260
32745,2,1,0
31552,2,1,315
32673,2,2,3
32296,4,1,117
28654,98,5,867
12356,282,28,2338
26571,28,3,983
26118,17,2,1216
32674,1,1,0
31549,1,1,0
30095,4,2,632
32707,2,2,12
32519,5,2,49
12171,182,29,2345
30676,4,3,503
6683,26,6,2869
28735,6,3,265
26106,12,8,898
30165,47,1,586
11744,5,3,2029
21813,68,11,1649
22076,103,12,1637
11810,8,5,2298
9725,62,18,1934
28014,35,16,668
32704,1,1,0
32693,1,1,0
20944,7,2,608
14369,40,4,1852
8482,1113,80,2650
30705,3,2,146
31866,3,1,0
31959,5,3,154
32304,4,4,91
32662,1,1,0
30955,1,1,0
26647,22,8,948
32653,1,1,0
32656,1,1,0
32655,1,1,0
19779,500,70,1787
8988,34,12,2343
11929,37,11,2290
31823,5,2,209
8745,182,30,2536
29161,107,3,735
20312,37,15,1727
29157,37,10,533
8099,528,42,2622
32542,2,2,11
20754,41,5,510
29909,16,9,624
18058,28,6,1504
6062,618,14,2516
31902,3,1,147
17843,3,2,579
30837,1,1,0
32590,1,1,0
32522,2,1,13
32539,1,1,0
7888,95,18,2682
32471,29,2,19
10298,16,6,1794
2218,253,26,3158
31695,9,4,209
17130,1862,396,1743
17799,771,58,1790
6795,1,1,0
32417,2,2,33
32108,6,2,46
29702,18,3,646
5792,87,26,2923
32461,1,1,0
17813,35,8,1778
27180,16,3,437
32392,1,1,0
31806,2,1,70
30921,6,3,257
23267,9,4,1273
31735,1,1,0
9426,14,13,2434
31020,4,4,0
32447,2,1,0
32480,1,1,0
32375,2,1,0
32483,1,1,0
30755,24,5,420
32479,1,1,0
31558,1,1,0
32073,3,1,54
26617,74,44,1122
12860,216,23,1856
11076,153,7,2142
29139,9,6,523
21692,374,14,1560
16222,589,32,1924
32475,2,2,0
32450,1,1,0
32406,1,1,0
32260,2,2,59
31916,5,5,95
30408,92,23,390
23365,262,14,1450
29729,13,3,456
25666,11,7,1226
28211,1,1,0
4460,104,25,3031
28607,5,1,768
32455,1,1,0
32421,1,1,0
16771,147,18,1930
31706,5,1,186
32231,9,9,5
14232,94,13,2106
13702,153,38,2079
30617,2,2,450
30759,8,3,391
30081,3,3,557
31482,7,1,224
30054,5,3,448
32181,1,1,0
32415,1,1,0
32287,2,1,5
10379,205,10,2384
29144,47,3,565
28910,2,2,663
29466,10,4,530
31679,1,1,0
25001,6,3,1318
22271,21,5,1266
29360,9,6,645
32388,2,2,2
12988,28,8,2211
22093,8,6,1371
29131,74,4,607
25871,1,1,0
27619,3,3,970
32394,1,1,0
32307,1,1,0
30618,2,2,384
32389,1,1,0
30621,3,3,389
32386,1,1,0
21970,40,6,1564
23601,27,1,889
10250,123,13,2388
29298,10,3,594
9963,52,12,2164
32368,1,1,0
32353,1,1,0
32364,1,1,0
30192,2,2,116
30356,142,82,482
31960,6,1,78
27944,10,4,659
31835,5,1,137
30317,2,1,1
18736,6,4,1279
29685,1,1,0
17887,17,6,1695
16984,24,6,1867
32338,1,1,0
32274,3,2,16
28873,1,1,0
29397,11,3,398
31108,4,3,308
19184,195,6,1744
30670,69,65,361
25254,137,51,1267
27815,5,5,820
32322,2,1,0
27621,179,24,949
32309,1,1,0
20451,7,3,1596
24791,307,19,1267
29954,12,4,440
30176,1,1,0
10343,644,38,2373
31258,5,3,273
23598,25,4,1123
6633,12,4,2135
26498,7,5,1078
22406,160,22,1332
32252,1,1,0
23474,1,1,0
18742,63,3,1603
26689,6,2,32
28415,1,1,0
30905,2,1,79
32254,1,1,0
17264,29,12,1846
32246,1,1,0
11109,728,26,2299
23518,25,7,1383
32197,2,2,9
30660,4,3,380
26613,2,1,7
29586,2,1,601
31575,2,1,167
24604,30,3,1301
28032,13,8,846
23383,2,1,1399
24890,10,9,1218
29217,6,1,599
30209,23,3,379
30690,3,2,369
31752,2,1,96
31733,7,2,117
31420,8,7,215
18841,2,2,123
13988,10,6,1788
32192,1,1,0
22165,786,203,1451
26768,7,4,1048
18295,11,2,379
32176,1,1,0
31353,3,2,86
14892,111,12,701
25397,4,4,1210
28614,506,260,734
29891,3,2,514
11347,26,8,2225
27594,15,6,908
12597,69,22,2170
8037,22,13,1862
32065,1,1,0
11683,3,3,1546
11589,101,21,2196
14029,5,2,102
10806,43,6,2282
29631,3,1,36
31936,2,1,19
31983,2,1,27
26114,56,6,908
27057,43,8,932
1011,52,13,2720
20635,1094,73,1573
31869,1,1,0
8084,37,7,2477
31870,6,2,62
23829,52,2,918
31804,1,1,0
32084,1,1,0
29270,5,2,329
28664,4,2,357
16310,41,17,1560
12021,758,24,1932
31956,1,1,0
29647,2,2,554
31795,1,1,0
32068,1,1,0
31528,8,2,93
2792,5,5,2989
31763,1,1,0
19149,1,1,0
31671,1,1,0
4978,389,30,2884
