index,Source,Target,Source_repo,Target_repo,same_dev,relation_type,Globl labels,description
234,536472,536579,tripleo-common,os-net-config,True,,,
235,777236,777420,tripleo-ansible,tripleo-heat-templates,True,,,
236,761862,762400,python-tripleoclient,tripleo-quickstart-extras,False,,,
237,394378,402081,puppet-tripleo,python-heatclient,False,,,
238,547230,556276,cinder,manila,False,,,
239,775698,777239,tripleo-common,tripleo-heat-templates,True,,,
240,209538,280332,neutron,openstack-manuals,True,,,
241,796402,796672,tripleo-heat-templates,neutron,False,,,
242,536511,537612,tripleo-image-elements,puppet-pacemaker,False,,,
243,523541,523832,openstack-ansible-tests,openstack-ansible-lxc_container_create,False,,,
244,777422,779343,tripleo-common,tripleo-ansible,True,,,
245,574879,575195,ironic,python-dracclient,True,,,
246,684781,715876,nova,requirements,False,,,
247,367482,367531,releases,openstack-ansible,False,,,
248,681910,681912,neutron,neutron-tempest-plugin,True,,,
249,558270,558279,charm-ceilometer,charm-cinder-ceph,True,,,
250,776339,776343,charm-ceph-osd,charm-cinder,True,,,
251,419118,420351,python-tripleoclient,puppet-tripleo,False,,,
252,169497,169499,cookbook-openstack-ops-messaging,cookbook-openstack-telemetry,True,,,
253,591313,591318,vitrage-tempest-plugin,vitrage,True,,,
254,289898,290005,openstack-ansible-lxc_hosts,openstack-ansible,True,,,
255,426143,426144,puppet-tripleo,tripleo-image-elements,True,,,
256,594138,681657,networking-ovn,ovsdbapp,False,,,
257,748315,752308,metalsmith,ironic-python-agent,True,,,
258,536574,537409,os-apply-config,puppet-pacemaker,True,,,
259,693379,693447,tripleo-ci,tripleo-puppet-elements,False,,,
260,458967,464725,networking-ovn,requirements,False,,,
261,165122,165127,cookbook-openstack-network,cookbook-openstack-block-storage,True,,,
262,603910,620323,nova,devstack,False,,,
263,678683,678691,charm-designate-bind,charm-heat,True,,,
264,536564,537878,tripleo-common,paunch,True,,,
265,525118,525569,openstack-ansible-tests,openstack-ansible-os_trove,True,,,
266,813186,815289,neutron,networking-ovn,True,,,
267,543465,543467,openstack-ansible-os_magnum,openstack-ansible,True,,,
268,680722,680727,tripleo-heat-templates,tripleo-common,True,,,
269,413644,413653,tripleo-heat-templates,puppet-horizon,True,,,
270,526030,528757,tripleo-common,tripleo-heat-templates,True,,,
271,633171,636909,puppet-tripleo,tripleo-heat-templates,False,,,
272,682356,701105,vitrage,requirements,False,,,
273,759000,764093,neutron-tempest-plugin,tripleo-heat-templates,True,,,
274,558290,558571,charm-manila-generic,charm-ceph-mon,True,,,
275,647851,648477,openstack-ansible-os_aodh,openstack-ansible,False,,,
276,422839,422840,tripleo-image-elements,tripleo-common,True,,,
277,406138,407072,puppet-nova,puppet-barbican,True,,,
278,536499,537875,dib-utils,paunch,True,,,
279,270839,270843,project-config,kolla,True,,,
280,572411,573619,openstack-ansible-repo_build,openstack-ansible,True,,,
281,727403,727417,openstack-ansible-os_nova,openstack-ansible-os_sahara,True,,,
282,118724,118964,oslo.messaging,manila,False,,,
283,504455,510775,networking-bgpvpn,requirements,False,,,
