Path
"['openstack/tempest' 'openstack/devstack-plugin-ceph' 'openstack/neutron'
 'openstack/tripleo-upgrade' 'openstack/tripleo-ci']"
"['openstack/aodh' 'openstack/python-aodhclient' 'openstack/requirements'
 'openstack/tripleo-ci' 'openstack/tacker'
 'openstack/telemetry-tempest-plugin' 'openstack/oslo.messaging'
 'openstack/ceilometer' 'openstack/project-config'
 'openstack/openstack-manuals' 'openstack/heat' 'openstack/gnocchi'
 'openstack/releases']"
"['openstack/openstack-ansible-os_nova' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_placement'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-os_swift'
 'openstack/openstack-ansible-os_manila'
 'openstack/openstack-ansible-galera_client'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_octavia']"
"['openstack/openstack-ansible-os_neutron' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-plugins' 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-lxc_hosts' 'openstack/project-config']"
"['openstack/charms.ceph' 'openstack/charm-ceph-osd'
 'openstack/charm-ceph-dashboard' 'openstack/charm-ceph-mon'
 'openstack/charm-ceph-radosgw' 'openstack/charm-ceph']"
"['openstack/cliff' 'openstack/osc-lib' 'openstack/python-openstackclient'
 'openstack/python-tripleoclient' 'openstack/requirements'
 'openstack/python-neutronclient' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']"
"['openstack/telemetry-tempest-plugin' 'openstack/aodh'
 'openstack/ceilometer' 'openstack/panko' 'openstack/oslo.messaging'
 'openstack/tripleo-quickstart' 'openstack/congress-tempest-plugin'
 'openstack/devstack' 'openstack/congress']"
"['openstack/osc-lib' 'openstack/python-openstackclient'
 'openstack/openstacksdk' 'openstack/python-octaviaclient'
 'openstack/osprofiler' 'openstack/python-neutronclient'
 'openstack/project-config']"
"['openstack/ceilometer' 'openstack/aodh' 'openstack/tripleo-ci'
 'openstack/telemetry-tempest-plugin' 'openstack/sahara-tests'
 'openstack/tacker' 'openstack/watcher' 'openstack/ceilometermiddleware'
 'openstack/panko' 'openstack/heat' 'openstack/kolla-ansible'
 'openstack/python-aodhclient' 'openstack/python-pankoclient'
 'openstack/project-config' 'openstack/python-ceilometerclient'
 'openstack/puppet-ceilometer' 'openstack/gnocchi' 'openstack/horizon'
 'openstack/openstack-ansible-os_ceilometer' 'openstack/rally'
 'openstack/requirements' 'openstack/tempest' 'openstack/fuel-agent'
 'openstack/openstack-manuals' 'openstack/devstack']"
"['openstack/puppet-openstack_spec_helper'
 'openstack/puppet-openstack-cookiecutter' 'openstack/puppet-tripleo'
 'openstack/puppet-neutron' 'openstack/puppet-keystone'
 'openstack/puppet-octavia' 'openstack/puppet-openstacklib'
 'openstack/puppet-vswitch' 'openstack/puppet-swift'
 'openstack/puppet-openstack_extras' 'openstack/puppet-ironic'
 'openstack/puppet-mistral' 'openstack/puppet-cinder'
 'openstack/puppet-placement' 'openstack/puppet-ec2api'
 'openstack/puppet-glance' 'openstack/puppet-magnum'
 'openstack/puppet-tempest' 'openstack/puppet-aodh'
 'openstack/puppet-horizon' 'openstack/puppet-barbican'
 'openstack/puppet-heat' 'openstack/puppet-designate'
 'openstack/puppet-manila' 'openstack/puppet-tacker'
 'openstack/puppet-cloudkitty' 'openstack/puppet-glare'
 'openstack/puppet-zaqar' 'openstack/puppet-watcher'
 'openstack/puppet-vitrage' 'openstack/puppet-openstack-integration'
 'openstack/puppet-nova' 'openstack/puppet-gnocchi'
 'openstack/puppet-congress' 'openstack/puppet-rally'
 'openstack/puppet-oslo' 'openstack/puppet-ovn'
 'openstack/puppet-ceilometer' 'openstack/puppet-sahara'
 'openstack/puppet-murano' 'openstack/puppet-panko'
 'openstack/puppet-monasca' 'openstack/puppet-trove'
 'openstack/puppet-ceph' 'openstack/project-config'
 'openstack/puppet-pacemaker']"
"['openstack/horizon' 'openstack/requirements' 'openstack/magnum-ui'
 'openstack/puppet-horizon' 'openstack/octavia-dashboard'
 'openstack/senlin-dashboard' 'openstack/ui-cookiecutter'
 'openstack/zaqar-ui' 'openstack/designate-dashboard'
 'openstack/ironic-ui' 'openstack/heat-dashboard'
 'openstack/vitrage-dashboard' 'openstack/murano-dashboard'
 'openstack/zun-ui' 'openstack/tripleo-validations'
 'openstack/tempest-horizon' 'openstack/manila-ui'
 'openstack/searchlight-ui' 'openstack/monasca-ui'
 'openstack/freezer-web-ui' 'openstack/networking-bgpvpn'
 'openstack/qinling-dashboard' 'openstack/tacker-horizon'
 'openstack/watcher-dashboard' 'openstack/solum-dashboard'
 'openstack/masakari-dashboard' 'openstack/neutron-vpnaas-dashboard'
 'openstack/trove-dashboard' 'openstack/sahara-dashboard'
 'openstack/karbor-dashboard' 'openstack/blazar-dashboard'
 'openstack/cloudkitty-dashboard' 'openstack/congress-dashboard'
 'openstack/mistral-dashboard' 'openstack/neutron-fwaas-dashboard'
 'openstack/neutron-lbaas-dashboard' 'openstack/nova' 'openstack/tempest'
 'openstack/project-config' 'openstack/keystone'
 'openstack/django_openstack_auth']"
"['openstack/charm-ops-sunbeam' 'openstack/charm-nova-k8s'
 'openstack/charm-glance-k8s' 'openstack/charm-neutron-k8s'
 'openstack/charm-keystone-k8s' 'openstack/charm-horizon-k8s'
 'openstack/charm-cinder-k8s' 'openstack/charm-cinder-ceph-k8s'
 'openstack/charm-placement-k8s']"
"['openstack/glance-specs' 'openstack/glance_store' 'openstack/glance'
 'openstack/python-glanceclient' 'openstack/project-config'
 'openstack/nova-specs']"
"['openstack/openstack-ansible-rsyslog_client' 'openstack/project-config'
 'openstack/openstack-ansible']"
['openstack/openstack-ansible-rsyslog_server' 'openstack/project-config']
"['openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-os_rally' 'openstack/ansible-role-qdrouterd'
 'openstack/openstack-ansible-ceph_client'
 'openstack/openstack-ansible-os_tempest'
 'openstack/ansible-config_template' 'openstack/openstack-ansible-plugins'
 'openstack/ansible-hardening' 'openstack/openstack-ansible-os_nova'
 'openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_keystone' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_neutron'
 'openstack/ansible-role-systemd_mount'
 'openstack/openstack-ansible-os_trove'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-os_swift'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-os_panko'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_designate'
 'openstack/openstack-ansible-repo_server'
 'openstack/ansible-role-systemd_service'
 'openstack/openstack-ansible-nspawn_container_create'
 'openstack/openstack-ansible-memcached_server'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-haproxy_server'
 'openstack/ansible-role-systemd_networkd'
 'openstack/openstack-ansible-os_monasca'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-os_zun'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_placement'
 'openstack/openstack-ansible-os_congress'
 'openstack/openstack-ansible-os_cloudkitty'
 'openstack/openstack-ansible-os_blazar'
 'openstack/openstack-ansible-openstack_openrc'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_tacker'
 'openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-ops' 'openstack/openstack-ansible-os_manila'
 'openstack/openstack-ansible-nspawn_hosts'
 'openstack/openstack-ansible-os_masakari'
 'openstack/openstack-ansible-pip_install'
 'openstack/openstack-ansible-rsyslog_client'
 'openstack/openstack-ansible-rsyslog_server'
 'openstack/openstack-ansible-apt_package_pinning'
 'openstack/openstack-ansible-galera_client'
 'openstack/openstack-ansible-os_zaqar'
 'openstack/openstack-ansible-os_watcher'
 'openstack/openstack-ansible-os_searchlight'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_mistral'
 'openstack/openstack-ansible-repo_build'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_almanach'
 'openstack/openstack-ansible-os_monasca-ui'
 'openstack/openstack-ansible-os_monasca-agent'
 'openstack/openstack-ansible-os_molteniron' 'openstack/keystone'
 'openstack/openstack-ansible-os_karbor'
 'openstack/openstack-ansible-os_freezer' 'openstack/dragonflow'
 'openstack/openstack-ansible-security'
 'openstack/openstack-ansible-pip_lock_down'
 'openstack/openstack-ansible-specs' 'openstack/project-config']"
['openstack/skyline-apiserver' 'openstack/skyline-console']
"['openstack/openstack-ansible-os_tempest' 'openstack/tripleo-quickstart'
 'openstack/openstack-ansible' 'openstack/tripleo-quickstart-extras'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-tests' 'openstack/tripleo-heat-templates'
 'openstack/openstack-ansible-os_ironic'
 'openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-haproxy_server' 'openstack/tripleo-ci'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-tempest-skiplist'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_designate'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-os_manila' 'openstack/tripleo-docs'
 'openstack/openstack-ansible-os_mistral'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-plugins']"
"['openstack/openstack-ansible-lxc_hosts' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/ansible-config_template'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_designate'
 'openstack/openstack-ansible-os_trove'
 'openstack/openstack-ansible-os_swift'
 'openstack/openstack-ansible-os_rally'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_molteniron'
 'openstack/openstack-ansible-os_tacker'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_zaqar'
 'openstack/openstack-ansible-os_searchlight'
 'openstack/openstack-ansible-os_watcher'
 'openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-plugins']"
"['openstack/openstack-ansible-os_rally' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-plugins']"
"['openstack/kolla-ansible' 'openstack/kayobe' 'openstack/kolla'
 'openstack/ansible-collection-kolla' 'openstack/bifrost'
 'openstack/kayobe-config-dev' 'openstack/requirements']"
"['openstack/kuryr-kubernetes' 'openstack/kuryr-tempest-plugin'
 'openstack/openstack-zuul-jobs' 'openstack/project-config']"
"['openstack/diskimage-builder' 'openstack/tripleo-image-elements'
 'openstack/ironic-python-agent-builder' 'openstack/tripleo-common'
 'openstack/ironic' 'openstack/tripleo-ci' 'openstack/bifrost'
 'openstack/octavia' 'openstack/project-config'
 'openstack/ironic-python-agent' 'openstack/octavia-tempest-plugin'
 'openstack/ansible-role-container-registry'
 'openstack/tripleo-heat-templates' 'openstack/openstack-zuul-jobs'
 'openstack/python-tripleoclient' 'openstack/instack'
 'openstack/instack-undercloud' 'openstack/trove'
 'openstack/tripleo-incubator']"
"['openstack/charms.openstack' 'openstack/charm-manila'
 'openstack/charm-vault' 'openstack/charm-ironic-conductor'
 'openstack/charm-ceilometer' 'openstack/charm-cinder'
 'openstack/charm-watcher-dashboard' 'openstack/charm-watcher'
 'openstack/charm-octavia' 'openstack/charm-cinder-purestorage'
 'openstack/charm-keystone-saml-mellon' 'openstack/charm-rabbitmq-server'
 'openstack/charm-designate' 'openstack/charm-ceph-radosgw'
 'openstack/charm-nova-compute' 'openstack/charm-aodh'
 'openstack/charm-ceph-fs' 'openstack/charm-mysql-router'
 'openstack/charm-octavia-dashboard' 'openstack/charm-pacemaker-remote'
 'openstack/charm-placement' 'openstack/charm-barbican'
 'openstack/charm-nova-cloud-controller' 'openstack/charm-neutron-api'
 'openstack/charm-neutron-dynamic-routing'
 'openstack/charm-mysql-innodb-cluster'
 'openstack/charm-openstack-dashboard'
 'openstack/charm-nova-cell-controller'
 'openstack/charm-octavia-diskimage-retrofit'
 'openstack/charm-neutron-openvswitch' 'openstack/charm-swift-proxy'
 'openstack/charm-barbican-vault' 'openstack/charm-percona-cluster'
 'openstack/charm-ceph-rbd-mirror' 'openstack/charm-gnocchi'
 'openstack/charm-masakari' 'openstack/charm-hacluster'
 'openstack/charm-glance' 'openstack/charm-ceph-proxy'
 'openstack/charm-manila-ganesha' 'openstack/charm-ceph-osd'
 'openstack/charm-manila-generic' 'openstack/charm-masakari-monitors'
 'openstack/charm-designate-bind' 'openstack/charm-keystone'
 'openstack/charm-glance-simplestreams-sync'
 'openstack/charm-keystone-ldap' 'openstack/charm-neutron-api-plugin-ovn'
 'openstack/charm-interface-barbican-secrets'
 'openstack/charm-interface-mysql-innodb-cluster'
 'openstack/charm-interface-ceph-rbd-mirror'
 'openstack/charm-interface-placement'
 'openstack/charm-interface-mysql-router'
 'openstack/charm-interface-mysql-shared'
 'openstack/charm-interface-dashboard-plugin'
 'openstack/charm-interface-neutron-load-balancer'
 'openstack/charm-interface-neutron-plugin-api-subordinate'
 'openstack/charm-interface-neutron-plugin'
 'openstack/charm-cinder-backup-swift-proxy'
 'openstack/charm-interface-service-control' 'openstack/charm-ceph-mon'
 'openstack/charm-panko' 'openstack/charm-tempest'
 'openstack/charm-trilio-data-mover' 'openstack/charm-trilio-wlm'
 'openstack/charm-barbican-softhsm' 'openstack/charm-ceilometer-agent'
 'openstack/charm-neutron-gateway' 'openstack/charm-interface-hacluster'
 'openstack/charm-cinder-backup' 'openstack/charm-interface-bgp'
 'openstack/charm-interface-pacemaker-remote'
 'openstack/charm-interface-keystone' 'openstack/charm-heat'
 'openstack/charm-interface-nova-compute'
 'openstack/charm-interface-cinder-backend'
 'openstack/charm-layer-openstack-api' 'openstack/charm-layer-openstack'
 'openstack/charm-layer-openstack-principle'
 'openstack/charm-openvswitch-odl' 'openstack/charm-neutron-api-odl'
 'openstack/charm-trove' 'openstack/charm-murano']"
"['openstack/python-novaclient' 'openstack/python-openstackclient'
 'openstack/tripleo-ci' 'openstack/nova' 'openstack/releases'
 'openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/devstack-gate' 'openstack/openstack-manuals' 'openstack/rally'
 'openstack/devstack' 'openstack/ec2-api']"
['openstack/charm-keystone-k8s' 'openstack/charm-ops-sunbeam']
"['openstack/neutron-vpnaas' 'openstack/neutron-lib' 'openstack/devstack'
 'openstack/networking-midonet' 'openstack/kolla' 'openstack/neutron'
 'openstack/project-config' 'openstack/heat' 'openstack/ec2-api'
 'openstack/python-neutronclient' 'openstack/neutron-lbaas'
 'openstack/networking-ofagent']"
"['openstack/puppet-ceilometer' 'openstack/tripleo-heat-templates'
 'openstack/puppet-openstack_spec_helper'
 'openstack/puppet-openstack-integration' 'openstack/puppet-oslo'
 'openstack/instack-undercloud' 'openstack/puppet-keystone']"
"['openstack/ironic-python-agent-builder' 'openstack/ironic-python-agent'
 'openstack/diskimage-builder' 'openstack/ironic'
 'openstack/tripleo-common']"
"['openstack/devstack-gate' 'openstack/devstack' 'openstack/designate'
 'openstack/neutron' 'openstack/octavia' 'openstack/nova'
 'openstack/tempest' 'openstack/keystone'
 'openstack/octavia-tempest-plugin' 'openstack/manila'
 'openstack/ironic-python-agent' 'openstack/patrole' 'openstack/grenade'
 'openstack/puppet-tripleo' 'openstack/sahara' 'openstack/openstacksdk'
 'openstack/shade' 'openstack/project-config' 'openstack/tripleo-common'
 'openstack/ironic-tempest-plugin' 'openstack/vitrage' 'openstack/trove'
 'openstack/tacker' 'openstack/rally' 'openstack/heat'
 'openstack/python-openstackclient' 'openstack/magnum'
 'openstack/networking-calico' 'openstack/neutron-fwaas'
 'openstack/neutron-lbaas' 'openstack/networking-l2gw'
 'openstack/tricircle' 'openstack/solum' 'openstack/networking-sfc'
 'openstack/ironic' 'openstack/tripleo-ci' 'openstack/openstack-zuul-jobs'
 'openstack/networking-midonet' 'openstack/networking-bgpvpn'
 'openstack/networking-odl' 'openstack/networking-ovn'
 'openstack/dragonflow' 'openstack/tap-as-a-service'
 'openstack/kuryr-libnetwork' 'openstack/neutron-dynamic-routing'
 'openstack/cue' 'openstack/neutron-vpnaas' 'openstack/searchlight'
 'openstack/trove-integration' 'openstack/oslo.service'
 'openstack/networking-generic-switch' 'openstack/ironic-inspector'
 'openstack/python-ironicclient' 'openstack/devstack-plugin-ceph'
 'openstack/pbr' 'openstack/python-novaclient' 'openstack/oslo.config'
 'openstack/requirements' 'openstack/ceilometer' 'openstack/tooz']"
"['openstack/ansible-role-chrony' 'openstack/tripleo-ansible'
 'openstack/tripleo-ci' 'openstack/tripleo-heat-templates'
 'openstack/python-tripleoclient']"
"['openstack/keystoneauth' 'openstack/keystonemiddleware'
 'openstack/openstacksdk' 'openstack/bifrost' 'openstack/neutron-lib'
 'openstack/governance' 'openstack/oslo.policy' 'openstack/osprofiler'
 'openstack/releases' 'openstack/osc-lib' 'openstack/nova'
 'openstack/python-openstackclient' 'openstack/shade'
 'openstack/requirements' 'openstack/python-keystoneclient'
 'openstack/castellan' 'openstack/os-client-config'
 'openstack/project-config']"
"['openstack/neutron-fwaas' 'openstack/openstack-ansible-os_neutron'
 'openstack/neutron-tempest-plugin' 'openstack/senlin'
 'openstack/kolla-ansible' 'openstack/kayobe' 'openstack/kolla'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_tempest' 'openstack/project-config'
 'openstack/networking-midonet' 'openstack/neutron-lib'
 'openstack/neutron' 'openstack/openstack-zuul-jobs'
 'openstack/openstack-manuals' 'openstack/devstack' 'openstack/ceilometer'
 'openstack/tap-as-a-service' 'openstack/ironic'
 'openstack/networking-odl' 'openstack/neutron-lbaas'
 'openstack/networking-ofagent']"
"['openstack/metalsmith' 'openstack/ironic' 'openstack/ironic-python-agent'
 'openstack/tripleo-docs' 'openstack/tripleo-quickstart'
 'openstack/tripleo-common' 'openstack/project-config']"
"['openstack/openstack-ansible-galera_server' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-os_adjutant'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-galera_client'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_trove' 'openstack/project-config'
 'openstack/openstack-ansible-os_horizon']"
"['openstack/ansible-hardening' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-tests' 'openstack/openstack-zuul-jobs']"
"['openstack/openstack-ansible-plugins' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-os_masakari'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_murano'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_zun'
 'openstack/openstack-ansible-os_mistral'
 'openstack/openstack-ansible-os_cloudkitty'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_swift'
 'openstack/openstack-ansible-os_manila'
 'openstack/openstack-ansible-os_placement'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_senlin'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-os_designate'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_blazar'
 'openstack/openstack-ansible-os_tacker'
 'openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-os_trove'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-repo_server'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-nspawn_container_create'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-repo_build']"
"['openstack/openstack-ansible-os_cinder' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_zun'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-os_nova' 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_magnum']"
"['openstack/heat' 'openstack/skyline-apiserver' 'openstack/requirements'
 'openstack/tripleo-heat-templates' 'openstack/heat-tempest-plugin'
 'openstack/tripleo-ci' 'openstack/openstack-ansible-os_heat'
 'openstack/os-collect-config' 'openstack/heat-templates'
 'openstack/tripleo-quickstart' 'openstack/project-config'
 'openstack/ceilometer' 'openstack/python-heatclient'
 'openstack/governance' 'openstack/openstack-manuals'
 'openstack/python-tripleoclient' 'openstack/tripleo-common'
 'openstack/tripleo-quickstart-extras' 'openstack/oslo.log'
 'openstack/devstack' 'openstack/magnum' 'openstack/sahara'
 'openstack/murano' 'openstack/instack-undercloud' 'openstack/keystone'
 'openstack/gnocchi' 'openstack/kolla' 'openstack/rally']"
"['openstack/barbican' 'openstack/skyline-apiserver'
 'openstack/cinder-tempest-plugin' 'openstack/devstack'
 'openstack/barbican-tempest-plugin' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ci' 'openstack/puppet-barbican' 'openstack/cinder'
 'openstack/octavia-tempest-plugin' 'openstack/castellan'
 'openstack/openstack-zuul-jobs' 'openstack/glance' 'openstack/bandit'
 'openstack/tripleo-quickstart' 'openstack/project-config'
 'openstack/neutron-lbaas' 'openstack/python-barbicanclient']"
"['openstack/puppet-swift' 'openstack/releases' 'openstack/puppet-tripleo'
 'openstack/tripleo-heat-templates' 'openstack/puppet-glance'
 'openstack/puppet-openstack-integration' 'openstack/puppet-oslo'
 'openstack/fuel-library' 'openstack/puppet-keystone'
 'openstack/instack-undercloud']"
['openstack/charm-octavia' 'openstack/charm-octavia-dashboard']
['openstack/os-traits' 'openstack/nova']
"['openstack/puppet-openstacklib' 'openstack/puppet-nova'
 'openstack/puppet-tripleo' 'openstack/puppet-keystone'
 'openstack/puppet-openstack-cookiecutter' 'openstack/puppet-ec2api'
 'openstack/puppet-ironic' 'openstack/puppet-heat'
 'openstack/puppet-barbican' 'openstack/puppet-aodh'
 'openstack/puppet-designate' 'openstack/puppet-magnum'
 'openstack/puppet-gnocchi' 'openstack/puppet-cloudkitty'
 'openstack/puppet-murano' 'openstack/puppet-manila'
 'openstack/puppet-glance' 'openstack/puppet-cinder'
 'openstack/puppet-freezer' 'openstack/puppet-neutron'
 'openstack/puppet-placement' 'openstack/puppet-trove'
 'openstack/puppet-sahara' 'openstack/puppet-mistral'
 'openstack/puppet-vitrage' 'openstack/puppet-watcher'
 'openstack/puppet-octavia' 'openstack/puppet-tacker'
 'openstack/puppet-senlin' 'openstack/puppet-zaqar'
 'openstack/tripleo-heat-templates'
 'openstack/puppet-openstack-integration' 'openstack/puppet-horizon'
 'openstack/puppet-swift' 'openstack/puppet-oslo'
 'openstack/puppet-congress' 'openstack/puppet-ceilometer'
 'openstack/puppet-panko' 'openstack/puppet-tempest'
 'openstack/puppet-glare' 'openstack/instack-undercloud'
 'openstack/python-tripleoclient' 'openstack/fuel-library'
 'openstack/puppet-monasca']"
"['openstack/blazar-tempest-plugin' 'openstack/blazar' 'openstack/tempest'
 'openstack/python-blazarclient']"
"['openstack/oslo.service' 'openstack/blazar' 'openstack/neutron'
 'openstack/heat' 'openstack/designate' 'openstack/devstack']"
"['openstack/oslo.messaging' 'openstack/blazar'
 'openstack/ironic-inspector' 'openstack/neutron' 'openstack/neutron-lib'
 'openstack/devstack' 'openstack/cinder' 'openstack/devstack-plugin-kafka'
 'openstack/magnum' 'openstack/nova' 'openstack/puppet-tripleo'
 'openstack/project-config' 'openstack/trove' 'openstack/ceilometer'
 'openstack/murano']"
"['openstack/tripleo-puppet-elements' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-common' 'openstack/python-tripleoclient'
 'openstack/tripleo-quickstart-extras' 'openstack/tripleo-image-elements'
 'openstack/puppet-tripleo' 'openstack/instack-undercloud'
 'openstack/puppet-nova' 'openstack/tripleo-ci']"
['openstack/charm-swift-proxy' 'openstack/charm-swift-storage']
"['openstack/openstack-ansible-os_placement'
 'openstack/ansible-role-python_venv_build' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_nova']"
"['openstack/grenade' 'openstack/designate' 'openstack/devstack'
 'openstack/glance' 'openstack/neutron' 'openstack/nova'
 'openstack/manila' 'openstack/trove' 'openstack/sahara'
 'openstack/cinder' 'openstack/devstack-gate' 'openstack/ironic-inspector'
 'openstack/ironic' 'openstack/project-config' 'openstack/placement'
 'openstack/openstack-zuul-jobs' 'openstack/tempest'
 'openstack/requirements' 'openstack/ironic-tempest-plugin'
 'openstack/keystone' 'openstack/gnocchi' 'openstack/ceilometer']"
"['openstack/python-cinderclient' 'openstack/cinder-tempest-plugin'
 'openstack/glance' 'openstack/devstack' 'openstack/nova'
 'openstack/python-openstackclient'
 'openstack/openstack-ansible-os_cinder' 'openstack/openstack-zuul-jobs'
 'openstack/project-config' 'openstack/horizon'
 'openstack/openstack-manuals']"
"['openstack/puppet-ironic' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-quickstart-extras' 'openstack/python-tripleoclient'
 'openstack/instack-undercloud' 'openstack/puppet-openstack-integration'
 'openstack/puppet-tripleo' 'openstack/puppet-oslo' 'openstack/tripleo-ci'
 'openstack/puppet-keystone']"
['openstack/charm-designate' 'openstack/charm-designate-bind']
"['openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible' 'openstack/ansible-hardening'
