Path
"['openstack/tempest' 'openstack/devstack-plugin-ceph' 'openstack/neutron'
 'openstack/congress-tempest-plugin' 'openstack/freezer-tempest-plugin'
 'openstack/neutron-dynamic-routing' 'openstack/blazar' 'openstack/zun'
 'openstack/os-vif' 'openstack/python-novaclient' 'openstack/bashate'
 'openstack/devstack-plugin-ceph' 'openstack/stackviz'
 'openstack/devstack-plugin-container' 'openstack/grenade'
 'openstack/python-ironicclient' 'openstack/murano-apps'
 'openstack/ironic-python-agent' 'openstack/python-muranoclient'
 'openstack/murano-dashboard' 'openstack/cyborg'
 'openstack/ironic-inspector' 'openstack/karbor'
 'openstack/python-zunclient' 'openstack/aodh'
 'openstack/python-zaqarclient' 'openstack/telemetry-tempest-plugin'
 'openstack/barbican' 'openstack/ec2-api' 'openstack/zaqar'
 'openstack/freezer' 'openstack/freezer-web-ui' 'openstack/networking-sfc'
 'openstack/neutron-fwaas-dashboard' 'openstack/neutron-vpnaas-dashboard'
 'openstack/ovsdbapp' 'openstack/python-neutronclient' 'openstack/octavia'
 'openstack/neutron-lbaas' 'openstack/syntribos' 'openstack/oslo.config'
 'openstack/heat-agents' 'openstack/designate-dashboard'
 'openstack/ceilometer-powervm' 'openstack/devstack-gate'
 'openstack/python-manilaclient' 'openstack/networking-baremetal'
 'openstack/python-searchlightclient' 'openstack/goal-tools'
 'openstack/fuxi' 'openstack/karbor-dashboard'
 'openstack/mistral-dashboard' 'openstack/os-refresh-config'
 'openstack/os-collect-config' 'openstack/instack'
 'openstack/compute-hyperv' 'openstack/tap-as-a-service' 'openstack/swift'
 'openstack/masakari-monitors' 'openstack/blazar-nova'
 'openstack/openstack-ansible-tests' 'openstack/release-test'
 'openstack/dragonflow' 'openstack/kolla-kubernetes'
 'openstack/nova-powervm' 'openstack/python-heatclient'
 'openstack/searchlight' 'openstack/ironic-ui'
 'openstack/python-ironic-inspector-client'
 'openstack/python-blazarclient' 'openstack/networking-hyperv'
 'openstack/pycadf' 'openstack/blazar-dashboard' 'openstack/oslo.service'
 'openstack/release-tools' 'openstack/manila-image-elements'
 'openstack/mistral' 'openstack/tripleo-heat-templates'
 'openstack/python-karborclient' 'openstack/ansible-hardening'
 'openstack/keystoneauth' 'openstack/python-troveclient' 'openstack/kuryr'
 'openstack/python-keystoneclient' 'openstack/python-cinderclient'
 'openstack/python-congressclient' 'openstack/keystonemiddleware'
 'openstack/monasca-ui' 'openstack/python-mistralclient'
 'openstack/python-glanceclient' 'openstack/glance_store'
 'openstack/networking-l2gw' 'openstack/castellan' 'openstack/tacker'
 'openstack/mistral-lib' 'openstack/os-win' 'openstack/sahara-dashboard'
 'openstack/pymod2pkg' 'openstack/tacker-horizon'
 'openstack/tripleo-validations' 'openstack/congress-dashboard'
 'openstack/python-octaviaclient' 'openstack/python-openstackclient'
 'openstack/python-watcherclient' 'openstack/watcher-dashboard'
 'openstack/oslo.context' 'openstack/oslo.messaging'
 'openstack/oslo.middleware' 'openstack/oslo.cache' 'openstack/oslo.db'
 'openstack/oslo.privsep' 'openstack/oslo.versionedobjects'
 'openstack/automaton' 'openstack/oslo.utils' 'openstack/oslo.vmware'
 'openstack/oslo.serialization' 'openstack/oslo.policy' 'openstack/mox3'
 'openstack/kolla-ansible' 'openstack/octavia-dashboard'
 'openstack/osc-lib' 'openstack/neutron-lbaas-dashboard'
 'openstack/instack-undercloud' 'openstack/monasca-api'
 'openstack/monasca-transform' 'openstack/python-monascaclient'
 'openstack/python-qinlingclient' 'openstack/monasca-common'
 'openstack/python-brick-cinderclient-ext' 'openstack/os-apply-config'
 'openstack/python-tricircleclient' 'openstack/openstacksdk'
 'openstack/stevedore' 'openstack/monasca-notification'
 'openstack/monasca-statsd' 'openstack/monasca-persister'
 'openstack/python-tackerclient' 'openstack/heat-dashboard'
 'openstack/ironic-lib' 'openstack/python-saharaclient'
 'openstack/networking-powervm' 'openstack/sahara-image-elements'
 'openstack/networking-generic-switch' 'openstack/sushy-tools'
 'openstack/virtualbmc' 'openstack/sushy' 'openstack/kuryr-kubernetes'
 'openstack/python-designateclient' 'openstack/python-freezerclient'
 'openstack/tosca-parser' 'openstack/python-senlinclient'
 'openstack/murano-pkg-check' 'openstack/senlin' 'openstack/patrole'
 'openstack/solum' 'openstack/senlin-dashboard' 'openstack/zaqar-ui'
 'openstack/solum-dashboard' 'openstack/python-solumclient'
 'openstack/sahara-extra' 'openstack/magnum-ui'
 'openstack/python-magnumclient' 'openstack/python-vitrageclient'
 'openstack/murano-agent' 'openstack/openstack-ansible'
 'openstack/openstackdocstheme'
 'openstack/openstack-ansible-memcached_server'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-haproxy_server'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-galera_client'
 'openstack/openstack-ansible-ceph_client'
 'openstack/openstack-ansible-apt_package_pinning' 'openstack/kolla'
 'openstack/bifrost' 'openstack/congress' 'openstack/bandit'
 'openstack/blazar-tempest-plugin' 'openstack/barbican-tempest-plugin'
 'openstack/cinder-tempest-plugin' 'openstack/requestsexceptions'
 'openstack/anchor' 'openstack/puppet-nova' 'openstack/tripleo-ui'
 'openstack/dib-utils' 'openstack/puppet-openstack-cookiecutter'
 'openstack/puppet-openstack-integration'
 'openstack/charm-deployment-guide' 'openstack/puppet-murano'
 'openstack/openstack-manuals' 'openstack/openstack-zuul-roles']"
"['openstack/tripleo-upgrade' 'openstack/tripleo-common'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart'
 'openstack/tripleo-ci' 'openstack/python-tripleoclient'
 'openstack/tripleo-ansible' 'openstack/tripleo-quickstart-extras']"
"['openstack/tripleo-ci' 'openstack/ansible-role-collect-logs'
 'openstack/tripleo-heat-templates' 'openstack/python-tripleoclient'
 'openstack/tripleo-common' 'openstack/tripleo-ansible'
 'openstack/puppet-tripleo' 'openstack/os-net-config' 'openstack/manila'
 'openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'
 'openstack/tripleo-docs' 'openstack/validations-libs'
 'openstack/validations-common' 'openstack/puppet-pacemaker'
 'openstack/tripleo-validations' 'openstack/tripleo-upgrade'
 'openstack/openstack-ansible-os_tempest'
 'openstack/ansible-role-python_venv_build'
 'openstack/ansible-config_template'
 'openstack/ansible-role-tripleo-modify-image'
 'openstack/tripleo-operator-ansible' 'openstack/tripleo-repos'
 'openstack/openstack-tempest-skiplist' 'openstack/tripleo-image-elements'
 'openstack/openstack-virtual-baremetal' 'openstack/paunch'
 'openstack/instack-undercloud' 'openstack/os-refresh-config'
 'openstack/os-apply-config' 'openstack/cyborg-tempest-plugin'
 'openstack/tripleo-puppet-elements' 'openstack/diskimage-builder'
 'openstack/kolla' 'openstack/tempest-tripleo-ui' 'openstack/aodh'
 'openstack/panko' 'openstack/ceilometer' 'openstack/puppet-nova'
 'openstack/puppet-neutron' 'openstack/puppet-keystone'
 'openstack/puppet-horizon' 'openstack/puppet-openstack-integration'
 'openstack/project-config' 'openstack/os-collect-config'
 'openstack/networking-ovn' 'openstack/puppet-ceph' 'openstack/heat'
 'openstack/puppet-aodh' 'openstack/python-ironicclient']"
"['openstack/os-brick' 'openstack/cinder' 'openstack/tempest'
 'openstack/glance' 'openstack/nova' 'openstack/devstack'
 'openstack/cinderlib' 'openstack/barbican-tempest-plugin'
 'openstack/devstack-plugin-ceph'
 'openstack/python-brick-cinderclient-ext']"
"['openstack/tripleo-common' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ansible' 'openstack/tripleo-ci'
 'openstack/tripleo-quickstart-extras' 'openstack/python-tripleoclient'
 'openstack/tripleo-docs' 'openstack/tripleo-puppet-elements'
 'openstack/tripleo-quickstart'
 'openstack/ansible-role-tripleo-modify-image' 'openstack/puppet-tripleo'
 'openstack/tripleo-validations' 'openstack/kolla' 'openstack/mistral'
 'openstack/tripleo-image-elements' 'openstack/tripleo-ui'
 'openstack/instack-undercloud' 'openstack/tripleo-upgrade'
 'openstack/requirements' 'openstack/nova' 'openstack/project-config']"
"['openstack/requirements' 'openstack/barbican' 'openstack/cinder'
 'openstack/openstack-helm-images' 'openstack/horizon'
 'openstack/oslo.log' 'openstack/neutron' 'openstack/networking-baremetal'
 'openstack/ironic-inspector' 'openstack/nova' 'openstack/octavia'
 'openstack/python-glanceclient' 'openstack/keystone'
 'openstack/oslo.cache' 'openstack/keystonemiddleware' 'openstack/glance'
 'openstack/designate' 'openstack/devstack' 'openstack/openstack-ansible'
 'openstack/python-tripleoclient' 'openstack/python-keystoneclient'
 'openstack/octavia-tempest-plugin' 'openstack/validations-libs'
 'openstack/taskflow' 'openstack/networking-ovn'
 'openstack/kuryr-kubernetes' 'openstack/tempest'
 'openstack/kolla-ansible' 'openstack/openstack-zuul-jobs'
 'openstack/heat-agents' 'openstack/oslo.vmware'
 'openstack/validations-common' 'openstack/tripleo-ansible'
 'openstack/cliff' 'openstack/keystoneauth' 'openstack/tacker'
 'openstack/cinder-tempest-plugin' 'openstack/tripleo-ci'
 'openstack/glance_store' 'openstack/tripleo-validations'
 'openstack/manila' 'openstack/blazar' 'openstack/placement'
