main_project,related_projects
openstackcharms,"['charm-manila-ganesha', 'charm-cinder-three-par', 'charm-ops-openstack', 'charm-openvswitch-odl', 'charm-layer-openstack', 'charm-interface-pacemaker-remote', 'charm-manila-netapp', 'charm-keystone-kerberos', 'charm-interface-hacluster', 'charm-neutron-api-odl', 'charm-mysql-innodb-cluster', 'charm-interface-cinder-backend', 'charm-layer-openstack-principle', 'charm-ceph-rbd-mirror', 'charm-neutron-api-plugin-arista', 'charm-cinder-netapp', 'charm-interface-keystone-credentials', 'charm-manila-dashboard', 'charm-interface-nova-compute', 'charm-interface-nova-cell', 'charm-ceilometer', 'charm-ceph-nfs', 'charm-neutron-api-plugin-ironic', 'charm-cinder-solidfire', 'charm-swift-storage', 'charm-manila-glusterfs', 'charm-barbican', 'charm-interface-openstack-ha', 'charm-placement', 'charm-mysql-router', 'charm-interface-odl-controller-api', 'charm-heat', 'charm-interface-rabbitmq', 'charm-ceph-iscsi', 'charm-trilio-dm-api', 'charms.ceph', 'charm-cinder-lvm', 'charm-ceph-proxy', 'charm-interface-dashboard-plugin', 'charm-interface-neutron-plugin-api-subordinate', 'charm-magpie', 'charm-trove', 'charm-interface-neutron-plugin', 'charm-panko', 'charm-ceilometer-agent', 'charm-interface-keystone-domain-backend', 'charm-interface-mysql-router', 'charm-keystone-openidc', 'charm-interface-keystone-fid-service-provider', 'charm-manila', 'charm-nova-lxd', 'charm-swift-proxy', 'charm-interface-keystone-notifications', 'charm-interface-bind-rndc', 'charm-mistral', 'charm-interface-barbican-secrets', 'charm-guide', 'charm-interface-placement', 'charm-interface-magpie', 'charm-specs', 'charm-neutron-dynamic-routing', 'charm-octavia', 'charm-watcher', 'charm-interface-websso-fid-service-provider', 'charm-masakari-monitors', 'charm-neutron-gateway', 'charm-interface-designate', 'charm-cinder-backup', 'charms.openstack', 'charm-octavia-diskimage-retrofit', 'charm-hacluster', 'charm-murano', 'charm-watcher-dashboard', 'charm-cinder-ibm-storwize-svc', 'charm-interface-mysql-shared', 'charm-ops-interface-ceph-client', 'charm-barbican-softhsm', 'charm-cinder-ceph', 'charm-openstack-dashboard', 'charm-cinder-backup-swift-proxy', 'charm-interface-service-control', 'charm-openstack-loadbalancer', 'charm-ironic', 'charm-keystone-ldap', 'charm-trilio-wlm', 'charm-keystone-saml-mellon', 'charm-layer-ceph', 'charm-tempest', 'charm-interface-manila-plugin', 'charm-ops-interface-tls-certificates', 'charm-interface-keystone-admin', 'charm-ceph-radosgw', 'charm-cinder-purestorage', 'charm-zuul-jobs', 'charm-interface-ceph-client', 'charm-deployment-guide', 'charm-neutron-api', 'charm-ceph-fs', 'charm-interface-keystone', 'charm-keystone', 'charm-cinder-nimblestorage', 'charm-glance-simplestreams-sync', 'charm-magnum', 'charm-nova-cloud-controller', 'charm-percona-cluster', 'charm-interface-gnocchi', 'charm-interface-ceph-rbd-mirror', 'charm-ceph-dashboard', 'charm-ceph-osd', 'charm-neutron-openvswitch', 'charm-nova-compute-proxy', 'charm-trilio-horizon-plugin', 'charm-ironic-conductor', 'charm-glusterfs', 'charm-designate-bind', 'charm-masakari', 'charm-ironic-api', 'charm-pacemaker-remote', 'charm-rabbitmq-server', 'charm-ceph-mon', 'charm-interface-neutron-load-balancer', 'charm-layer-ceph-base', 'charm-layer-openstack-api', 'charm-nova-cell-controller', 'charm-glance', 'charm-octavia-dashboard', 'charm-interface-mysql-innodb-cluster', 'charm-odl-controller', 'charm-nova-compute', 'charm-trilio-data-mover', 'charm-interface-bgp', 'charm-aodh', 'charm-cloudkitty', 'charm-manila-generic', 'charm-barbican-vault', 'charm-neutron-api-plugin-ovn', 'charm-magnum-dashboard', 'charm-nova-compute-nvidia-vgpu', 'charm-gnocchi', 'charm-vault', 'charm-designate', 'charm-interface-ceph-mds', 'charm-cinder']"
bifrost,['bifrost']
openstackchef,"['cookbook-openstackclient', 'cookbook-openstack-block-storage', 'cookbook-openstack-telemetry', 'openstack-chef', 'cookbook-openstack-ops-messaging', 'openstack-chef-repo', 'cookbook-openstack-dns', 'cookbook-openstack-bare-metal', 'cookbook-openstack-image', 'cookbook-openstack-orchestration', 'cookbook-openstack-common', 'openstack-chef-specs', 'cookbook-openstack-compute', 'cookbook-openstack-dashboard', 'cookbook-openstack-application-catalog', 'cookbook-openstack-integration-test', 'cookbook-openstack-identity', 'cookbook-openstack-client', 'cookbook-openstack-ops-database', 'cookbook-openstack-network']"
loci,['loci']
puppetopenstack,"['puppet-manila', 'puppet-mistral', 'puppet-freezer', 'puppet-openstack-specs', 'puppet-rally', 'puppet-ovn', 'puppet-tempest', 'puppet-openstack-cookiecutter', 'puppet-tacker', 'puppet-panko', 'puppet-openstack_spec_helper', 'puppet-ironic', 'puppet-octavia', 'puppet-openstacklib', 'puppet-monasca', 'puppet-ec2api', 'puppet-trove', 'puppet-designate', 'puppet-cloudkitty', 'puppet-placement', 'puppet-barbican', 'puppet-sahara', 'puppet-ceilometer', 'puppet-neutron', 'puppet-openstack-integration', 'puppet-cinder', 'puppet-gnocchi', 'puppet-vswitch', 'puppet-keystone', 'puppet-congress', 'puppet-aodh', 'puppet-oslo', 'puppet-magnum', 'puppet-vitrage', 'puppet-senlin', 'puppet-murano', 'puppet-ceph', 'puppet-openstack_extras', 'puppet-openstack-guide', 'puppet-watcher', 'puppet-swift', 'puppet-glance', 'puppet-nova', 'puppet-qdr', 'puppet-horizon', 'puppet-heat', 'puppet-zaqar', 'puppet-glare']"
kolla,"['ansible-collection-kolla', 'kolla-ansible', 'kolla-kubernetes', 'kolla-cli', 'kolla']"
oslo,"['deb-python-oslo.db', 'oslo.concurrency', 'osprofiler', 'devstack-plugin-kafka', 'oslo.privsep', 'automaton', 'oslo.cache', 'etcd3gw', 'debtcollector', 'deb-python-oslotest', 'sphinx-feature-classification', 'pbr', 'deb-python-oslo.privsep', 'oslosphinx', 'deb-python-oslo.config', 'deb-python-oslo.concurrency', 'deb-python-oslo.middleware', 'pylockfile', 'oslo.reports', 'oslo.db', 'oslo.middleware', 'deb-oslosphinx', 'oslo.config', 'deb-python-oslo.service', 'stevedore', 'os-loganalyze', 'futurist', 'deb-python-oslo.log', 'oslo.utils', 'oslo.i18n', 'oslo.serialization', 'oslo.upgradecheck', 'taskflow', 'os-api-ref', 'deb-python-oslo.utils', 'oslo.versionedobjects', 'mox3', 'tooz', 'oslo.log', 'cookiecutter', 'deb-python-oslo.i18n', 'deb-python-oslo.context', 'oslo-cookiecutter', 'deb-python-oslo.messaging', 'deb-python-oslo.versionedobjects', 'deb-python-oslo.reports', 'oslo-incubator', 'oslo.service', 'oslo.context', 'oslo.rootwrap', 'devstack-plugin-amqp1', 'deb-python-oslo.serialization', 'deb-python-oslo.policy', 'oslo-specs', 'oslotest', 'oslo.vmware', 'deb-python-oslo.vmware', 'deb-python-oslo.cache', 'oslo.metrics', 'oslo.limit', 'openstack-attic/oslo.version', 'deb-python-oslo.rootwrap', 'castellan', 'microversion-parse', 'oslo.messaging', 'oslo.tools', 'oslo.policy']"
qualityassurance,"['karma-subunit-reporter', 'stackviz', 'bashate', 'os-performance-tools', 'devstack-plugin-nfs', 'eslint-config-openstack', 'hacking', 'devstack-plugin-open-cas', 'tempest-stress', 'devstack-plugin-container', 'devstack-vagrant', 'devstack-plugin-ceph', 'grenade', 'devstack', 'devstack-plugin-cookiecutter', 'os-testr', 'whitebox-tempest-plugin', 'qa-specs', 'devstack-tools', 'tempest-plugin-cookiecutter', 'coverage2sql']"
releasemanagement,"['specs-cookiecutter', 'reno', 'releases', 'release-test']"
requirements,['requirements']
telemetry,"['ceilometermiddleware', 'telemetry-tempest-plugin', 'python-pankoclient', 'ceilometer-powervm', 'gnocchi', 'python-ceilometerclient', 'panko', 'telemetry-specs', 'python-aodhclient', 'python-gnocchiclient']"
venus,"['python-venusclient', 'venus-specs', 'venus', 'venus-dashboard', 'venus-tempest-plugin']"
winstackers,"['oswin-tempest-plugin', 'os-win', 'compute-hyperv', 'networking-hyperv']"
