Number,is_same_dev,Churn,Revisions,Duration,Label,Project_type
769385,Same,273,30.0,6401.0,D-O/N-B,Source
765781,Same,36,24.0,12008.14,D-O/N-B,Source
850656,Same,25,4.0,167.63,D-O/N-B,Source
850306,Same,4,1.0,320.38,D-O/N-B,Source
850943,Same,4,2.0,22.14,D-O/N-B,Source
851500,Same,4,1.0,5.21,D-O/N-B,Source
851549,Different,2,1.0,3.7,D-O/N-B,Source
850307,Same,9,6.0,2018.18,D-O/N-B,Source
850045,Same,9,7.0,172.39,D-O/N-B,Source
849876,Different,52,16.0,287.28,D-O/N-B,Source
833847,Different,12,1.0,143.71,D-O/N-B,Source
851233,Same,2,1.0,3.35,D-O/N-B,Source
843870,Same,13,5.0,917.45,D-O/N-B,Source
842070,Same,618,13.0,2717.02,D-O/N-B,Source
836070,Same,419,4.0,2825.04,D-O/N-B,Source
846070,Different,67,14.0,853.44,D-O/N-B,Source
850307,Same,9,6.0,2018.18,D-O/N-B,Source
850045,Same,9,7.0,172.39,D-O/N-B,Source
851001,Same,3,3.0,221.38,D-O/N-B,Source
850292,Same,3,1.0,68.82,D-O/N-B,Source
836190,Same,4,3.0,2080.25,D-O/N-B,Source
850994,Same,67,1.0,239.08,D-O/N-B,Source
850035,Same,67,1.0,93.55,D-O/N-B,Source
836189,Same,67,7.0,2107.43,D-O/N-B,Source
842070,Same,618,13.0,2717.02,D-O/N-B,Source
840316,Different,312,9.0,716.85,D-O/N-B,Source
845617,Same,1326,5.0,937.78,D-O/N-B,Source
849807,Same,18,1.0,112.33,D-O/N-B,Source
850336,Different,1,2.0,49.08,D-O/N-B,Source
831929,Same,56,4.0,1818.53,D-O/N-B,Source
849574,Same,5,2.0,170.25,D-O/N-B,Source
810364,Same,402,8.0,2478.43,D-O/N-B,Source
847999,Same,1,1.0,16.01,D-O/N-B,Source
846145,Different,12,1.0,31.94,D-O/N-B,Source
822138,Same,142,10.0,742.89,D-O/N-B,Source
849807,Same,18,1.0,112.33,D-O/N-B,Source
838907,Same,288,13.0,625.65,D-O/N-B,Source
838508,Same,26,2.0,66.65,D-O/N-B,Source
843003,Same,7,4.0,1030.07,D-O/N-B,Source
849414,Same,56,3.0,66.31,D-O/N-B,Source
840727,Different,17,3.0,1696.51,D-O/N-B,Source
847584,Same,29,4.0,483.7,D-O/N-B,Source
847844,Different,12,1.0,19.28,D-O/N-B,Source
848300,Same,99,5.0,144.0,D-O/N-B,Source
849518,Same,5,2.0,16.15,D-O/N-B,Source
846145,Different,12,1.0,31.94,D-O/N-B,Source
849000,Same,27,2.0,80.5,D-O/N-B,Source
849462,Same,27,1.0,20.95,D-O/N-B,Source
845737,Different,19,4.0,58.83,D-O/N-B,Source
846364,Same,1,1.0,0.27,D-O/N-B,Source
849326,Same,14,2.0,41.62,D-O/N-B,Source
817198,Different,27,1.0,28.2,D-O/N-B,Source
849126,Same,27,4.0,78.56,D-O/N-B,Source
848894,Same,71,1.0,136.11,D-O/N-B,Source
848878,Same,26,2.0,139.89,D-O/N-B,Source
848733,Same,59,3.0,44.0,D-O/N-B,Source
849284,Same,2,1.0,6.57,D-O/N-B,Source
848733,Same,59,3.0,44.0,D-O/N-B,Source
822138,Same,142,10.0,742.89,D-O/N-B,Source
848760,Same,2,2.0,37.91,D-O/N-B,Source
840386,Same,46,2.0,1215.57,D-O/N-B,Source
837430,Same,46,3.0,522.17,D-O/N-B,Source
847272,Same,774,16.0,348.91,D-O/N-B,Source
799671,Same,199,37.0,1405.82,D-O/N-B,Source
841902,Same,9,2.0,574.9,D-O/N-B,Source
847803,Same,71,5.0,216.33,D-O/N-B,Source
829108,Same,27,9.0,3380.1,D-O/N-B,Source
828169,Same,51,7.0,3525.86,D-O/N-B,Source
848178,Same,37,4.0,148.94,D-O/N-B,Source
848663,Same,223,1.0,38.37,D-O/N-B,Source
