Source,Target,Source_repo,Target_repo
860947,860948,openstack/openstack-ansible,openstack/openstack-ansible-os_nova
860424,778396,openstack/openstack-ansible-plugins,openstack/openstack-ansible
860480,778396,openstack/openstack-ansible-os_neutron,openstack/openstack-ansible
866130,865668,openstack/devstack-plugin-container,openstack/kuryr-kubernetes
865961,862924,openstack/openstack-ansible-os_neutron,openstack/openstack-ansible
866249,862924,openstack/openstack-ansible-os_neutron,openstack/openstack-ansible
866159,862924,openstack/openstack-ansible-os_nova,openstack/openstack-ansible
865185,865186,openstack/manila-tempest-plugin,openstack/manila
861101,859110,openstack/tripleo-ansible,openstack/tripleo-heat-templates
861610,859110,openstack/tripleo-ansible,openstack/tripleo-heat-templates
864201,864250,openstack/tripleo-common,openstack/tripleo-ansible
866717,863041,openstack/puppet-pacemaker,openstack/puppet-tripleo
866650,863041,openstack/puppet-pacemaker,openstack/puppet-tripleo
863036,863041,openstack/puppet-pacemaker,openstack/puppet-tripleo
864299,864576,openstack/openstack-helm-infra,openstack/openstack-helm
826958,864964,openstack/puppet-nova,openstack/tripleo-heat-templates
861110,861140,openstack/tempest,openstack/horizon
835512,750782,openstack/cinder-tempest-plugin,openstack/cinder
866197,866059,openstack/openstack-ansible-tests,openstack/openstack-ansible-plugins
859403,859435,openstack/tripleo-common,openstack/tripleo-heat-templates
866010,859403,openstack/tripleo-ansible,openstack/tripleo-common
865630,865631,openstack/tripleo-ansible,openstack/tripleo-heat-templates
826948,828464,openstack/kolla,openstack/kolla-ansible
865851,865854,openstack/tripleo-ci,openstack/tripleo-upgrade
866431,866131,openstack/tripleo-quickstart-extras,openstack/tripleo-quickstart
866012,865961,openstack/openstack-ansible,openstack/openstack-ansible-os_neutron
865139,865141,openstack/tripleo-common,openstack/tripleo-heat-templates
858930,865830,openstack/tripleo-common,openstack/tripleo-heat-templates
865050,865052,openstack/tripleo-ci,openstack/tripleo-heat-templates
864553,864419,openstack/openstack-ansible,openstack/openstack-ansible-os_octavia
830373,856610,openstack/kolla,openstack/kolla-ansible
866131,865851,openstack/tripleo-quickstart,openstack/tripleo-ci
866142,866147,openstack/tripleo-upgrade,openstack/tripleo-heat-templates
866213,866214,openstack/devstack,openstack/tempest
865618,866214,openstack/placement,openstack/tempest
848198,839066,openstack/neutron-tempest-plugin,openstack/neutron
863954,863958,openstack/project-config,openstack/governance
863165,863166,openstack/project-config,openstack/governance
863957,864068,openstack/project-config,openstack/governance
863076,863079,openstack/governance,openstack/project-config
866130,866182,openstack/devstack-plugin-container,openstack/kuryr-kubernetes
848198,866095,openstack/neutron-tempest-plugin,openstack/neutron
865874,865875,openstack/puppet-tripleo,openstack/tripleo-heat-templates
865873,865875,openstack/tripleo-common,openstack/tripleo-heat-templates
865884,865885,openstack/puppet-tripleo,openstack/tripleo-heat-templates
865883,865885,openstack/tripleo-common,openstack/tripleo-heat-templates
863197,863039,openstack/ceilometer,openstack/aodh
861710,860691,openstack/tripleo-upgrade,openstack/tripleo-heat-templates
866054,858996,openstack/openstack-zuul-jobs,openstack/devstack
