Duration,Reviewer_sharing,Project_type
17.49,At least one,Source
1830.38,At least one,Source
917.49,At least one,Source
1102.01,At least one,Source
347.7,At least one,Source
471.9,At least one,Source
33.81,At least one,Source
140.34,At least one,Source
17.1,At least one,Source
146.42,At least one,Source
49.43,At least one,Source
130.44,At least one,Source
46.45,At least one,Source
1110.93,At least one,Source
120.63,At least one,Source
16.73,At least one,Source
20.25,At least one,Source
1110.93,At least one,Source
3184.25,At least one,Source
453.05,At least one,Source
149.32,At least one,Source
24.59,At least one,Source
120.81,At least one,Source
255.83,At least one,Source
64.28,At least one,Source
29.33,At least one,Source
89.78,At least one,Source
77.71,At least one,Source
361.84,At least one,Source
1.77,At least one,Source
89.78,At least one,Source
22.15,At least one,Source
140.91,At least one,Source
21.33,At least one,Source
2992.41,At least one,Source
25.31,At least one,Source
271.26,At least one,Source
459.07,At least one,Source
155.45,At least one,Source
207.72,At least one,Source
1.61,At least one,Source
19.97,At least one,Source
448.44,At least one,Source
3845.09,At least one,Source
1818.53,At least one,Source
22.93,At least one,Source
22.93,At least one,Source
22.93,At least one,Source
16.32,At least one,Source
209.4,At least one,Source
18.8,At least one,Source
57.21,At least one,Source
22.93,At least one,Source
340.69,At least one,Source
61.74,At least one,Source
7.76,At least one,Source
126.3,At least one,Source
289.08,At least one,Source
99.77,At least one,Source
549.38,At least one,Source
340.69,At least one,Source
281.53,At least one,Source
529.05,At least one,Source
26.09,At least one,Source
1.4,At least one,Source
994.82,At least one,Source
4.39,At least one,Source
164.21,At least one,Source
3.56,At least one,Source
19.58,At least one,Source
501.74,At least one,Source
28.67,At least one,Source
340.69,At least one,Source
3.84,At least one,Source
6166.78,At least one,Source
256.08,At least one,Source
238.6,At least one,Source
2823.8,At least one,Source
215.59,At least one,Source
1148.59,At least one,Source
3795.33,At least one,Source
1107.3,At least one,Source
1.68,At least one,Source
84.99,At least one,Source
5.55,At least one,Source
84.99,At least one,Source
95.53,At least one,Source
5.55,At least one,Source
309.17,At least one,Source
459.05,At least one,Source
86.59,At least one,Source
383.21,At least one,Source
289.6,At least one,Source
451.67,At least one,Source
695.08,At least one,Source
402.97,At least one,Source
671.9,At least one,Source
2268.31,At least one,Source
390.52,At least one,Source
119.61,At least one,Source
289.6,At least one,Source
451.67,At least one,Source
271.26,At least one,Source
459.07,At least one,Source
522.17,At least one,Source
586.08,At least one,Source
4189.05,At least one,Source
510.37,At least one,Source
25.32,At least one,Source
25.25,At least one,Source
52.44,At least one,Source
439.08,At least one,Source
1775.34,At least one,Source
1775.34,At least one,Source
24.28,At least one,Source
100.99,At least one,Source
484.19,At least one,Source
22.01,At least one,Source
673.18,At least one,Source
971.31,At least one,Source
24.28,At least one,Source
484.19,At least one,Source
484.19,At least one,Source
22.01,At least one,Source
94.31,At least one,Source
2327.41,At least one,Source
17.17,At least one,Source
97.58,At least one,Source
2327.41,At least one,Source
818.34,At least one,Source
1147.98,At least one,Source
191.18,At least one,Source
191.18,At least one,Source
12.21,At least one,Source
13.89,At least one,Source
4.56,At least one,Source
3.06,At least one,Source
55.38,At least one,Source
3.06,At least one,Source
1911.04,At least one,Source
35.86,At least one,Source
1248.54,At least one,Source
12.9,At least one,Source
578.65,At least one,Source
11.13,At least one,Source
31.35,At least one,Source
480.35,At least one,Source
57.91,At least one,Source
31.35,At least one,Source
116.3,At least one,Source
401.04,At least one,Source
58.62,At least one,Source
789.53,At least one,Source
114.43,At least one,Source
92.37,At least one,Source
97.58,At least one,Source
5.55,At least one,Source
13.9,At least one,Source
502.65,At least one,Source
412.55,At least one,Source
885.94,At least one,Source
501.15,At least one,Source
51.09,At least one,Source
5.55,At least one,Source
5.55,At least one,Source
5.55,At least one,Source
5.55,At least one,Source
36.28,At least one,Source
12.9,At least one,Source
885.94,At least one,Source
501.15,At least one,Source
51.09,At least one,Source
77.89,At least one,Source
764.16,At least one,Source
8.47,At least one,Source
1471.03,At least one,Source
624.13,At least one,Source
260.76,At least one,Source
15.97,At least one,Source
1471.03,At least one,Source
1.69,At least one,Source
237.83,At least one,Source
327.79,At least one,Source
764.16,At least one,Source
700.15,At least one,Source
329.17,At least one,Source
2.98,At least one,Source
15.97,At least one,Source
1471.03,At least one,Source
125.37,At least one,Source
125.37,At least one,Source
125.37,At least one,Source
2.19,At least one,Source
1.76,At least one,Source
493.67,At least one,Source
31.35,At least one,Source
69.97,At least one,Source
35.17,At least one,Source
60.0,At least one,Source
22.1,At least one,Source
75.56,At least one,Source
340.69,At least one,Source
863.11,At least one,Source
51.52,At least one,Source
191.86,At least one,Source
401.04,At least one,Source
58.62,At least one,Source
158.01,At least one,Source
5.29,At least one,Source
0.08,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
22.1,At least one,Source
6955.53,At least one,Source
604.16,At least one,Source
177.43,At least one,Source
80.7,At least one,Source
1487.0,At least one,Source
1.85,At least one,Source
72.44,At least one,Source
645.34,At least one,Source
8.82,At least one,Source
17.31,At least one,Source
16.36,At least one,Source
17.35,At least one,Source
17.35,At least one,Source
17.35,At least one,Source
