Path,length,all_abandoned,is_cross,lag,is_cross_service,team_size
"[761768, 761769, 767148, 767930, 767931, 767933]",6,False,True,1010.02,True,2
"[766336, 691677, 764094, 766316, 759829, 763831, 759000, 759832, 764090, 764091, 764092, 683357, 764093, 764095]",14,False,True,10715.7,True,2
"[765202, 765199]",2,False,True,0.13,True,2
"[766530, 766532, 766129, 738644, 738518, 766426]",6,False,True,3933.18,True,2
"[755995, 756892]",2,False,True,81.82,True,2
"[671873, 724434, 673374]",3,False,True,6837.12,True,2
"[764548, 764554, 764555, 764556, 764557, 764559, 764560, 764561, 764562, 764565, 764566, 764567, 764568, 764569, 764571, 764574, 764575, 764576, 764519, 764520, 764521, 764522, 764523, 764525, 764526, 764527, 764528, 764529, 764530, 764532, 764534, 764535, 764536, 764539, 764540, 764541, 764542, 764543]",38,False,True,20.47,True,4
"[756480, 758978, 758980, 757803, 756527, 757746, 757747, 757749, 757750, 756476]",10,False,True,335.73,True,2
"[787943, 787945, 749035, 780780, 780782, 752463, 780784, 743537, 780787, 696084, 780789, 749205, 743708, 785625, 785627, 763324]",16,False,True,12403.3,True,2
"[764464, 764337, 764339, 764424]",4,False,True,25.24,True,2
"[734889, 753453]",2,False,True,2500.97,True,2
"[760965, 760966, 760969, 760970, 758255, 758485, 760154, 760638]",8,False,True,452.12,True,2
"[655813, 653672, 653673, 753399, 655290]",5,False,True,12561.35,True,2
"[760128, 760422, 742546, 742547, 761755]",5,False,True,2560.84,True,2
"[758201, 758203, 788883]",3,False,True,4740.64,True,2
"[760099, 760100, 728803, 729166, 728335, 727347]",6,False,True,4048.07,True,2
"[761222, 761223, 761224, 759850, 759831]",5,False,True,179.31,True,2
"[760546, 760547, 760548, 760549, 724138, 718768, 685492, 718775, 760447]",9,False,True,9567.22,True,2
"[755265, 755266, 753154, 753550]",4,False,True,205.99,True,2
"[752904, 753586, 752725]",3,False,True,115.1,True,2
"[750952, 750956, 750950]",3,False,True,0.54,True,2
"[754901, 754900, 750149, 750148]",4,False,True,523.11,True,2
"[814733, 756245, 756246, 756119, 756250, 756253, 756256, 755233, 752672, 752676, 712640, 759363, 759364, 759365, 759366, 759367, 759369, 738397, 757099, 756591, 738551]",21,False,True,14087.85,True,2
"[748741, 708069, 748743, 748487, 748489, 748490, 748744, 748491, 748742, 748165, 748488, 748745]",12,False,True,4642.22,True,10
"[755274, 746347, 744702, 746578, 743828, 749591, 746586, 746203, 746142]",9,False,True,1505.06,True,2
"[740993, 734344, 741000, 729354, 749837, 757134, 747280, 749841, 757139, 749843, 749844, 747283, 747284, 747285, 747286, 747289, 743189, 745756, 747293, 723863, 749856, 747299, 747300, 747301, 747304, 747441, 751923, 743862, 741303, 752057, 751554, 726478, 743772, 724445, 741731, 750056, 752106, 752107]",38,False,True,3940.92,True,2
"[693248, 694665, 690934, 690999, 694013]",5,False,True,550.12,True,2
"[751200, 749479]",2,False,True,214.71,True,2
"[735601, 734873]",2,False,True,119.27,True,2
"[678021, 686215, 668424, 668425, 686218, 686219, 668423, 673692, 671776, 686240, 686245, 686246, 686247, 669863, 669751, 668224, 670149, 670150, 668242, 671345, 670203]",21,False,True,2304.76,True,3
