Path,length,service_length
"['openstack/tripleo-quickstart', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/openstack-tempest-skiplist']",3,2
"['openstack/charm-neutron-k8s', 'openstack/charm-ops-sunbeam']",2,2
"['openstack/charm-neutron-k8s', 'openstack/charm-ops-sunbeam']",2,2
"['openstack/charm-glance-k8s', 'openstack/charm-ops-sunbeam']",2,2
"['openstack/tripleo-image-elements', 'openstack/tripleo-image-elements', 'openstack/diskimage-builder']",2,2
"['openstack/tripleo-image-elements', 'openstack/tripleo-image-elements', 'openstack/diskimage-builder']",2,2
"['openstack/charm-manila', 'openstack/charms.openstack', 'openstack/charms.openstack', 'openstack/charms.openstack', 'openstack/charms.openstack', 'openstack/charms.openstack', 'openstack/charms.openstack', 'openstack/charms.openstack']",2,2
"['openstack/barbican', 'openstack/requirements', 'openstack/barbican', 'openstack/barbican', 'openstack/barbican', 'openstack/barbican', 'openstack/barbican', 'openstack/barbican', 'openstack/barbican']",2,2
"['openstack/openstacksdk', 'openstack/octavia-tempest-plugin', 'openstack/octavia-dashboard', 'openstack/python-octaviaclient', 'openstack/octavia']",5,2
"['openstack/requirements', 'openstack/oslo.log']",2,2
"['openstack/ironic-python-agent', 'openstack/ironic-python-agent-builder', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent-builder', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent', 'openstack/ironic-python-agent-builder', 'openstack/diskimage-builder']",3,2
"['openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/requirements']",2,2
"['openstack/charm-keystone-k8s', 'openstack/charm-ops-sunbeam']",2,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-ceilometer']",2,2
"['openstack/glance', 'openstack/rally-openstack', 'openstack/glance']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/devstack', 'openstack/devstack-gate']",2,2
"['openstack/networking-ovn', 'openstack/tripleo-heat-templates', 'openstack/neutron', 'openstack/tripleo-heat-templates', 'openstack/neutron', 'openstack/tripleo-heat-templates']",3,2
"['openstack/openstack-ansible-os_neutron', 'openstack/neutron-fwaas-dashboard', 'openstack/neutron-fwaas', 'openstack/senlin', 'openstack/governance', 'openstack/kolla-ansible', 'openstack/kayobe', 'openstack/kolla', 'openstack/openstack-ansible-os_horizon', 'openstack/openstack-ansible-os_tempest', 'openstack/neutron-tempest-plugin', 'openstack/project-config']",12,6
"['openstack/cliff', 'openstack/heat-translator', 'openstack/horizon', 'openstack/openstack-zuul-jobs', 'openstack/validations-common']",5,5
"['openstack/skyline-apiserver', 'openstack/heat', 'openstack/barbican', 'openstack/neutron', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/neutron-tempest-plugin', 'openstack/neutron', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/nova', 'openstack/nova', 'openstack/neutron', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/neutron-lib', 'openstack/neutron-lib']",7,5
"['openstack/project-config', 'openstack/releases']",2,2
"['openstack/openstack-ansible-os_nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/openstack-ansible-os_nova', 'openstack/os-vif', 'openstack/ovsdbapp', 'openstack/ovsdbapp', 'openstack/ovsdbapp', 'openstack/ovsdbapp', 'openstack/nova', 'openstack/nova', 'openstack/ovsdbapp', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/os-vif', 'openstack/devstack', 'openstack/nova', 'openstack/nova', 'openstack/devstack', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/neutron', 'openstack/neutron', 'openstack/nova', 'openstack/neutron']",6,4
"['openstack/charm-manila', 'openstack/charm-manila', 'openstack/charm-keystone-saml-mellon', 'openstack/charm-manila-dashboard', 'openstack/charm-keystone-kerberos', 'openstack/charm-keystone-ldap', 'openstack/charm-magnum', 'openstack/charm-magnum-dashboard', 'openstack/charm-ironic-api', 'openstack/charm-keystone', 'openstack/charm-ironic-conductor', 'openstack/charm-heat', 'openstack/charm-hacluster']",12,6
"['openstack/charm-octavia-dashboard', 'openstack/charm-octavia', 'openstack/charm-octavia', 'openstack/charm-octavia-diskimage-retrofit', 'openstack/charm-openstack-loadbalancer', 'openstack/charm-nova-cell-controller', 'openstack/charm-openstack-dashboard', 'openstack/charm-octavia', 'openstack/charm-nova-compute-nvidia-vgpu', 'openstack/charm-octavia-dashboard', 'openstack/charm-nova-cloud-controller', 'openstack/charm-nova-compute']",9,3
