id,project,branch,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fkeystone~master~I425ab1b53fd4519902af017e39a4cfd638984f49,openstack/keystone,master,I425ab1b53fd4519902af017e39a4cfd638984f49,Add unittest2 to pip requires for testing,MERGED,2011-07-29 04:53:28.000000000,2011-08-01 18:56:27.000000000,2011-08-01 18:50:50.000000000,2,1,0,110,9dcce1f163ddc5313e65fbc01953c7a7362fa22a,20,3,1,1,5,Ziad Sawalha,ziad-sawalha,"Add unittest2 to pip requires for testing

Change-Id: I425ab1b53fd4519902af017e39a4cfd638984f49
"
openstack%2Fkeystone~master~I654cca34e3d01b134f6fedf9114e11a0a98a2740,openstack/keystone,master,I654cca34e3d01b134f6fedf9114e11a0a98a2740,Added support for versioned openstack MIME types,ABANDONED,2011-07-29 19:19:35.000000000,2011-08-01 17:02:44.000000000,,181,95,0,114,59dc99ed7f672f589a312a0940a9449096c22aca,7,4,1,5,4,Dolph Mathews,dolph,"Added support for versioned openstack MIME types

Additional MIME types are normalized down to 'application/xml' and 'application/json' to minimize impact on underlying layers. Also added normalized KEYSTONE_API_VERSION and KEYSTONE_RESPONSE_ENCODING (simplified prefferred Accept encoding) to the wsgi environment for underlying apps to optionally utilize. (note: the legacy layer now looks for the KEYSTONE_API_VERSION).

Change-Id: I654cca34e3d01b134f6fedf9114e11a0a98a2740
"
openstack%2Fkeystone~master~I88a6864a51a44d01ed40e513c81b1d1bd4517e4d,openstack/keystone,master,I88a6864a51a44d01ed40e513c81b1d1bd4517e4d,simple pylint fixes,ABANDONED,2011-07-29 21:11:14.000000000,2011-08-01 16:57:43.000000000,2011-07-30 00:37:03.000000000,44,24,0,117,4effdbd02d8b6a05df7896df788a042503d76124,6,3,1,1,4,Dolph Mathews,dolph,"simple pylint fixes

Change-Id: I88a6864a51a44d01ed40e513c81b1d1bd4517e4d
"
openstack%2Fkeystone~master~I1cbc3fa3837f49b2fdde5ae220b973e13cdb45f8,openstack/keystone,master,I1cbc3fa3837f49b2fdde5ae220b973e13cdb45f8,Tweaked the sample dtest to avoid pylint errors,ABANDONED,2011-07-29 20:53:56.000000000,2011-08-01 16:57:11.000000000,,3,4,0,115,ed5ade84aa4d35bd407aff6a0646e5b9f67849a5,6,3,1,1,4,Dolph Mathews,dolph,"Tweaked the sample dtest to avoid pylint errors

Change-Id: I1cbc3fa3837f49b2fdde5ae220b973e13cdb45f8
"
openstack%2Fkeystone~master~I7533af6fd8e3fa4dd5054c6c3066761713172aac,openstack/keystone,master,I7533af6fd8e3fa4dd5054c6c3066761713172aac,pylint fix: avoiding overriding the built in next() function,ABANDONED,2011-07-29 20:54:44.000000000,2011-08-01 16:56:45.000000000,,32,32,0,116,71d548c3a0e005b888129f32a46bb6643dc00aa8,6,3,1,1,4,Dolph Mathews,dolph,"pylint fix: avoiding overriding the built in next() function

Change-Id: I7533af6fd8e3fa4dd5054c6c3066761713172aac
"
openstack%2Fkeystone~master~Ia5a6f74ccfa5fb9975950c63db7828441a8ba4a0,openstack/keystone,master,Ia5a6f74ccfa5fb9975950c63db7828441a8ba4a0,#16 Changes to remove unused group clls.,MERGED,2011-07-28 17:23:19.000000000,2011-07-30 00:32:35.000000000,2011-07-30 00:32:35.000000000,22,3857,0,107,979bc77e7cb570e807675be27c4607852009ab38,12,4,2,31,2,Monty Taylor,mordred," #16 Changes to remove unused group clls.

Change-Id: Ia5a6f74ccfa5fb9975950c63db7828441a8ba4a0

Issue #16 Pylint changes.Changes to remove unused group calls.

Change-Id: Ia5a6f74ccfa5fb9975950c63db7828441a8ba4a0
"
openstack%2Fkeystone~master~I572c6bb7ae1e5d7e7a3b4af64eb50d4ef9487ee0,openstack/keystone,master,I572c6bb7ae1e5d7e7a3b4af64eb50d4ef9487ee0,#16 Changes to remove unused group clls.,ABANDONED,2011-07-29 16:43:41.000000000,2011-07-29 16:44:01.000000000,,0,1114,0,113,572c6bb7ae1e5d7e7a3b4af64eb50d4ef9487ee0,1,0,1,3,8,Yogeshwar Srikrishnan,yogesh-srikrishnan," #16 Changes to remove unused group clls.

    Change-Id: Ia5a6f74ccfa5fb9975950c63db7828441a8ba4a0
"
openstack%2Fkeystone~master~I4176fd7b56fa7a174bb76d7f8b8a993b99ee6498,openstack/keystone,master,I4176fd7b56fa7a174bb76d7f8b8a993b99ee6498,#16 Changes to remove unused group calls.Pylint fixes.,ABANDONED,2011-07-29 16:40:46.000000000,2011-07-29 16:41:36.000000000,,0,1114,0,112,4176fd7b56fa7a174bb76d7f8b8a993b99ee6498,1,0,1,3,8,Yogeshwar Srikrishnan,yogesh-srikrishnan,"     #16 Changes to remove unused group calls.Pylint fixes.

    Change-Id: Ia5a6f74ccfa5fb9975950c63db7828441a8ba4a0
"
openstack%2Fkeystone~master~Icf9af462c3c9d9713f4bfc71f68169cee7d52dc3,openstack/keystone,master,Icf9af462c3c9d9713f4bfc71f68169cee7d52dc3,#16 Fixing pylint issues.Changes to remove unused group calls.,ABANDONED,2011-07-29 16:21:20.000000000,2011-07-29 16:22:47.000000000,,0,4,0,111,cf9af462c3c9d9713f4bfc71f68169cee7d52dc3,1,0,1,2,8,Yogeshwar Srikrishnan,yogesh-srikrishnan,"     #16 Fixing pylint issues.Changes to remove unused group calls.

    Change-Id: Ia5a6f74ccfa5fb9975950c63db7828441a8ba4a0
"
openstack%2Fkeystone~master~I48897416c3b6564289c45a3e316d8f6422601115,openstack/keystone,master,I48897416c3b6564289c45a3e316d8f6422601115,Use un-spaced exception names...,ABANDONED,2011-07-26 17:43:47.000000000,2011-07-28 17:16:33.000000000,2011-07-26 22:28:43.000000000,1,1,0,60,48897416c3b6564289c45a3e316d8f6422601115,11,3,1,1,5,Ziad Sawalha,ziad-sawalha,"Use un-spaced exception names...
"
