antecedent,consequent,supp,conf
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_cinder,5.189265919747166e-05,0.04732824427480916
openstack/tripleo-ansible,openstack/tripleo-common,0.00016739567483055372,0.047326076668244205
openstack/openstack-ansible-openstack_hosts,openstack/openstack-ansible-lxc_hosts,5.021870244916612e-05,0.04709576138147567
openstack/openstack-ansible-tests,openstack/openstack-ansible-os_neutron,8.202388066697132e-05,0.04680038204393505
openstack/puppet-nova,openstack/tripleo-heat-templates,0.0001523300640958039,0.046122655854029394
openstack/openstack-ansible-os_neutron,openstack/openstack-ansible-tests,8.202388066697132e-05,0.04583723105706267
openstack/openstack-ansible-os_glance,openstack/openstack-ansible-os_ironic,5.021870244916612e-05,0.04580152671755725
openstack/instack-undercloud,openstack/puppet-tripleo,8.034992391866579e-05,0.04580152671755725
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_keystone,5.021870244916612e-05,0.04580152671755725
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_neutron,5.021870244916612e-05,0.04580152671755725
openstack/openstack-ansible-os_cinder,openstack/openstack-ansible-os_tempest,5.8588486190693806e-05,0.04521963824289406
openstack/tripleo-docs,openstack/python-tripleoclient,8.369783741527686e-05,0.045207956600361664
openstack/placement,openstack/nova,5.691452944238827e-05,0.04491413474240423
openstack/networking-bgpvpn,openstack/networking-bagpipe,6.863222668052703e-05,0.044857768052516414
openstack/grenade,openstack/nova,5.356661594577719e-05,0.04481792717086835
openstack/openstack-ansible-os_tempest,openstack/openstack-ansible-os_cinder,5.8588486190693806e-05,0.04481434058898848
openstack/devstack-gate,openstack/project-config,0.00012722071287122084,0.04481132075471698
openstack/neutron-lbaas,openstack/neutron-fwaas,9.708949140172116e-05,0.044649730561970746
openstack/openstack-ansible-galera_server,openstack/openstack-ansible-galera_client,5.021870244916612e-05,0.044642857142857144
openstack/kolla,openstack/kolla-ansible,0.0005674713376755771,0.04452324665090623
