Path,length,length_service
"['openstack/project-config' 'openstack/requirements'
 'openstack/governance' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-rsyslog_server'
 'openstack/openstack-ansible-rsyslog_client']",6,4
"['openstack/manila' 'openstack/python-manilaclient'
 'openstack/manila-tempest-plugin']",3,1
['openstack/openstack-ansible' 'openstack/openstack-ansible-os_neutron'],2,1
['openstack/charm-octavia'],1,1
"['openstack/tripleo-ansible' 'openstack/tripleo-quickstart'
 'openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'
 'openstack/ansible-role-chrony' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-common']",7,1
['openstack/charm-glance-k8s' 'openstack/charm-ops-sunbeam'],2,2
"['openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-os_rally']",4,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/ansible-collections-openstack' 'openstack/openstacksdk'],2,2
['openstack/manila-tempest-plugin' 'openstack/manila'],2,1
['openstack/tripleo-ansible'],1,1
['openstack/octavia-tempest-plugin' 'openstack/octavia'],2,1
['openstack/python-openstackclient' 'openstack/openstacksdk'],2,1
['openstack/skyline-apiserver' 'openstack/skyline-console'],2,1
"['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'
 'openstack/openstack-tempest-skiplist']",3,2
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/charm-neutron-k8s' 'openstack/charm-ops-sunbeam'],2,2
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
"['openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'
 'openstack/python-tripleoclient' 'openstack/tripleo-heat-templates']",4,1
['openstack/tripleo-common' 'openstack/tripleo-ci'],2,1
['openstack/charm-neutron-k8s' 'openstack/charm-ops-sunbeam'],2,2
['openstack/charm-glance-k8s' 'openstack/charm-ops-sunbeam'],2,2
['openstack/kayobe' 'openstack/kolla-ansible'],2,1
['openstack/kuryr-tempest-plugin' 'openstack/kuryr-kubernetes'],2,1
['openstack/kayobe' 'openstack/kolla-ansible'],2,1
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-image-elements' 'openstack/diskimage-builder'],2,2
['openstack/tripleo-image-elements' 'openstack/diskimage-builder'],2,2
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/charm-manila' 'openstack/charms.openstack'],2,2
['openstack/barbican' 'openstack/requirements'],2,2
"['openstack/openstacksdk' 'openstack/octavia-tempest-plugin'
 'openstack/octavia-dashboard' 'openstack/python-octaviaclient'
 'openstack/octavia']",5,2
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/python-tripleoclient' 'openstack/tripleo-ansible'],2,1
['openstack/requirements' 'openstack/oslo.log'],2,2
['openstack/tripleo-upgrade' 'openstack/tripleo-heat-templates'],2,1
['openstack/kolla-ansible'],1,1
"['openstack/neutron-vpnaas' 'openstack/neutron-tempest-plugin'
 'openstack/neutron' 'openstack/neutron-specs']",4,1
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
"['openstack/ironic-python-agent' 'openstack/ironic-python-agent-builder'
 'openstack/diskimage-builder']",3,2
['openstack/neutron' 'openstack/requirements'],2,2
['openstack/charm-keystone-k8s' 'openstack/charm-ops-sunbeam'],2,2
['openstack/neutron-lib' 'openstack/neutron-vpnaas'],2,1
"['openstack/designate' 'openstack/python-designateclient'
 'openstack/designate-tempest-plugin']",3,1
['openstack/tripleo-common' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-ceilometer'],2,2
['openstack/glance' 'openstack/rally-openstack'],2,2
['openstack/governance' 'openstack/project-config'],2,2
['openstack/devstack' 'openstack/devstack-gate'],2,2
"['openstack/networking-ovn' 'openstack/tripleo-heat-templates'
 'openstack/neutron']",3,2
['openstack/tripleo-ci' 'openstack/tripleo-heat-templates'],2,1
['openstack/ceilometer'],1,1
['openstack/keystonemiddleware' 'openstack/keystoneauth'],2,1
