Path,length,length_service
['openstack/horizon'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/kayobe'],1,1
['openstack/charm-trilio-wlm'],1,1
['openstack/puppet-neutron'],1,1
['openstack/neutron'],1,1
['openstack/nova'],1,1
['openstack/networking-ovn' 'openstack/neutron'],2,1
['openstack/pbr'],1,1
['openstack/sahara-dashboard' 'openstack/horizon'],2,2
['openstack/fuel-library'],1,1
['openstack/ironic-inspector'],1,1
['openstack/magnum'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/tooz'],1,1
['openstack/barbican'],1,1
['openstack/openstack-ansible'],1,1
['openstack/kolla'],1,1
['openstack/openstack-ansible-os_nova'],1,1
['openstack/python-zaqarclient'],1,1
['openstack/barbican'],1,1
['openstack/oslo.limit'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/neutron'],1,1
['openstack/keystone'],1,1
['openstack/nova'],1,1
['openstack/kolla'],1,1
['openstack/kolla-ansible'],1,1
['openstack/keystone'],1,1
['openstack/kolla-ansible'],1,1
['openstack/manila'],1,1
['openstack/puppet-ceilometer'],1,1
['openstack/kolla'],1,1
['openstack/openstack-ansible-os_tempest'],1,1
['openstack/ironic-lib'],1,1
['openstack/ironic-inspector'],1,1
['openstack/fuel-octane'],1,1
['openstack/puppet-cinder'],1,1
['openstack/openstack-manuals'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/puppet-glance'],1,1
['openstack/openstack-manuals'],1,1
['openstack/nova'],1,1
['openstack/nova' 'openstack/cinder' 'openstack/oslo-incubator'],3,3
['openstack/puppet-nova'],1,1
['openstack/puppet-nova'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/metalsmith'],1,1
['openstack/oslo.versionedobjects'],1,1
['openstack/tripleo-ansible'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/tripleo-image-elements'],1,1
['openstack/designate'],1,1
['openstack/fuel-main'],1,1
['openstack/fuel-ui'],1,1
['openstack/sahara'],1,1
['openstack/heat'],1,1
['openstack/keystone'],1,1
['openstack/ceilometer'],1,1
['openstack/fuel-library'],1,1
['openstack/charm-gnocchi'],1,1
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/cinder'],1,1
['openstack/puppet-neutron'],1,1
['openstack/congress'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/glance'],1,1
['openstack/fuel-docs'],1,1
['openstack/neutron'],1,1
['openstack/neutron'],1,1
['openstack/python-neutronclient'],1,1
['openstack/kolla-ansible'],1,1
['openstack/sahara'],1,1
['openstack/devstack'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/nova'],1,1
['openstack/fuel-web'],1,1
['openstack/neutron'],1,1
['openstack/openstack-ansible-os_ceilometer'],1,1
['openstack/networking-ovn' 'openstack/neutron'],2,1
['openstack/openstack-ansible-os_nova'],1,1
['openstack/kolla-ansible'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/tripleo-validations'],1,1
['openstack/charm-neutron-openvswitch'],1,1
['openstack/kuryr-kubernetes'],1,1
['openstack/puppet-glance'],1,1
['openstack/openstack-manuals'],1,1
['openstack/charm-neutron-api'],1,1
['openstack/kolla-ansible'],1,1
['openstack/openstack-ansible'],1,1
['openstack/openstack-ansible-os_neutron'],1,1
['openstack/ovsdbapp'],1,1
['openstack/fuel-qa'],1,1
['openstack/os-net-config'],1,1
['openstack/cinder' 'openstack/nova'],2,2
['openstack/openstack-manuals'],1,1
['openstack/sushy-oem-idrac'],1,1
['openstack/salt-formula-neutron'],1,1
['openstack/openstack-ansible'],1,1
['openstack/nova'],1,1
['openstack/horizon'],1,1
['openstack/charm-neutron-api'],1,1
['openstack/fuel-library'],1,1
['openstack/os-net-config'],1,1
['openstack/fuel-qa'],1,1
['openstack/openstack-ansible'],1,1
['openstack/neutron'],1,1
['openstack/openstack-ansible-galera_server'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/fuel-web'],1,1
['openstack/openstack-ansible'],1,1
['openstack/fuel-astute'],1,1
['openstack/nova'],1,1
['openstack/nova'],1,1
['openstack/rpm-packaging'],1,1
['openstack/kolla'],1,1
['openstack/fuel-web'],1,1
['openstack/heat'],1,1
['openstack/neutron-lbaas'],1,1
['openstack/openstack-ansible'],1,1
['openstack/oslo.config'],1,1
['openstack/openstack-ansible'],1,1
['openstack/nova'],1,1
['openstack/nova'],1,1
['openstack/nova'],1,1
['openstack/openstack-ansible-os_ironic'],1,1
['openstack/manila'],1,1
['openstack/fuel-nailgun-extension-cluster-upgrade'],1,1
['openstack/fuel-library'],1,1
['openstack/fuel-nailgun-agent'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/puppet-neutron'],1,1
['openstack/puppet-glance'],1,1
['openstack/openstack-manuals'],1,1
['openstack/magnum'],1,1
['openstack/nova'],1,1
['openstack/heat'],1,1
['openstack/charm-ceilometer'],1,1
['openstack/keystone'],1,1
['openstack/heat'],1,1
['openstack/tripleo-common'],1,1
['openstack/fuel-octane'],1,1
['openstack/openstack-ansible-tests'],1,1
['openstack/cinder'],1,1
['openstack/fuel-docs'],1,1
['openstack/puppet-neutron'],1,1
['openstack/tripleo-ansible'],1,1
['openstack/fuel-web'],1,1
['openstack/kolla'],1,1
['openstack/ironic'],1,1
['openstack/tripleo-ansible'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/networking-bgpvpn'],1,1
['openstack/nova'],1,1
['openstack/fuel-web'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/kolla'],1,1
['openstack/kolla-ansible'],1,1
['openstack/manila'],1,1
['openstack/cinder'],1,1
['openstack/puppet-glance'],1,1
['openstack/puppet-trove'],1,1
['openstack/puppet-heat'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/charm-designate'],1,1
['openstack/tempest'],1,1
['openstack/neutron'],1,1
['openstack/glance'],1,1
['openstack/puppet-swift'],1,1
['openstack/neutron'],1,1
['openstack/openstack-ansible'],1,1
['openstack/nova'],1,1
['openstack/charm-ironic-conductor'],1,1
['openstack/puppet-cinder'],1,1
['openstack/openstack-ansible'],1,1
['openstack/cinder'],1,1
['openstack/sahara'],1,1
['openstack/nova'],1,1
['openstack/kolla-ansible'],1,1
['openstack/openstack-manuals'],1,1
['openstack/mistral'],1,1
['openstack/tacker'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/puppet-ec2api'],1,1
['openstack/tripleo-upgrade'],1,1
['openstack/ironic'],1,1
['openstack/nova'],1,1
['openstack/horizon'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/openstack-ansible'],1,1
['openstack/openstack-ansible'],1,1
['openstack/vitrage'],1,1
['openstack/puppet-keystone'],1,1
['openstack/horizon'],1,1
['openstack/fuel-octane'],1,1
['openstack/nova'],1,1
['openstack/cinder'],1,1
['openstack/heat'],1,1
['openstack/heat'],1,1
['openstack/openstack-ansible-security'],1,1
['openstack/kolla-ansible'],1,1
['openstack/nova'],1,1
['openstack/heat'],1,1
['openstack/sahara'],1,1
['openstack/bifrost'],1,1
['openstack/python-openstackclient'],1,1
['openstack/openstack-manuals'],1,1
['openstack/networking-ovn'],1,1
['openstack/cinder'],1,1
['openstack/openstack-ansible'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/mistral'],1,1
['openstack/fuel-library'],1,1
['openstack/keystonemiddleware'],1,1
['openstack/openstack-ansible-tests'],1,1
['openstack/cinder'],1,1
['openstack/openstack-ansible'],1,1
['openstack/neutron'],1,1
['openstack/os-client-config' 'openstack/openstacksdk'],2,1
['openstack/fuel-qa'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/nova'],1,1
['openstack/kolla-ansible'],1,1
['openstack/kolla'],1,1
['openstack/cinder'],1,1
['openstack/openstack-ansible-galera_server'],1,1
['openstack/neutron'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/nova'],1,1
['openstack/nova'],1,1
['openstack/nova'],1,1
['openstack/ansible-role-thales-hsm'],1,1
['openstack/requirements'],1,1
['openstack/nova'],1,1
['openstack/fuel-docs'],1,1
['openstack/neutron'],1,1
['openstack/blazar-dashboard' 'openstack/zaqar-ui' 'openstack/zun-ui'],3,3
['openstack/cinder'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/openstack-ansible'],1,1
['openstack/puppet-horizon'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/rpm-packaging'],1,1
['openstack/openstack-ansible-os_gnocchi'],1,1
['openstack/neutron'],1,1
['openstack/instack-undercloud'],1,1
['openstack/swift'],1,1
['openstack/openstack-ansible-repo_build'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/kolla-ansible'],1,1
['openstack/fuel-devops'],1,1
['openstack/ironic'],1,1
['openstack/kolla'],1,1
['openstack/keystone'],1,1
['openstack/ceilometer' 'openstack/requirements'],2,2
['openstack/bifrost'],1,1
['openstack/cinder'],1,1
['openstack/cinder'],1,1
['openstack/designate'],1,1
['openstack/octavia-dashboard'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/nova'],1,1
['openstack/tripleo-upgrade'],1,1
['openstack/openstack-ansible'],1,1
['openstack/python-designateclient'],1,1
['openstack/mistral'],1,1
['openstack/fuel-library'],1,1
['openstack/horizon'],1,1
['openstack/osc-lib'],1,1
['openstack/freezer-web-ui'],1,1
['openstack/requirements'],1,1
['openstack/kolla-ansible'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/ovn-octavia-provider'],1,1
['openstack/puppet-barbican'],1,1
['openstack/heat'],1,1
['openstack/tripleo-validations'],1,1
['openstack/salt-formula-opencontrail'],1,1
['openstack/fuel-ui'],1,1
['openstack/tripleo-ui'],1,1
['openstack/neutron'],1,1
['openstack/fuel-main'],1,1
['openstack/grenade'],1,1
['openstack/swift'],1,1
['openstack/python-fuelclient'],1,1
['openstack/puppet-vitrage'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/charm-nova-cloud-controller'],1,1
['openstack/ceilometer'],1,1
['openstack/tripleo-common'],1,1
['openstack/heat'],1,1
['openstack/tripleo-puppet-elements'],1,1
['openstack/puppet-octavia'],1,1
['openstack/os-net-config'],1,1
['openstack/os-brick'],1,1
['openstack/freezer-web-ui'],1,1
['openstack/keystone'],1,1
['openstack/kolla-ansible'],1,1
['openstack/ironic'],1,1
['openstack/openstack-ansible'],1,1
['openstack/fuel-library' 'openstack/puppet-glance'],2,2
['openstack/openstack-ansible'],1,1
['openstack/heat'],1,1
['openstack/networking-ovn'],1,1
['openstack/sahara'],1,1
['openstack/murano-dashboard'],1,1
['openstack/fuel-qa'],1,1
['openstack/instack-undercloud'],1,1
['openstack/kolla-ansible'],1,1
['openstack/murano-dashboard'],1,1
['openstack/glance'],1,1
['openstack/kayobe'],1,1
['openstack/cinder'],1,1
['openstack/kolla-ansible'],1,1
['openstack/rpm-packaging'],1,1
['openstack/kolla'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/puppet-horizon'],1,1
['openstack/nova'],1,1
['openstack/fuel-qa'],1,1
['openstack/compute-hyperv'],1,1
['openstack/sahara-dashboard'],1,1
['openstack/openstack-ansible' 'openstack/openstack-ansible-os_tempest'],2,1
['openstack/nova'],1,1
['openstack/tripleo-validations'],1,1
['openstack/monasca-agent'],1,1
['openstack/nova-powervm'],1,1
['openstack/releases'],1,1
['openstack/kolla'],1,1
['openstack/barbican'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/openstack-ansible'],1,1
['openstack/networking-ovn'],1,1
['openstack/ironic'],1,1
['openstack/ironic-python-agent'],1,1
['openstack/tripleo-common'],1,1
['openstack/neutron-lbaas'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/oslo.db'],1,1
['openstack/fuel-library'],1,1
['openstack/openstack-ansible-pip_install'],1,1
['openstack/freezer'],1,1
['openstack/openstack-ansible'],1,1
['openstack/tempest'],1,1
['openstack/nova'],1,1
['openstack/openstack-ansible-repo_server'],1,1
['openstack/fuel-qa'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/murano-deployment'],1,1
['openstack/kolla'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/ironic-inspector'],1,1
['openstack/puppet-oslo'],1,1
['openstack/fuel-ui'],1,1
['openstack/nova'],1,1
['openstack/tripleo-ansible'],1,1
['openstack/kolla'],1,1
['openstack/fuel-ui'],1,1
['openstack/cinder'],1,1
['openstack/ceilometer'],1,1
['openstack/openstack-ansible-os_nova'],1,1
['openstack/oslo.policy'],1,1
['openstack/neutron'],1,1
['openstack/watcher'],1,1
['openstack/tripleo-validations'],1,1
['openstack/openstack-manuals'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/neutron'],1,1
['openstack/openstack-ansible-os_ironic'],1,1
['openstack/fuel-qa'],1,1
['openstack/charm-glance-simplestreams-sync'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/openstack-ansible'],1,1
['openstack/nova'],1,1
['openstack/designate'],1,1
['openstack/openstack-ansible-openstack_openrc'],1,1
['openstack/fuel-library'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/heat'],1,1
['openstack/charm-heat'],1,1
['openstack/openstack-ansible-lxc_container_create'],1,1
['openstack/nova'],1,1
['openstack/ceilometer'],1,1
['openstack/fuel-web'],1,1
['openstack/nova'],1,1
['openstack/fuel-web'],1,1
['openstack/neutron'],1,1
['openstack/openstack-ansible-os_nova'],1,1
['openstack/swift'],1,1
['openstack/openstack-manuals'],1,1
['openstack/openstack-ansible'],1,1
['openstack/blazar-nova'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/trove' 'openstack/devstack'],2,2
['openstack/fuel-web'],1,1
['openstack/kuryr-kubernetes'],1,1
['openstack/fuel-octane'],1,1
['openstack/vitrage'],1,1
['openstack/tripleo-common'],1,1
['openstack/heat'],1,1
['openstack/fuel-library'],1,1
['openstack/kolla-ansible'],1,1
['openstack/heat'],1,1
['openstack/kolla'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/nova'],1,1
['openstack/openstack-manuals'],1,1
['openstack/fuel-library'],1,1
['openstack/ceilometer'],1,1
['openstack/nova'],1,1
['openstack/kolla'],1,1
['openstack/panko'],1,1
['openstack/ec2-api'],1,1
['openstack/tripleo-common'],1,1
['openstack/openstack-manuals'],1,1
['openstack/openstack-manuals'],1,1
['openstack/puppet-openstack-integration'],1,1
['openstack/python-openstackclient'],1,1
['openstack/puppet-neutron'],1,1
['openstack/tripleo-validations'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/kuryr-kubernetes'],1,1
['openstack/murano'],1,1
['openstack/fuel-library'],1,1
['openstack/horizon'],1,1
['openstack/tripleo-ansible'],1,1
['openstack/swift'],1,1
['openstack/compute-hyperv' 'openstack/nova'],2,2
['openstack/keystone'],1,1
['openstack/tacker'],1,1
['openstack/ansible-role-python_venv_build'],1,1
['openstack/fuel-web'],1,1
['openstack/networking-bagpipe'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/cinder'],1,1
['openstack/python-zaqarclient'],1,1
['openstack/openstack-ansible-os_horizon'],1,1
['openstack/kuryr-kubernetes'],1,1
['openstack/tripleo-common'],1,1
['openstack/puppet-keystone'],1,1
['openstack/openstacksdk'],1,1
['openstack/puppet-swift'],1,1
['openstack/puppet-heat'],1,1
['openstack/charm-keystone'],1,1
['openstack/murano'],1,1
['openstack/nova'],1,1
['openstack/sahara'],1,1
['openstack/os-vif'],1,1
['openstack/tripleo-common'],1,1
['openstack/puppet-aodh'],1,1
['openstack/kolla-ansible'],1,1
['openstack/horizon'],1,1
['openstack/cinder'],1,1
['openstack/fuel-virtualbox'],1,1
['openstack/neutron'],1,1
['openstack/openstack-ansible-os_nova'],1,1
['openstack/heat'],1,1
['openstack/murano'],1,1
['openstack/octavia'],1,1
['openstack/fuel-ui'],1,1
['openstack/requirements'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/fuel-main'],1,1
['openstack/neutron'],1,1
['openstack/openstack-ansible'],1,1
['openstack/bifrost'],1,1
['openstack/openstack-ansible'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/openstack-ansible-pip_install'],1,1
['openstack/kolla'],1,1
['openstack/openstack-ansible'],1,1
['openstack/fuel-nailgun-extension-cluster-upgrade'],1,1
['openstack/tripleo-validations'],1,1
['openstack/heat'],1,1
['openstack/neutron'],1,1
['openstack/sahara'],1,1
['openstack/glance'],1,1
['openstack/nova'],1,1
['openstack/openstack-manuals'],1,1
['openstack/horizon'],1,1
['openstack/neutron' 'openstack/networking-ovn'],2,1
['openstack/charm-octavia'],1,1
['openstack/kolla-ansible'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/charm-nova-cloud-controller'],1,1
['openstack/kayobe'],1,1
['openstack/fuel-qa'],1,1
['openstack/openstack-ansible-pip_install'],1,1
['openstack/openstack-ansible-os_ceilometer'],1,1
['openstack/fuel-library'],1,1
['openstack/puppet-neutron'],1,1
['openstack/cinder'],1,1
['openstack/keystone'],1,1
['openstack/openstack-manuals'],1,1
['openstack/oslo-incubator'],1,1
['openstack/neutron'],1,1
['openstack/charm-gnocchi' 'openstack/charm-hacluster'],2,1
['openstack/fuel-menu'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/keystone' 'openstack/python-keystoneclient'],2,1
['openstack/python-tripleoclient'],1,1
['openstack/manila'],1,1
['openstack/neutron'],1,1
['openstack/murano-apps'],1,1
['openstack/puppet-ceilometer'],1,1
['openstack/zun'],1,1
['openstack/openstack-ansible-openstack_hosts'],1,1
['openstack/openstack-ansible-galera_server'],1,1
['openstack/rally-openstack' 'openstack/rally'],2,1
['openstack/devstack'],1,1
['openstack/openstack-ansible'],1,1
['openstack/neutron-fwaas'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/charm-manila'],1,1
['openstack/blazar'],1,1
['openstack/openstack-ansible-os_tempest'],1,1
['openstack/neutron'],1,1
['openstack/python-karborclient'],1,1
['openstack/ironic-ui'],1,1
['openstack/openstack-ansible-os_tacker'],1,1
['openstack/python-mistralclient'],1,1
['openstack/openstack-ansible-os_cinder'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/nova'],1,1
['openstack/glance_store'],1,1
['openstack/openstack-ansible-os_keystone'],1,1
['openstack/neutron'],1,1
['openstack/manila'],1,1
['openstack/kolla-ansible'],1,1
['openstack/neutron'],1,1
['openstack/nova'],1,1
['openstack/neutron'],1,1
['openstack/puppet-cinder'],1,1
['openstack/monasca-ceilometer'],1,1
['openstack/octavia'],1,1
['openstack/tripleo-validations'],1,1
['openstack/nova'],1,1
['openstack/kayobe'],1,1
['openstack/ironic'],1,1
['openstack/glance'],1,1
['openstack/ironic'],1,1
['openstack/fuel-docs'],1,1
['openstack/tacker'],1,1
['openstack/openstack-manuals'],1,1
['openstack/openstack-manuals'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/swift'],1,1
['openstack/cinder'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/python-neutronclient'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/nova'],1,1
['openstack/horizon'],1,1
['openstack/networking-odl'],1,1
['openstack/nova'],1,1
['openstack/keystone'],1,1
['openstack/monasca-log-api'],1,1
['openstack/requirements'],1,1
['openstack/openstack-ansible'],1,1
['openstack/nova'],1,1
['openstack/kolla'],1,1
['openstack/requirements'],1,1
['openstack/keystone'],1,1
['openstack/devstack'],1,1
['openstack/fuel-main'],1,1
['openstack/os-net-config'],1,1
['openstack/neutron'],1,1
['openstack/nova'],1,1
['openstack/heat'],1,1
['openstack/fuel-library'],1,1
['openstack/kolla-ansible'],1,1
['openstack/puppet-neutron'],1,1
['openstack/puppet-keystone'],1,1
['openstack/openstack-ansible-lxc_hosts'],1,1
['openstack/neutron'],1,1
['openstack/tripleo-validations'],1,1
['openstack/vitrage-dashboard'],1,1
['openstack/fuel-ostf'],1,1
['openstack/python-openstackclient'],1,1
['openstack/puppet-trove'],1,1
['openstack/tripleo-validations'],1,1
['openstack/openstack-ansible-repo_server'],1,1
['openstack/openstack-ansible-openstack_hosts'],1,1
['openstack/nova'],1,1
['openstack/designate'],1,1
['openstack/puppet-neutron'],1,1
['openstack/ironic'],1,1
['openstack/manila'],1,1
['openstack/ironic-inspector'],1,1
['openstack/python-keystoneclient' 'openstack-attic/identity-api'],2,2
['openstack/horizon'],1,1
['openstack/fuel-agent' 'openstack/fuel-web'],2,1
['openstack/fuel-agent'],1,1
['openstack/fuel-qa'],1,1
['openstack/nova'],1,1
['openstack/manila'],1,1
['openstack/kolla-ansible'],1,1
['openstack/octavia'],1,1
['openstack/openstack-manuals'],1,1
"['openstack/heat' 'openstack/cinder' 'openstack/ceilometer'
 'openstack/neutron' 'openstack/nova']",5,5
['openstack/neutron'],1,1
['openstack/openstack-ansible'],1,1
['openstack/releases' 'openstack/release-tools'],2,2
['openstack/tripleo-ansible'],1,1
['openstack/sahara'],1,1
['openstack/astara'],1,1
['openstack/fuel-qa'],1,1
['openstack/fuel-docs'],1,1
['openstack/ironic'],1,1
['openstack/heat'],1,1
['openstack/neutron'],1,1
['openstack/openstack-ansible'],1,1
['openstack/keystone'],1,1
['openstack/fuel-web'],1,1
['openstack/placement' 'openstack/nova'],2,2
['openstack/os-vif'],1,1
['openstack/fuel-ui'],1,1
"['openstack/ironic' 'openstack/nova' 'openstack/heat' 'openstack/cinder'
 'openstack/neutron']",5,5
['openstack/python-openstackclient'],1,1
['openstack/puppet-ceilometer'],1,1
['openstack/zun-ui'],1,1
['openstack/networking-ovn'],1,1
['openstack/nova' 'openstack/compute-hyperv'],2,2
['openstack/fuel-web'],1,1
['openstack/fuel-qa'],1,1
['openstack/nova'],1,1
['openstack/cinder-specs' 'openstack/cinder'],2,1
['openstack/kolla-ansible'],1,1
['openstack/keystone'],1,1
['openstack/openstack-ansible'],1,1
['openstack/fuel-qa'],1,1
['openstack/ceilometer'],1,1
['openstack/nova'],1,1
['openstack/openstack-ansible-tests'],1,1
['openstack/oslo.log'],1,1
['openstack/devstack'],1,1
['openstack/openstack-ansible-os_gnocchi'],1,1
['openstack/neutron'],1,1
['openstack/cinder'],1,1
['openstack/nova'],1,1
['openstack/puppet-openstack-integration'],1,1
['openstack/puppet-cinder'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/neutron'],1,1
['openstack/barbican'],1,1
['openstack/openstack-ansible-repo_build'],1,1
['openstack/congress'],1,1
['openstack/openstack-ansible'],1,1
['openstack/fuel-docs'],1,1
['openstack/neutron'],1,1
['openstack/networking-ovn' 'openstack/ovn-octavia-provider'],2,1
['openstack/castellan'],1,1
['openstack/nova'],1,1
['openstack/kolla'],1,1
['openstack/neutron'],1,1
['openstack/murano-dashboard'],1,1
['openstack/nova'],1,1
['openstack/cinder'],1,1
['openstack/murano'],1,1
['openstack/neutron'],1,1
['openstack/python-glanceclient'],1,1
['openstack/puppet-keystone'],1,1
['openstack/kolla-ansible'],1,1
['openstack/python-muranoclient'],1,1
['openstack/watcher'],1,1
['openstack/neutron'],1,1
['openstack/neutron-dynamic-routing'],1,1
['openstack/freezer'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/ironic'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/gnocchi'],1,1
['openstack/heat'],1,1
['openstack/neutron'],1,1
['openstack/keystone'],1,1
['openstack/keystone'],1,1
['openstack/openstack-ansible'],1,1
['openstack/magnum'],1,1
['openstack/tripleo-validations'],1,1
['openstack/kolla-ansible'],1,1
['openstack/networking-generic-switch'],1,1
['openstack/tripleo-upgrade'],1,1
['openstack/puppet-glance'],1,1
"['openstack/neutron' 'openstack/heat' 'openstack/nova' 'openstack/glance'
 'openstack/trove' 'openstack/horizon' 'openstack/keystone'
 'openstack/ceilometer' 'openstack/cinder']",9,9
['openstack/puppet-sahara'],1,1
['openstack/cookbook-openstack-dashboard'],1,1
['openstack/kolla'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/fuel-qa'],1,1
['openstack/neutron'],1,1
['openstack/os-brick'],1,1
['openstack/octavia'],1,1
['openstack/ironic' 'openstack/ceilometer'],2,2
['openstack/networking-midonet'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/octavia'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/openstack-manuals'],1,1
['openstack/nova'],1,1
['openstack/neutron'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/octavia'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/neutron'],1,1
['openstack/puppet-neutron'],1,1
['openstack/cinder'],1,1
['openstack/keystone'],1,1
['openstack/neutron'],1,1
['openstack/puppet-tripleo'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/openstack-ansible-memcached_server'],1,1
['openstack/neutron-lbaas'],1,1
['openstack/nova'],1,1
['openstack/fuel-library'],1,1
['openstack/swift'],1,1
['openstack/puppet-heat'],1,1
['openstack/openstack-ansible-pip_install'],1,1
['openstack/nova'],1,1
['openstack/fuel-library'],1,1
['openstack/heat'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/neutron'],1,1
['openstack/python-tripleoclient'],1,1
['openstack/fuel-library'],1,1
['openstack/mistral'],1,1
['openstack/keystone'],1,1
['openstack/cloudkitty-dashboard'],1,1
['openstack/openstack-ansible-os_neutron'],1,1
['openstack/heat'],1,1
['openstack/openstack-manuals'],1,1
['openstack/nova'],1,1
['openstack/heat'],1,1
['openstack/devstack'],1,1
['openstack/monasca-api'],1,1
['openstack/fuel-docs'],1,1
['openstack/openstack-ansible'],1,1
['openstack/puppet-keystone'],1,1
['openstack/puppet-swift'],1,1
['openstack/fuel-library'],1,1
['openstack/keystone'],1,1
['openstack/networking-odl'],1,1
['openstack/puppet-oslo'],1,1
['openstack/fuel-web'],1,1
['openstack/openstack-ansible-security'],1,1
['openstack/octavia'],1,1
['openstack/tripleo-common'],1,1
['openstack/neutron'],1,1
['openstack/charm-nova-compute'],1,1
['openstack/ironic'],1,1
['openstack/kolla-ansible'],1,1
['openstack/openstack-ansible-os_tempest'],1,1
['openstack/shade'],1,1
"['openstack/charm-ceilometer' 'openstack/charm-ceilometer-agent'
 'openstack/charm-aodh' 'openstack/charm-barbican'
 'openstack/charm-barbican-vault']",5,3
['openstack/python-searchlightclient'],1,1
['openstack/murano'],1,1
['openstack/kolla-ansible'],1,1
['openstack/python-openstackclient'],1,1
['openstack/horizon'],1,1
['openstack/nova'],1,1
['openstack/monasca-ui'],1,1
['openstack/cinder'],1,1
['openstack/operations-guide' 'openstack/nova'],2,2
['openstack/openstack-ansible-os_keystone'],1,1
['openstack/sahara'],1,1
['openstack/kolla'],1,1
['openstack/fuel-docs'],1,1
['openstack/swift'],1,1
['openstack/horizon'],1,1
['openstack/openstack-ansible-os_horizon'],1,1
['openstack/manila'],1,1
['openstack/kolla'],1,1
['openstack/puppet-ceilometer'],1,1
['openstack/sahara'],1,1
['openstack/fuel-qa'],1,1
['openstack/tripleo-validations'],1,1
['openstack/magnum'],1,1
['openstack/nova'],1,1
['openstack/fuel-web'],1,1
['openstack/fuel-main'],1,1
['openstack/neutron'],1,1
['openstack/kolla-ansible'],1,1
['openstack/instack-undercloud'],1,1
['openstack/fuel-docs'],1,1
['openstack/cookbook-openstack-identity'],1,1
['openstack/puppet-openstack-integration'],1,1
['openstack/networking-odl'],1,1
['openstack/charm-aodh'],1,1
['openstack/fuel-qa'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/kolla-ansible'],1,1
['openstack/tripleo-heat-templates'],1,1
['openstack/openstack-ansible-os_neutron'],1,1
['openstack/neutron'],1,1
['openstack/python-mistralclient'],1,1
['openstack/neutron-lbaas'],1,1
['openstack/openstack-ansible-rabbitmq_server'],1,1
