Source,Target,Source_repo,Target_repo,when_identified,is_cross,is_cross_service,is_source_bot,is_target_bot,Source_service,Target_service,same_dev,worked_revisions
165411,164674,openstack/ec2-api,openstack/ec2-api,48.83,False,False,0,0,ecapi,ecapi,False,2
165438,165442,openstack/governance,openstack/project-config,2.16,True,False,0,0,technicalcommittee,,True,2
165608,165411,openstack/nova,openstack/ec2-api,7.8,True,True,0,0,nova,ecapi,False,8
165675,165548,openstack/devstack,openstack/tempest,7.66,True,True,0,0,qualityassurance,tempest,True,4
165949,165946,openstack/fuel-web,openstack/fuel-astute,0.11,True,False,0,0,,,True,4
166414,285810,openstack/glance_store,openstack/glance,216.41,True,False,0,0,glance,glance,True,6
166414,285813,openstack/glance_store,openstack/openstack-manuals,41.97,True,False,0,0,glance,,True,3
166723,165433,openstack/governance,openstack/project-config,113.45,True,False,0,0,technicalcommittee,,True,7
166875,166898,openstack/fuel-library,openstack/fuel-web,497.64,True,False,0,0,,,True,15
166883,166918,openstack/tempest,openstack/tempest-lib,69.09,True,False,0,0,tempest,tempest,True,6
166979,166985,openstack/api-site,openstack/nova,172.38,True,False,0,0,,nova,True,7
167041,168123,openstack/neutron,openstack/neutron-fwaas,0.56,True,False,0,0,neutron,neutron,True,3
167047,167412,openstack/trove,openstack/devstack-gate,301.21,True,False,0,0,trove,,True,6
167143,167158,openstack/devstack-gate,openstack/project-config,206.78,True,False,0,0,,,True,3
167213,167730,openstack/project-config,openstack/governance,161.89,True,False,0,0,,technicalcommittee,True,2
167244,167243,openstack/governance,openstack/project-config,0.0,True,False,0,0,technicalcommittee,,True,8
167412,167447,openstack/devstack-gate,openstack/devstack,1215.36,True,False,0,0,,qualityassurance,True,7
167447,168145,openstack/devstack,openstack/project-config,1537.72,True,False,0,0,qualityassurance,,True,2
167612,167607,openstack/governance,openstack/project-config,0.07,True,False,0,0,technicalcommittee,,True,4
167642,169426,openstack/python-saharaclient,openstack/project-config,68.8,True,False,0,0,sahara,,True,2
167712,164335,openstack/barbican,openstack/barbican,285.29,False,False,0,0,barbican,barbican,True,14
167765,159685,openstack/oslo.utils,openstack/nova,642.55,True,True,0,0,oslo,nova,False,9
167800,166327,openstack/devstack,openstack/tempest,123.76,True,True,0,0,qualityassurance,tempest,False,12
167861,166327,openstack/devstack,openstack/tempest,128.54,True,True,0,0,qualityassurance,tempest,False,12
167862,166327,openstack/devstack,openstack/tempest,128.56,True,True,0,0,qualityassurance,tempest,False,12
167885,217330,openstack/barbican,openstack/project-config,148.25,True,False,0,0,barbican,,True,11
167910,175399,openstack/neutron,openstack/neutron,1079.63,False,False,0,0,neutron,neutron,False,24
167934,196840,openstack/project-config,openstack/governance,11.84,True,False,0,0,,technicalcommittee,False,2
168022,168289,openstack/project-config,openstack/faafo,0.03,True,False,0,0,,,True,3
168117,167631,openstack/governance,openstack/project-config,28.29,True,False,0,0,technicalcommittee,,True,3
168145,168146,openstack/project-config,openstack/devstack-gate,2785.72,True,False,0,0,,,True,2
168175,165496,openstack/devstack,openstack/ironic,197.81,True,True,0,0,qualityassurance,ironic,False,7
168187,144248,openstack/requirements,openstack/keystonemiddleware,2108.37,True,True,0,0,requirements,keystone,True,12
168187,165755,openstack/requirements,openstack/python-openstackclient,182.48,True,True,0,0,requirements,openstacksdk,False,11
168217,168780,openstack/devstack,openstack/project-config,0.0,True,False,0,0,qualityassurance,,True,1
168229,160856,openstack/tempest,openstack/devstack,566.17,True,True,0,0,tempest,qualityassurance,False,7
168407,168408,openstack/devstack,openstack/devstack-gate,174.34,True,False,0,0,qualityassurance,,True,6
168408,170934,openstack/devstack-gate,openstack/devstack,0.0,True,False,0,0,,qualityassurance,False,1
168609,168591,openstack/devstack,openstack/devstack,3.22,False,False,0,0,qualityassurance,qualityassurance,True,3
168673,168672,openstack/python-swiftclient,openstack/shade,0.01,True,True,0,0,swift,openstacksdk,True,4
168701,160856,openstack/nova,openstack/devstack,622.46,True,True,0,0,nova,qualityassurance,False,7
169065,174988,openstack/cue,openstack/python-cueclient,34.1,True,False,0,0,,,True,2
169132,169133,openstack/requirements,openstack/horizon,9.05,True,True,0,0,requirements,horizon,True,2
169214,168044,openstack/puppet-tripleo,openstack/tripleo-heat-templates,112.67,True,False,0,0,tripleo,tripleo,True,5
169426,169427,openstack/project-config,openstack/tempest,0.07,True,False,0,0,,tempest,True,2
169529,164034,openstack/trove,openstack/trove,453.72,False,False,0,0,trove,trove,True,19
169836,185849,openstack/nova-specs,openstack/python-novaclient,1738.25,True,False,0,0,nova,nova,False,7
170031,215480,openstack/nova,openstack/tempest,100.08,True,True,0,0,nova,tempest,True,4
170225,175328,openstack/governance,openstack/project-config,1282.78,True,False,0,0,technicalcommittee,,False,20
170243,199175,openstack/nova,openstack/ec2-api,45.76,True,True,0,0,nova,ecapi,True,9
170268,170272,openstack/requirements,openstack/tempest-lib,1342.28,True,True,0,0,requirements,tempest,True,6
170407,170518,openstack/puppet-nova,openstack/tripleo-heat-templates,141.09,True,True,0,0,puppetopenstack,tripleo,False,5
170467,159685,openstack/oslo.utils,openstack/nova,851.0,True,True,0,0,oslo,nova,False,9
170604,170608,openstack/project-config,openstack/devstack-gate,505.61,True,False,0,0,,,True,3
170642,169529,openstack/trove,openstack/trove,78.51,False,False,0,0,trove,trove,True,22
170689,171229,openstack/cinder,openstack/cinder,42.22,False,False,0,0,cinder,cinder,False,2
170830,182337,openstack/requirements,openstack/project-config,0.64,True,False,0,0,requirements,,True,2
170842,171058,openstack/neutron,openstack/networking-ovn,221.72,True,False,0,0,neutron,neutron,True,14
170903,170913,openstack/tempest,openstack/project-config,0.36,True,False,0,0,tempest,,True,2
171069,172059,openstack/tempest,openstack/ec2-api,308.81,True,True,0,0,tempest,ecapi,False,4
171121,167538,openstack/puppet-tripleo,openstack/tripleo-heat-templates,312.79,True,False,0,0,tripleo,tripleo,True,10
171222,172059,openstack/tempest,openstack/ec2-api,308.81,True,True,0,0,tempest,ecapi,True,4
171911,171865,openstack/nova,openstack/devstack,3.42,True,True,0,0,nova,qualityassurance,True,5
171995,203524,openstack/governance,openstack/project-config,1283.92,True,False,0,0,technicalcommittee,,False,15
172032,176292,openstack/tripleo-heat-templates,openstack/tripleo-ci,360.2,True,False,0,0,tripleo,tripleo,True,4
172112,176326,openstack/governance,openstack/project-config,1230.46,True,False,0,0,technicalcommittee,,True,23
172396,172915,openstack/fuel-web,openstack/python-fuelclient,0.0,True,False,0,0,,,True,1
172442,174450,openstack/fuel-main,openstack/fuel-web,95.96,True,False,0,0,,,False,3
172461,172517,openstack/python-ironicclient,openstack/python-ironicclient,10388.99,False,False,0,0,ironic,ironic,True,49
172565,172572,openstack/tripleo-puppet-elements,openstack/tripleo-heat-templates,85.83,True,False,0,0,tripleo,tripleo,True,3
172597,176292,openstack/tripleo-heat-templates,openstack/tripleo-ci,360.2,True,False,0,0,tripleo,tripleo,True,4
172633,172169,openstack/devstack,openstack/grenade,40.16,True,False,0,0,qualityassurance,qualityassurance,True,13
172748,172749,openstack/governance,openstack/project-config,0.26,True,False,0,0,technicalcommittee,,True,4
172802,172803,openstack/governance,openstack/project-config,500.38,True,False,0,0,technicalcommittee,,True,6
173747,173773,openstack/puppet-tripleo,openstack/tripleo-heat-templates,289.45,True,False,0,0,tripleo,tripleo,True,8
174295,166192,openstack/ironic-specs,openstack/ironic,646.45,True,False,0,0,ironic,ironic,True,30
174383,174486,openstack/requirements,openstack/oslo.concurrency,0.0,True,True,0,0,requirements,oslo,True,1
174383,174488,openstack/requirements,openstack/cliff,0.0,True,True,0,0,requirements,openstacksdk,True,1
174383,174491,openstack/requirements,openstack/debtcollector,0.0,True,True,0,0,requirements,oslo,True,1
174383,174492,openstack/requirements,openstack/django_openstack_auth,0.0,True,True,0,0,requirements,horizon,True,1
174383,174493,openstack/requirements,openstack/keystonemiddleware,0.0,True,True,0,0,requirements,keystone,True,1
174383,174494,openstack/requirements,openstack/oslo.config,0.0,True,True,0,0,requirements,oslo,True,1
174383,174502,openstack/requirements,openstack/oslo.context,0.0,True,True,0,0,requirements,oslo,True,1
174383,174504,openstack/requirements,openstack/oslo.db,0.0,True,True,0,0,requirements,oslo,True,1
174383,174509,openstack/requirements,openstack/oslo.i18n,0.0,True,True,0,0,requirements,oslo,True,1
174383,174510,openstack/requirements,openstack/oslo.log,0.0,True,True,0,0,requirements,oslo,True,1
174383,174512,openstack/requirements,openstack/oslo.messaging,0.0,True,True,0,0,requirements,oslo,True,1
174383,174513,openstack/requirements,openstack/oslo.middleware,0.0,True,True,0,0,requirements,oslo,True,1
174383,174515,openstack/requirements,openstack/oslo.policy,0.0,True,True,0,0,requirements,oslo,True,1
174383,174516,openstack/requirements,openstack/oslo.rootwrap,0.0,True,True,0,0,requirements,oslo,True,1
174383,174518,openstack/requirements,openstack/oslo.serialization,0.0,True,True,0,0,requirements,oslo,True,1
174383,174520,openstack/requirements,openstack/oslotest,0.0,True,True,0,0,requirements,oslo,True,1
174383,174521,openstack/requirements,openstack/oslo.utils,0.0,True,True,0,0,requirements,oslo,True,1
174383,174522,openstack/requirements,openstack/oslo.versionedobjects,0.0,True,True,0,0,requirements,oslo,True,1
174383,174523,openstack/requirements,openstack/oslo.vmware,0.0,True,True,0,0,requirements,oslo,True,1
174383,174525,openstack/requirements,openstack/pycadf,0.0,True,True,0,0,requirements,keystone,True,1
174383,174527,openstack/requirements,openstack/python-barbicanclient,0.0,True,True,0,0,requirements,barbican,True,1
174383,174528,openstack/requirements,openstack/python-ceilometerclient,0.0,True,True,0,0,requirements,telemetry,True,1
174383,174529,openstack/requirements,openstack/python-cinderclient,0.0,True,True,0,0,requirements,cinder,True,1
174383,174530,openstack/requirements,openstack/python-designateclient,0.0,True,True,0,0,requirements,designate,True,1
174383,174531,openstack/requirements,openstack/python-glanceclient,0.0,True,True,0,0,requirements,glance,True,1
174383,174532,openstack/requirements,openstack/python-heatclient,0.0,True,True,0,0,requirements,heat,True,1
174383,174533,openstack/requirements,openstack/python-ironicclient,0.0,True,True,0,0,requirements,ironic,True,1
