Path,length,all_abandoned,is_cross,lag,is_cross_service,Path_merged,length_merged
"[809472, 784449, 840736, 848720, 864031]",5,False,Cross,11042.39,Same,"[848720, 840736, 784449, 809472]",4
"[855978, 855982]",2,False,Cross,0.99,Same,"[855982, 855978]",2
"[843776, 855557, 855563, 845197, 852878, 845199, 852879, 854807, 855454, 855455, 855458, 855459, 855460, 855461, 855462, 799651, 852644, 799654, 855466, 855463, 855465, 855464, 855337, 853291, 855344, 804400, 861620, 863797, 863796, 855349, 804408, 804291, 853829, 800198, 800717, 829390, 845275, 843356, 855260, 848482, 833122, 855524, 855140, 855270, 855141, 855526, 855525, 853668, 855146, 860656, 797809, 852850, 804209, 843764, 861051, 855550, 855551]",57,False,Cross,11758.06,Cross,"[863797, 863796, 843356, 861620, 861051, 860656, 855563, 855455, 855454, 855349, 855344, 855146, 845197, 854807, 853829, 845199, 848482, 853291, 843764, 845275, 833122, 829390, 804291, 800717, 804408, 804400, 804209, 800198, 799654]",29
"[859777, 829870, 859794, 859795, 863284, 863285, 863798, 863287, 863286, 863288, 837053]",11,False,Cross,6312.56,Cross,"[863798, 863284, 837053, 859794, 859777, 829870]",6
"[864042, 864043, 863029, 855711]",4,False,Cross,1612.14,Cross,"[864043, 864042, 855711, 863029]",4
"[863584, 863585]",2,False,Cross,0.14,Cross,"[863585, 863584]",2
"[793089, 793058, 793091, 793763, 793157, 792904, 793098, 796235, 794737, 793145]",10,False,Cross,478.43,Same,"[796235, 794737, 792904, 793145, 793098, 793157]",6
"[861390, 860863]",2,False,Cross,91.94,Cross,"[860863, 861390]",2
"[863289, 858930, 858931, 863330]",4,False,Same,984.7,Same,"[863289, 858930]",2
"[862346, 862347, 861940, 862132]",4,False,Same,29.83,Same,"[862346, 861940]",2
"[861858, 768161, 768162, 756686]",4,False,Cross,17781.25,Same,"[861858, 768161, 756686]",3
"[863076, 863077, 863079, 863085, 863086, 861886]",6,False,Cross,290.29,Cross,"[863077, 863076, 861886]",3
"[860435, 860436, 847197, 858781]",4,False,Same,2517.8,Same,"[860436, 858781, 860435, 847197]",4
"[848789, 862770, 862771, 861748, 843835, 843836, 840509, 840510, 854337, 849602, 848834, 849604, 862160, 846036, 845653, 776674, 848750, 842223, 852720, 842224, 848752, 849405, 850559]",23,False,Cross,14746.23,Same,"[849602, 862771, 862770, 843836, 862160, 840509, 845653, 861748, 843835, 854337, 842223, 776674, 852720, 848752, 848750]",15
"[852688, 852796]",2,False,Cross,22.77,Cross,"[852688, 852796]",2
"[861794, 861730, 861831, 846120, 849225, 846122, 826444, 850350, 861742, 861744, 862104, 861849, 862234, 862173, 862233]",15,False,Cross,6428.63,Cross,"[862104, 862233, 861849, 862173, 861794, 861744, 861730, 861831, 861742, 850350, 849225, 846122, 846120, 826444]",14
"[860229, 860230]",2,False,Cross,0.08,Same,"[860229, 860230]",2
"[854293, 853749]",2,False,Cross,115.74,Cross,"[853749, 854293]",2
"[834220, 859950, 859919]",3,False,Same,7.6,Same,"[859919, 859950]",2
"[859858, 847347]",2,False,Same,2352.63,Same,"[847347, 859858]",2
"[854612, 854557]",2,False,Cross,3.66,Same,"[854557, 854612]",2
"[862220, 862470]",2,False,Cross,75.24,Same,"[862220, 862470]",2
"[858493, 852844, 852845, 852839]",4,False,Cross,1.5,Cross,"[852845, 852839]",2
"[857464, 853733, 859999, 842437]",4,False,Cross,3233.89,Same,"[853733, 842437, 859999]",3
"[862484, 862487]",2,False,Cross,0.23,Cross,"[862487, 862484]",2
"[849024, 849844]",2,False,Cross,140.43,Same,"[849844, 849024]",2
"[861354, 861584, 861589, 861718, 861175, 861758]",6,False,Cross,22.23,Same,"[861354, 861175]",2
"[852068, 828412, 855837]",3,False,Cross,4997.86,Same,"[855837, 828412, 852068]",3
"[862145, 862260]",2,False,Cross,18.54,Cross,"[862260, 862145]",2
"[861885, 860959]",2,False,Cross,190.1,Cross,"[860959, 861885]",2
"[861836, 858548, 861511]",3,False,Cross,695.56,Same,"[861511, 861836, 858548]",3
"[835034, 837795, 835820]",3,False,Same,356.81,Same,"[837795, 835820]",2
"[840144, 855842, 847867]",3,False,Cross,3023.17,Cross,"[855842, 847867, 840144]",3
"[855841, 847865, 839829]",3,False,Cross,3098.3,Cross,"[855841, 847865, 839829]",3
"[854176, 854178]",2,False,Cross,0.09,Same,"[854178, 854176]",2
"[851723, 851724, 851725, 851726, 851727, 851728, 851765, 851766]",8,False,Same,15.12,Same,"[851728, 851727, 851726, 851725, 851724, 851723, 851765]",7
"[859427, 859718, 861094, 859719, 859721, 859725, 859726, 859673, 858205]",9,False,Cross,622.08,Cross,"[859721, 861094, 859726, 859725, 859719, 859718, 859673, 859427, 858205]",9
"[835175, 835176, 664462, 660239, 664473]",5,False,Cross,24942.95,Cross,"[835175, 664473, 660239]",3
"[860803, 860804]",2,False,Cross,0.16,Same,"[860804, 860803]",2
"[765353, 767292, 847005, 847007]",4,False,Cross,13249.84,Same,"[847005, 767292]",2
"[825986, 860195, 860194, 860196, 860432, 860433, 860185, 860186, 860187, 860188, 860189, 860190, 825983]",13,False,Cross,6109.36,Cross,"[860432, 860194, 860187, 860433, 860195, 860185, 860188, 860189, 860186, 860196, 825986, 825983]",12
"[860896, 860897, 860898, 860899, 860900, 860901, 841712, 841489, 860893, 860894, 860895]",11,False,Cross,3617.67,Cross,"[860895, 860898, 860899, 860897, 860896, 860894, 860893, 841712, 841489]",9
"[861592, 861593]",2,False,Cross,0.05,Cross,"[861592, 861593]",2
"[854289, 854059]",2,False,Cross,18.45,Same,"[854059, 854289]",2
"[856840, 856839]",2,False,Cross,0.12,Cross,"[856840, 856839]",2
"[861044, 861046]",2,False,Cross,0.0,Cross,"[861044, 861046]",2
"[848000, 860609, 860610, 841801, 847402, 847999]",6,False,Cross,3505.87,Cross,"[860610, 860609, 848000, 847999, 841801, 847402]",6
"[856178, 850253, 852021]",3,False,Same,1198.28,Same,"[856178, 852021, 850253]",3
"[736096, 736098, 736099, 736100, 736101, 736102, 736103, 735850, 735856, 735828, 735829, 735831]",12,False,Cross,20.21,Cross,"[736100, 735831, 735829, 735828, 736098, 736101, 736102, 736099, 735856, 735850]",10
"[860824, 860815]",2,False,Cross,2.02,Same,"[860824, 860815]",2
"[843730, 854837]",2,False,Cross,2162.85,Same,"[843730, 854837]",2
"[857506, 860276, 860277]",3,False,Cross,500.35,Same,"[857506, 860277, 860276]",3
"[860832, 860097, 860834, 860835, 860836, 860291, 860833, 860093, 860831]",9,False,Same,162.86,Same,"[860835, 860836, 860834, 860833, 860097, 860093, 860291]",7
"[860634, 854334]",2,False,Same,1057.51,Same,"[854334, 860634]",2
"[805010, 805395, 818067, 793618, 841118, 801066, 832811, 832812, 816306, 802486, 802487, 816447, 803905, 794306, 847176, 803914, 817356, 813660, 804203, 839147, 804210, 812662]",22,False,Cross,9357.62,Cross,"[847176, 812662, 839147, 841118, 817356, 818067, 813660, 816447, 816306, 794306, 793618, 801066, 805395, 805010, 803905, 803914, 804210, 802487, 802486]",19
"[856325, 856326]",2,False,Cross,0.06,Cross,"[856326, 856325]",2
"[859337, 859339]",2,False,Cross,0.6,Same,"[859337, 859339]",2
"[803585, 797316, 748296, 767368, 841738, 841739, 841740, 796813, 841741, 818446, 796826, 770844, 753314, 802475, 790447, 770744, 770745, 602432, 820682, 635083, 797142, 864984, 797144, 798055, 797291, 798065, 857204, 828148, 797428, 756478]",30,False,Cross,35035.57,Cross,"[857204, 841739, 841741, 841740, 841738, 602432, 818446, 770844, 803585, 798055, 798065, 797428, 797142, 796826, 770745, 770744, 767368, 756478, 753314]",19
"[847468, 858765, 847470, 847471, 847472, 847469, 847474, 847475, 847476, 847477, 847478, 847480, 847481]",13,False,Cross,2150.34,Cross,"[847480, 858765, 847476, 847481, 847474]",5
"[858761, 805938]",2,False,Cross,9418.23,Same,"[805938, 858761]",2
"[847494, 858919, 850215, 847497, 847498, 847499, 847500, 847495, 847496, 850216, 847504, 847505]",12,False,Cross,2171.64,Cross,"[847499, 850215, 858919, 847500, 847505, 847494, 847504]",7
"[802305, 807429, 807430, 807431, 807432, 807433, 807434, 807435, 807436, 807437, 807438, 807439, 807440, 807441, 807442, 807443, 807444, 807445, 807446, 828055, 807447, 807448, 807450, 807451, 807452, 807453, 807449, 807454, 802251, 860249, 860250, 860251, 860252, 802027]",34,False,Cross,4753.87,Cross,"[828055, 807440, 807434, 807439, 807438, 807430, 807429, 807433, 807441, 807437, 807432, 807444, 807442, 807436, 807431, 807445, 807447, 807451, 807448, 807443, 807452, 807453, 807446, 807450, 807449, 807454, 802251, 802027, 802305]",29
"[859784, 859828]",2,False,Cross,2.45,Same,"[859784, 859828]",2
"[859248, 859249, 856408, 856407]",4,False,Cross,459.59,Same,"[859249, 859248, 856408, 856407]",4
"[858612, 858611, 858284, 858283]",4,False,Cross,43.08,Same,"[858612, 858611, 858284, 858283]",4
