devs_nbr,projects_nbr,dev_status
9432,4,Non core
9439,5,Non core
9444,1,Non core
9446,1,Non core
9448,5,Non core
9449,7,Non core
9450,11,Non core
9452,6,Non core
9453,15,Non core
9454,1,Non core
9459,21,Non core
9461,2,Non core
9475,1,Non core
9479,2,Non core
9480,1,Non core
9483,2,Non core
9485,1,Non core
9488,16,Non core
9492,6,Non core
9493,3,Non core
9498,7,Core
9499,2,Non core
9500,40,Core
9514,2,Non core
9515,11,Non core
9516,2,Non core
9520,2,Non core
9521,5,Non core
9526,7,Non core
9531,16,Core
9532,1,Non core
9533,5,Non core
9535,23,Core
9536,32,Non core
9537,8,Core
9542,76,Core
9545,47,Core
9546,4,Non core
9548,10,Core
9550,9,Non core
9551,9,Non core
9552,4,Non core
9554,1,Non core
9555,14,Non core
9556,2,Non core
9558,2,Non core
9560,17,Non core
9562,22,Core
9563,1,Non core
9565,3,Non core
9569,14,Non core
9572,5,Non core
9576,5,Core
9577,2,Non core
9581,10,Non core
9582,6,Core
9587,1,Non core
9588,3,Non core
9589,2,Non core
9591,4,Core
9592,35,Non core
9596,2,Non core
9601,2,Non core
9605,3,Non core
9608,4,Core
9610,7,Non core
9622,2,Non core
9623,2,Non core
9624,8,Non core
9625,17,Core
9626,4,Non core
9631,13,Non core
9634,1,Non core
9642,9,Non core
9645,8,Non core
9647,2,Non core
9648,2,Core
9649,6,Non core
9656,84,Non core
9657,1,Non core
9658,2,Non core
9659,3,Non core
9662,2,Non core
9664,20,Non core
9671,1,Non core
9680,3,Non core
9683,4,Non core
9684,5,Non core
9689,1,Non core
9698,1,Non core
9701,9,Non core
9705,2,Non core
9708,29,Core
9712,50,Non core
9717,40,Core
9718,2,Non core
9719,1,Non core
9722,3,Non core
9725,18,Non core
9730,6,Non core
9740,5,Non core
9746,4,Non core
9749,5,Non core
9750,4,Non core
9755,2,Non core
9760,2,Non core
9770,4,Non core
9774,1,Non core
9775,6,Non core
9778,1,Non core
9782,6,Non core
9788,12,Core
9796,88,Core
9811,2,Non core
9816,195,Core
9820,10,Core
9847,3,Non core
9853,3,Non core
9854,3,Non core
9856,2,Non core
9878,2,Non core
9894,5,Non core
9895,3,Non core
9907,2,Non core
9910,1,Non core
9911,4,Non core
9914,47,Core
9918,2,Non core
9922,1,Non core
9924,4,Non core
9927,5,Non core
9930,2,Non core
9932,3,Non core
9933,1,Non core
9940,2,Non core
9945,2,Non core
9946,3,Non core
9952,2,Non core
9954,2,Non core
9958,1,Non core
9961,3,Non core
9963,12,Non core
9970,3,Non core
9975,2,Non core
9976,32,Core
9977,10,Non core
9978,8,Non core
9979,6,Non core
9981,10,Non core
9983,7,Non core
9987,2,Non core
9988,3,Non core
9995,7,Non core
10000,2,Non core
10007,2,Non core
10008,4,Non core
10014,3,Non core
10016,3,Non core
10018,5,Non core
10020,4,Non core
10022,13,Core
10034,8,Non core
10035,30,Core
10046,13,Non core
10058,18,Non core
10061,16,Non core
10063,18,Core
10070,1,Non core
10071,2,Non core
10073,2,Non core
10086,23,Non core
10088,3,Non core
10089,2,Non core
10090,2,Non core
10094,1,Non core
10105,4,Non core
10106,2,Non core
10108,1,Non core
10110,12,Non core
10112,11,Non core
10114,1,Non core
10115,12,Non core
10126,1,Non core
10127,5,Non core
10134,5,Core
10135,55,Core
10136,8,Core
10139,1,Non core
10140,2,Non core
10145,2,Non core
10151,1,Non core
10155,2,Non core
10156,2,Non core
10161,2,Non core
10163,2,Non core
10165,2,Non core
10179,2,Non core
10181,2,Non core
10185,1,Non core
10200,3,Non core
10203,1,Non core
10206,24,Core
10207,2,Non core
10210,3,Non core
10212,2,Non core
10213,3,Non core
10215,12,Non core
10217,1,Non core
10221,5,Non core
10224,8,Core
10234,26,Core
10237,20,Core
10239,79,Core
10241,3,Non core
10244,1,Non core
10245,2,Non core
10247,5,Non core
10250,13,Core
10256,2,Non core
10257,13,Non core
10263,11,Non core
10266,4,Non core
10267,14,Non core
10269,3,Non core
10271,3,Non core
10273,33,Core
10277,4,Non core
10279,3,Non core
10281,11,Non core
10283,1,Non core
10288,20,Non core
10290,4,Non core
10295,7,Non core
10298,6,Core
10300,6,Non core
10301,2,Non core
10303,2,Non core
10304,1,Non core
10310,2,Non core
10311,14,Core
10327,5,Non core
10335,4,Non core
10338,7,Non core
10342,28,Core
10343,38,Non core
10345,3,Non core
10347,5,Non core
10348,5,Core
10351,1,Non core
10352,1,Non core
10353,13,Non core
10356,1,Non core
10358,1,Non core
10359,2,Non core
10366,38,Non core
10369,11,Non core
10370,5,Non core
10371,4,Non core
10373,4,Non core
10374,5,Non core
10375,3,Non core
10378,3,Non core
10379,10,Non core
10380,8,Non core
10383,5,Non core
10384,17,Core
10388,2,Non core
10391,17,Core
10392,12,Non core
10393,2,Non core
10395,1,Non core
10413,3,Non core
10419,13,Core
10420,16,Core
10421,1,Non core
10424,2,Non core
10425,1,Non core
10428,2,Non core
10433,1,Non core
10438,3,Non core
10439,10,Non core
10440,4,Non core
10442,2,Non core
10443,9,Core
10453,11,Non core
10459,93,Core
10474,5,Core
10475,9,Core
10476,1,Non core
10477,8,Non core
10479,2,Non core
10483,1,Non core
10485,17,Non core
10486,3,Non core
10487,15,Non core
10488,14,Non core
10489,6,Non core
10492,2,Non core
10497,43,Non core
10507,7,Non core
10511,2,Non core
10513,7,Non core
10515,11,Non core
10517,3,Non core
10518,2,Non core
10521,2,Non core
10526,4,Non core
10536,5,Non core
10540,24,Non core
10547,4,Non core
10555,1,Non core
10556,8,Non core
10558,6,Non core
10559,9,Non core
10570,1,Non core
10574,8,Non core
10578,1,Non core
10579,3,Non core
10583,8,Non core
10584,10,Core
10586,2,Non core
10594,4,Non core
10605,3,Non core
10607,46,Core
10608,26,Core
10618,7,Non core
10619,1,Non core
10626,2,Non core
10628,6,Non core
10634,2,Non core
10635,5,Non core
10644,5,Core
10652,5,Non core
10655,1,Non core
10657,4,Non core
10662,2,Non core
10663,2,Non core
10665,4,Non core
10667,2,Non core
10669,2,Non core
10670,19,Core
10672,4,Non core
10674,6,Non core
10675,1,Non core
10676,2,Non core
10677,2,Non core
10683,3,Non core
10697,11,Non core
10705,12,Non core
10725,8,Non core
10731,1,Non core
10732,2,Non core
10735,2,Non core
10744,1,Non core
10750,3,Non core
10752,2,Non core
10753,3,Non core
10760,1,Non core
10765,3,Non core
10770,2,Non core
10773,1,Non core
10777,2,Non core
10780,4,Non core
10781,7,Non core
10786,2,Non core
10787,13,Non core
10789,2,Non core
10791,8,Non core
10795,8,Non core
10796,9,Non core
10797,3,Non core
10806,6,Non core
10812,1,Non core
10814,2,Non core
10816,3,Non core
10818,2,Non core
10827,2,Non core
10829,1,Non core
10836,5,Non core
10839,1,Non core
10847,1,Non core
10848,1,Non core
10850,16,Core
10851,1,Non core
10856,3,Core
10857,3,Non core
10864,1,Non core
10870,1,Non core
10873,84,Non core
10880,4,Non core
10881,7,Core
10896,1,Non core
10897,9,Non core
10910,18,Core
10917,3,Non core
10928,1,Non core
10945,1,Non core
10956,1,Non core
10959,14,Core
10962,2,Non core
10966,1,Non core
10967,2,Non core
10969,46,Core
10971,2,Non core
10973,2,Non core
10980,32,Core
10984,34,Non core
10987,8,Non core
10992,7,Non core
10998,2,Non core
10999,1,Non core
11006,2,Core
11011,4,Non core
11017,2,Non core
11022,12,Non core
11024,1,Core
11029,3,Core
11034,17,Core
11036,1,Non core
11042,2,Non core
11044,1,Non core
11045,4,Non core
11047,9,Non core
11057,1,Non core
11059,4,Non core
11061,2,Non core
11069,14,Non core
11075,5,Non core
11076,7,Core
11079,3,Non core
11081,9,Core
11082,23,Non core
11084,2,Non core
11085,10,Non core
11090,33,Core
11094,10,Non core
11096,5,Non core
11098,3,Non core
11105,142,Core
11109,26,Core
11110,5,Non core
11114,8,Non core
11132,3,Non core
11133,1,Non core
11135,1,Non core
11138,2,Non core
11151,8,Core
11153,2,Non core
11155,10,Core
11159,13,Non core
11163,1,Non core
11166,33,Non core
11171,3,Non core
11174,2,Non core
11176,4,Non core
11186,1,Non core
11189,7,Non core
11193,3,Non core
11194,2,Non core
11196,2,Non core
11197,4,Non core
11203,1,Non core
11207,2,Non core
11208,4,Non core
11215,3,Non core
11221,1,Non core
11224,5,Non core
11227,4,Non core
11235,10,Non core
11237,7,Non core
11238,4,Non core
11239,1,Non core
11240,2,Core
11253,1,Non core
11254,1,Non core
11255,2,Non core
11264,3,Non core
11268,17,Non core
11269,6,Non core
11278,18,Core
11279,22,Non core
11290,19,Non core
11292,20,Core
11297,12,Non core
11302,7,Non core
11303,21,Non core
11307,17,Non core
11312,2,Non core
11313,6,Non core
11317,8,Core
11324,3,Non core
11328,2,Non core
11333,3,Non core
11343,18,Core
11345,1,Non core
11347,8,Non core
11349,3,Non core
11355,1,Non core
11356,19,Core
11360,1,Non core
11361,2,Non core
11364,2,Non core
11365,1,Non core
11373,2,Non core
11387,6,Non core
11391,28,Non core
11397,9,Core
11399,1,Non core
11418,3,Non core
11420,2,Non core
11424,15,Non core
11425,1,Non core
11426,2,Non core
11427,8,Non core
11428,8,Non core
11433,4,Non core
11434,3,Non core
11444,26,Non core
11447,3,Non core
11457,2,Non core
11473,1,Non core
11479,5,Core
11482,2,Non core
11486,2,Non core
11489,2,Non core
11491,48,Non core
11495,1,Non core
11500,2,Non core
11503,6,Non core
11505,1,Non core
11509,2,Non core
11517,2,Non core
11521,2,Non core
11526,4,Non core
11530,9,Non core
11531,1,Non core
11533,2,Non core
11536,44,Core
11538,6,Core
11539,2,Non core
11546,3,Non core
11549,3,Non core
11555,1,Non core
11561,18,Core
11564,43,Core
11577,8,Non core
11580,7,Core
11582,1,Non core
11583,14,Core
11587,1,Non core
11589,21,Non core
11592,2,Non core
11599,2,Non core
11600,37,Core
11602,3,Non core
11603,4,Non core
11604,28,Core
11606,2,Non core
11610,5,Non core
11614,8,Non core
11616,3,Non core
11622,2,Non core
11624,1,Non core
11626,3,Non core
11628,53,Core
11636,2,Non core
11637,2,Non core
11638,9,Non core
11642,5,Non core
11647,3,Non core
11650,12,Non core
11651,1,Non core
11655,46,Core
11660,1,Non core
11661,1,Non core
11662,8,Non core
11667,1,Non core
11670,3,Non core
11671,5,Non core
11672,37,Non core
11673,2,Non core
11674,2,Core
11676,2,Non core
11681,1,Non core
11682,11,Core
11683,3,Non core
11685,4,Non core
11689,7,Non core
11692,12,Non core
11698,1,Non core
11701,2,Non core
11702,2,Non core
11704,5,Non core
11708,8,Non core
11711,3,Non core
11714,1,Non core
11716,13,Core
11730,2,Non core
11731,1,Non core
11737,2,Non core
11739,1,Non core
11744,3,Non core
11748,10,Core
11750,9,Non core
11751,3,Non core
11752,3,Non core
11753,2,Non core
11757,3,Non core
11758,5,Non core
11759,4,Non core
11762,3,Non core
11768,1,Non core
11774,2,Non core
11778,10,Core
11782,20,Non core
11783,2,Non core
11784,2,Non core
11787,2,Non core
11793,2,Non core
11794,1,Non core
11797,1,Non core
11798,2,Non core
11803,10,Non core
11804,2,Non core
11805,331,Non core
11809,12,Non core
11810,5,Non core
11813,2,Non core
11816,20,Non core
11819,8,Core
11820,3,Non core
11822,5,Non core
11825,2,Non core
11827,14,Core
11831,1,Non core
11832,4,Non core
11861,10,Core
11862,2,Non core
11864,3,Non core
11865,7,Non core
11869,44,Non core
11877,2,Non core
11878,11,Non core
11880,7,Non core
11881,3,Non core
11884,1,Non core
11885,4,Non core
11889,3,Non core
11892,1,Non core
11893,1,Non core
11895,2,Non core
11897,3,Non core
11898,10,Non core
11902,5,Non core
11903,7,Non core
11904,274,Core
11907,2,Non core
11913,1,Non core
11915,26,Core
11922,2,Non core
11923,3,Non core
11928,4,Non core
11929,11,Core
11933,1,Non core
11934,3,Non core
11941,5,Non core
11947,1,Non core
11952,12,Core
11956,4,Non core
11968,11,Non core
11969,9,Core
11970,3,Non core
11975,63,Core
11982,1,Non core
11997,3,Non core
12000,44,Non core
12004,1,Non core
12015,6,Non core
12021,24,Core
12022,4,Non core
12024,8,Non core
12028,2,Non core
12030,3,Non core
12035,1,Non core
12036,2,Non core
12038,20,Non core
12039,9,Non core
12043,1,Non core
12045,1,Non core
12050,2,Non core
12053,5,Non core
12056,2,Non core
12058,1,Non core
12060,1,Non core
12064,1,Non core
12069,1,Non core
12071,17,Non core
12076,12,Core
12080,10,Non core
12084,3,Non core
12087,1,Non core
12088,7,Non core
12092,7,Non core
12095,2,Non core
12100,6,Non core
12103,4,Non core
12108,5,Non core
12112,2,Non core
12114,5,Non core
12119,4,Non core
12124,2,Non core
12129,2,Non core
12133,5,Non core
12134,6,Non core
12135,1,Non core
12139,9,Non core
12140,4,Non core
12141,5,Non core
12149,11,Non core
12150,1,Non core
12156,2,Non core
12160,2,Non core
12171,29,Core
12175,17,Non core
12177,3,Non core
12178,2,Non core
12182,2,Non core
12184,10,Non core
12188,2,Non core
12190,2,Non core
12193,5,Core
12195,2,Non core
12196,5,Non core
12199,9,Non core
12200,14,Non core
12208,4,Non core
12211,3,Non core
12214,5,Non core
12215,1,Non core
12223,1,Non core
12231,2,Non core
12232,5,Core
12246,2,Non core
12255,2,Non core
12256,3,Non core
12259,8,Non core
12261,2,Non core
12271,2,Non core
12275,5,Non core
12279,1,Non core
12281,10,Non core
12283,2,Non core
12285,2,Non core
12293,2,Non core
12296,1,Non core
12297,4,Non core
12299,9,Non core
12307,1,Non core
12315,2,Non core
12320,6,Non core
12321,10,Core
12323,26,Non core
12325,2,Core
12326,1,Non core
12335,2,Non core
12337,1,Non core
12351,2,Non core
12355,3,Non core
12356,28,Core
12362,3,Non core
12363,20,Non core
12378,2,Non core
12382,8,Non core
12385,24,Non core
12388,6,Non core
12393,117,Core
12394,6,Core
12395,6,Core
12398,9,Non core
12400,5,Non core
12402,18,Non core
12403,7,Non core
12404,166,Core
12407,2,Non core
12408,8,Non core
12410,2,Non core
12411,1,Non core
12412,3,Non core
12415,3,Non core
12417,6,Non core
12428,1,Non core
12442,1,Non core
12443,1,Non core
12444,10,Non core
12454,2,Non core
12455,14,Core
12459,5,Core
12464,1,Non core
12473,2,Non core
12484,5,Non core
12485,4,Non core
12487,3,Non core
12511,1,Non core
12512,13,Non core
12513,2,Non core
12514,2,Non core
12516,2,Non core
12519,2,Non core
12524,3,Non core
12525,9,Non core
12536,1,Non core
12542,23,Non core
12545,2,Non core
12547,3,Non core
12548,1,Non core
12549,106,Non core
12555,1,Non core
12559,11,Non core
12561,14,Non core
12566,2,Non core
12578,2,Non core
12581,2,Non core
12582,4,Non core
12583,2,Non core
12586,2,Non core
12588,5,Non core
12597,22,Non core
12604,9,Core
12605,2,Non core
12606,11,Non core
12609,13,Non core
12612,12,Non core
12621,2,Non core
12624,2,Non core
12626,1,Non core
12631,2,Non core
12632,4,Non core
12634,6,Non core
12637,5,Non core
12640,10,Non core
12651,7,Core
12659,2,Non core
12661,14,Non core
12669,2,Non core
12670,4,Non core
12673,6,Non core
12686,19,Non core
12692,3,Non core
12693,4,Non core
12699,1,Non core
12707,1,Non core
12708,1,Non core
12711,1,Non core
12712,11,Non core
12715,29,Non core
12716,1,Non core
12721,1,Non core
12732,22,Non core
12736,36,Non core
12737,1,Non core
12742,1,Non core
12743,2,Non core
12749,5,Non core
12758,15,Non core
12767,5,Non core
12784,2,Non core
12800,2,Non core
12802,2,Non core
12804,2,Non core
12807,20,Non core
12811,1,Non core
12813,5,Non core
12814,5,Non core
12817,19,Core
12825,6,Non core
12826,30,Non core
12833,1,Non core
12834,1,Non core
12838,1,Non core
12840,2,Non core
12841,35,Non core
12847,1,Non core
12849,3,Non core
12850,12,Non core
12857,3,Non core
12860,23,Core
12861,3,Non core
12864,1,Non core
12866,3,Non core
12867,6,Non core
12869,2,Non core
12875,3,Non core
12882,3,Non core
12892,13,Non core
12898,369,Core
12905,1,Non core
12906,4,Non core
12907,13,Non core
12912,7,Non core
12920,1,Non core
12924,11,Non core
12927,13,Non core
12929,8,Non core
12930,4,Non core
12932,9,Non core
12936,1,Non core
12946,2,Non core
12947,3,Non core
12950,4,Non core
12951,1,Non core
12952,17,Non core
12953,2,Non core
12954,1,Non core
12955,3,Non core
12959,2,Non core
12962,1,Non core
12963,3,Non core
12970,1,Non core
12972,4,Non core
12974,2,Non core
12988,8,Non core
12994,3,Non core
12999,8,Non core
13001,5,Non core
13002,2,Non core
13009,12,Non core
13013,2,Non core
13024,1,Non core
13039,30,Non core
13046,1,Non core
13047,5,Non core
13055,8,Non core
13059,2,Non core
13063,13,Non core
13070,5,Core
13075,2,Non core
13082,5,Non core
13084,7,Non core
13086,2,Non core
13089,2,Non core
13095,60,Core
13103,1,Non core
13104,1,Non core
13105,2,Non core
13107,6,Non core
13108,1,Non core
13111,22,Non core
13114,1,Non core
13124,4,Non core
13134,7,Non core
13140,4,Non core
13149,8,Core
13152,2,Non core
13157,8,Non core
13158,5,Non core
13161,14,Non core
13167,3,Non core
13169,5,Non core
13176,3,Non core
13177,17,Non core
13178,15,Non core
13194,9,Non core
13201,3,Non core
13203,4,Non core
13206,2,Non core
13207,2,Non core
13210,1,Non core
13215,2,Non core
13227,4,Non core
13229,3,Non core
13248,10,Non core
13252,83,Core
13258,3,Non core
13273,6,Non core
13274,2,Core
13278,3,Non core
13289,5,Non core
13290,6,Non core
13291,3,Non core
13294,87,Core
13295,7,Non core
13297,1,Non core
13300,14,Non core
13305,1,Non core
13306,2,Non core
13318,7,Non core
13323,19,Non core
13325,3,Non core
13333,1,Non core
13334,1,Non core
13340,1,Non core
13341,2,Non core
13342,3,Non core
13343,6,Non core
13344,9,Non core
13354,7,Non core
13355,2,Non core
13362,11,Core
13367,1,Non core
13370,2,Non core
13372,4,Non core
13376,2,Non core
13380,12,Core
13384,1,Non core
13386,3,Non core
13390,1,Non core
13404,13,Non core
13409,4,Non core
13411,1,Non core
13413,1,Non core
13420,3,Non core
13425,15,Core
13426,4,Non core
13431,8,Non core
13438,13,Non core
13445,9,Non core
13447,2,Non core
13454,6,Non core
13458,2,Non core
13461,2,Non core
13463,3,Non core
13467,1,Non core
13470,1,Non core
13474,3,Non core
13478,19,Non core
13481,1,Non core
13484,1,Non core
13485,10,Non core
13487,2,Non core
13505,11,Non core
13510,2,Non core
13511,2,Non core
13516,3,Non core
13518,2,Non core
13520,2,Non core
13524,3,Non core
13525,5,Non core
13527,2,Non core
13530,1,Non core
13537,3,Non core
13539,3,Non core
13540,1,Non core
13546,2,Non core
13551,2,Non core
13555,1,Non core
13557,3,Non core
13560,9,Non core
13562,13,Non core
13564,4,Non core
13575,1,Non core
13587,2,Non core
13595,5,Non core
13606,1,Non core
13608,1,Non core
13609,4,Non core
13617,4,Non core
13623,1,Non core
13629,7,Core
13630,6,Non core
13634,2,Non core
13636,15,Non core
13637,9,Core
13642,5,Non core
13644,1,Non core
13655,3,Non core
13660,2,Non core
13662,5,Non core
13663,2,Non core
13664,7,Non core
13665,4,Non core
13667,4,Non core
13671,9,Non core
13686,97,Non core
13689,32,Non core
13692,11,Core
13693,1,Non core
13697,5,Non core
13702,38,Core
13717,5,Non core
13719,9,Non core
13720,3,Non core
13734,12,Core
13744,2,Non core
13747,9,Non core
13752,13,Non core
13755,1,Non core
13762,5,Non core
13768,1,Non core
13770,5,Core
13771,7,Non core
13777,4,Non core
13781,3,Core
13785,1,Non core
13786,3,Non core
13790,11,Non core
13795,1,Non core
13801,3,Non core
13805,2,Non core
13807,3,Non core
13809,1,Non core
13817,3,Non core
13819,3,Non core
13830,1,Non core
13833,1,Non core
13840,4,Non core
13845,2,Non core
13852,2,Non core
13861,122,Core
13868,5,Non core
13869,2,Non core
13873,5,Non core
13883,17,Non core
13887,2,Non core
13895,6,Non core
13900,5,Non core
13908,1,Non core
13909,1,Non core
13912,29,Non core
13915,7,Non core
13919,11,Non core
13923,2,Non core
13924,1,Non core
13925,3,Non core
13931,5,Non core
13933,4,Non core
13938,3,Non core
13940,18,Core
13948,8,Non core
13953,14,Non core
13962,21,Core
13968,3,Non core
13979,4,Non core
13988,6,Non core
13990,1,Non core
13995,34,Core
13997,22,Non core
13998,20,Non core
14000,2,Non core
14005,2,Non core
14007,25,Non core
14010,1,Non core
14015,1,Non core
14021,2,Non core
14024,1,Non core
14025,1,Non core
14027,20,Non core
14028,4,Non core
14029,2,Non core
14030,2,Non core
14033,3,Non core
14036,2,Non core
14037,1,Non core
14039,8,Non core
14049,1,Non core
14057,5,Non core
14059,1,Non core
14060,2,Non core
14063,3,Non core
14064,6,Non core
14070,49,Core
14071,2,Non core
14072,1,Non core
14078,1,Non core
14084,12,Non core
14090,2,Non core
14091,4,Core
14095,1,Non core
14099,2,Non core
14101,18,Core
14102,2,Non core
14103,4,Non core
14107,57,Core
14116,2,Non core
14118,1,Non core
14119,17,Core
14123,5,Non core
14124,7,Core
14131,11,Core
14132,1,Non core
14138,1,Non core
14151,62,Non core
14152,1,Non core
14154,6,Non core
14159,3,Non core
14162,11,Non core
14165,2,Non core
14167,6,Non core
14168,4,Non core
14173,8,Non core
14176,1,Non core
14186,2,Non core
14195,2,Non core
14200,29,Core
14202,1,Non core
14203,4,Core
14211,1,Non core
14228,5,Non core
14230,2,Non core
14232,13,Non core
14237,3,Non core
14248,2,Non core
14249,1,Non core
14250,37,Core
14252,1,Non core
14257,3,Non core
14265,3,Non core
14266,1,Non core
14269,2,Non core
14270,6,Non core
14271,2,Non core
14272,1,Non core
14273,8,Non core
14274,4,Non core
14287,10,Non core
14288,54,Core
14291,1,Non core
14305,7,Non core
14307,4,Non core
14314,1,Non core
14316,6,Non core
14318,2,Non core
14320,56,Non core
14339,3,Non core
14340,4,Core
14342,2,Non core
14345,3,Non core
14347,2,Non core
14348,3,Core
14352,19,Core
14355,3,Non core
14356,2,Non core
14358,10,Non core
14363,3,Non core
14365,3,Non core
14369,4,Non core
14372,2,Core
14374,2,Non core
14375,3,Non core
14377,2,Non core
14379,2,Non core
14387,1,Non core
14394,6,Core
14396,3,Non core
14405,1,Non core
14413,2,Non core
14421,7,Non core
14428,4,Non core
14439,3,Non core
14445,5,Non core
14447,12,Non core
14457,2,Non core
14473,5,Non core
14474,6,Non core
14475,1,Non core
14482,25,Core
14484,1,Non core
14485,1,Non core
14496,5,Non core
14508,3,Non core
14509,12,Core
14510,9,Non core
14511,5,Non core
14517,8,Non core
14522,2,Non core
14525,48,Core
14532,1,Non core
14535,3,Non core
14536,2,Non core
14538,4,Non core
14540,2,Non core
14543,14,Non core
14548,2,Non core
14551,3,Non core
14552,25,Non core
14556,6,Non core
14562,7,Non core
14565,1,Non core
14567,28,Non core
14570,10,Non core
14575,2,Non core
14576,5,Non core
14577,1,Non core
14578,4,Non core
14581,3,Core
14589,1,Non core
14591,5,Non core
14594,3,Non core
14598,3,Non core
14605,10,Core
14606,4,Non core
14610,9,Non core
14611,24,Non core
14614,14,Non core
14615,6,Non core
14620,2,Non core
14624,7,Non core
14643,5,Non core
14648,2,Non core
14649,2,Non core
14652,2,Non core
14653,1,Non core
14655,4,Non core
14656,1,Non core
14668,2,Non core
14675,4,Non core
14676,15,Non core
14680,5,Non core
14689,3,Non core
14691,6,Non core
14692,1,Non core
14700,2,Non core
14702,3,Non core
14708,4,Non core
14711,1,Non core
14720,1,Non core
14726,4,Non core
14732,1,Non core
14743,1,Non core
14744,3,Non core
14749,3,Non core
14753,1,Non core
14757,7,Non core
14758,11,Non core
14760,31,Non core
14762,8,Non core
14764,7,Non core
14766,3,Non core
14768,5,Non core
14777,1,Non core
14779,2,Non core
14786,1,Non core
14790,24,Core
14795,2,Non core
14802,1,Non core
14805,64,Non core
14806,11,Core
14807,11,Non core
14810,6,Non core
14815,1,Non core
14819,8,Non core
14823,3,Non core
14824,2,Non core
14826,48,Core
14829,3,Non core
14831,4,Non core
14838,2,Non core
14840,5,Non core
14844,3,Non core
14852,3,Non core
14862,2,Non core
14863,2,Non core
14865,2,Non core
14867,72,Non core
14870,1,Non core
14884,1,Non core
14885,23,Core
14887,3,Non core
14888,3,Non core
14890,2,Non core
14891,3,Non core
14892,12,Non core
14900,1,Non core
14907,2,Non core
14908,1,Non core
14917,1,Non core
14920,2,Non core
14923,5,Non core
14924,3,Non core
14926,5,Non core
14927,2,Non core
14937,25,Non core
14943,3,Non core
14946,5,Non core
14947,8,Non core
14955,5,Non core
14957,5,Non core
14962,6,Non core
14963,3,Non core
14965,1,Non core
14966,2,Non core
14967,1,Non core
14971,1,Non core
14972,4,Non core
14973,3,Non core
14976,2,Non core
14981,3,Non core
14985,127,Core
14991,2,Non core
15000,1,Non core
15002,4,Non core
15005,1,Non core
15007,2,Core
15027,10,Non core
15028,2,Non core
15029,1,Non core
15041,2,Non core
15054,39,Core
15062,5,Non core
15064,2,Non core
15068,3,Non core
15069,2,Non core
15070,8,Non core
15074,2,Non core
15077,1,Non core
15085,2,Non core
15095,4,Non core
15100,9,Non core
15101,3,Non core
15106,2,Non core
15113,1,Non core
15122,8,Non core
15123,6,Non core
15125,2,Non core
15129,2,Non core
15130,3,Non core
15140,3,Non core
15142,1,Non core
15149,2,Non core
15168,27,Core
15171,6,Non core
15173,1,Non core
15178,2,Non core
15192,3,Non core
15197,72,Core
15206,4,Non core
15209,5,Non core
15222,5,Non core
15225,11,Non core
15226,2,Non core
15232,1,Core
15233,3,Non core
15237,7,Non core
15241,2,Non core
15243,1,Non core
15248,2,Non core
15254,2,Non core
15259,5,Core
15263,1,Non core
15272,1,Non core
15274,4,Non core
15279,8,Non core
15280,2,Non core
15285,3,Non core
15287,2,Non core
15293,6,Core
15299,7,Non core
15304,1,Non core
15307,2,Non core
15309,24,Non core
15311,6,Non core
15313,1,Non core
15315,4,Non core
15321,6,Non core
15326,4,Non core
15333,5,Non core
15334,113,Core
15335,1,Non core
15338,1,Non core
15339,1,Non core
15341,1,Non core
15342,5,Non core
15343,34,Core
15346,2,Core
15353,4,Non core
15356,1,Non core
15358,1,Non core
15359,7,Non core
15361,2,Non core
15362,4,Non core
15371,8,Non core
15372,2,Non core
15373,2,Non core
15382,8,Non core
15383,1,Non core
15388,2,Non core
15405,1,Non core
15409,4,Non core
15415,1,Non core
15424,19,Non core
15426,2,Non core
15427,5,Non core
15429,4,Non core
15439,3,Non core
15447,6,Non core
15452,2,Non core
15454,8,Non core
15465,2,Non core
15470,4,Non core
15471,25,Non core
15482,2,Non core
15488,4,Non core
15492,9,Non core
15497,1,Non core
15501,3,Non core
15502,1,Non core
15513,1,Non core
15514,1,Non core
15515,5,Core
15518,4,Non core
15519,73,Core
15524,8,Non core
15526,4,Non core
15527,2,Non core
15550,1,Non core
15554,22,Non core
15637,4,Non core
15640,9,Non core
15642,2,Non core
15644,3,Non core
15648,5,Non core
15653,1,Non core
15660,2,Non core
15672,14,Non core
15675,1,Non core
15685,23,Non core
15692,3,Non core
15695,8,Non core
15697,3,Non core
15699,50,Non core
15701,4,Non core
15729,2,Non core
15736,4,Non core
15739,2,Non core
15742,9,Non core
15750,7,Non core
15755,7,Non core
15760,3,Non core
15763,1,Non core
15778,1,Non core
15799,6,Non core
15804,2,Non core
15808,1,Non core
15820,2,Non core
15822,1,Non core
15823,1,Non core
15825,3,Non core
15830,3,Non core
15832,1,Non core
15834,6,Non core
15847,5,Non core
15851,2,Non core
15852,2,Non core
15854,1,Non core
15857,6,Core
15862,1,Non core
15867,3,Non core
15881,6,Non core
15882,2,Non core
15888,29,Non core
15895,17,Core
15902,2,Non core
15903,4,Non core
15904,4,Non core
15905,179,Core
15907,5,Non core
15910,2,Non core
15914,1,Non core
15917,11,Non core
15921,4,Non core
15922,4,Non core
15929,3,Non core
15932,2,Non core
15934,3,Non core
15935,4,Non core
15943,2,Non core
15944,2,Non core
15950,8,Non core
15961,6,Non core
15966,2,Non core
15967,7,Non core
15984,5,Core
15993,20,Core
16006,16,Non core
16011,21,Core
