rev_status,count
Not core,23
Not core,2
Not core,1
Not core,1
Not core,21
Core,1394
Not core,25
Not core,115
Not core,5
Not core,2
Not core,215
Core,4689
Not core,1
Not core,20
Not core,1
Not core,5
Not core,5
Not core,1
Not core,3
Not core,46
Not core,31
Not core,2
Not core,80
Not core,28
Not core,39
Not core,20
Not core,710
Not core,87
Core,4486
Not core,21
Core,2187
Not core,4
Not core,21
Not core,43
Not core,20
Not core,73
Not core,2
Not core,54
Not core,7
Not core,4
Not core,719
Not core,2
Not core,4
Not core,5
Core,6357
Not core,3
Not core,136
Not core,5
Not core,1816
Not core,1633
Not core,7
Not core,5
Not core,103
Core,4273
Not core,46
Not core,2
Not core,7
Not core,69
Core,1587
Core,224
Not core,138
Not core,197
Not core,1
Not core,5
Not core,2860
Not core,1
Not core,1
Not core,6
Not core,1
Not core,4
Not core,2
Not core,1
Not core,2
Not core,9
Not core,1417
Not core,8
Not core,772
Core,142
Not core,1
Not core,869
Not core,22
Not core,1
Not core,320
Not core,1
Not core,96
Not core,1
Not core,386
Not core,95
Not core,13
Core,3281
Not core,13
Core,11405
Not core,47
Not core,2
Not core,812
Not core,1
Core,156
Not core,1
Not core,36
Not core,7
Core,3252
Not core,85
Not core,8
Not core,7
Not core,2022
Not core,2
Not core,17
Not core,295
Not core,18
Not core,1
Core,3763
Core,1282
Not core,186
Core,2799
Core,1822
Not core,9
Not core,4
Not core,3
Not core,171
Not core,2
Not core,13
Core,3337
Core,356
Not core,19
Not core,2
Not core,2
Not core,72
Not core,4
Core,2779
Not core,5
Core,113
Not core,340
Not core,4
Not core,1
Not core,3256
Not core,1095
Not core,4
Not core,2
Not core,323
Not core,139
Not core,585
Not core,127
Not core,133
Core,6132
Not core,9
Not core,52
Not core,67
Core,4736
Not core,29
Not core,277
Core,6713
Core,2957
Not core,2
Not core,469
Not core,9
Not core,15
Not core,133
Not core,3
Not core,1
Not core,190
Not core,13
Not core,334
Core,176
Not core,1946
Not core,1
Core,944
Not core,92
Not core,1
Core,1908
Not core,34
Not core,3
Core,737
Not core,58
Not core,166
Not core,2
Not core,48
Core,1193
Not core,309
Not core,25
Core,906
Core,764
Not core,21
Not core,1
Not core,31
Not core,16
Core,2361
Not core,39
Not core,1676
Core,8354
Core,3184
Not core,1
Not core,4496
Not core,1
Core,2881
Not core,1
Not core,4400
Not core,314
Not core,24
Not core,18
Not core,177
Not core,5
Not core,1
Not core,37
Not core,51
Not core,35
Not core,124
Not core,1
Not core,1
Not core,33
Not core,3203
Not core,106
Not core,265
Not core,1
Not core,45
Not core,77
Not core,42
Not core,16
Core,5559
Not core,2
Not core,12
Not core,4
Not core,4
Not core,28
Core,28621
Not core,883
Not core,69
Not core,2
Not core,541
Not core,1
Core,382
Not core,1
Not core,2
Not core,197
Not core,2
Not core,4
Core,3248
Not core,23
Not core,974
Not core,46
Not core,1
Not core,27
Not core,6
Not core,199
Core,6712
Core,2228
Not core,348
Not core,4
Not core,54
Not core,2
Not core,66
Core,960
Core,1902
Not core,1
Core,4003
Not core,187
Core,726
Not core,25
Not core,1
Not core,23
Not core,1
Not core,15
Not core,447
Core,1347
Not core,253
Not core,2
Not core,26
Core,161
Core,349
Not core,1
Not core,1
Not core,4
Not core,1710
Not core,30
Core,270
Not core,1
Not core,50
Not core,35
Not core,16
Not core,1601
Core,718
Not core,26
Not core,2305
Not core,111
Not core,3
Not core,233
Not core,10
Not core,5
Not core,11
Not core,75
Not core,123
Not core,2
Not core,84
Not core,137
Not core,14
Not core,9
Not core,1
Not core,17
Not core,3
Not core,1
Not core,115
Not core,142
Not core,4
Not core,3433
Not core,83
Not core,369
Not core,16
Not core,7
Not core,4
Core,2876
Not core,7
Not core,486
Not core,563
Not core,29
Not core,4
Not core,1
Not core,36
Not core,394
Not core,40
Not core,1
Not core,13
Not core,12
Core,1123
Not core,13
Not core,4
Not core,3
Not core,18
Not core,1655
Core,5141
Not core,1
Not core,20
Not core,2
Not core,507
Not core,55
Not core,5580
Not core,1128
Core,289
Not core,4374
Not core,9
Not core,5
Not core,137
Not core,524
Not core,641
Not core,20
Not core,1
Core,15685
Not core,41
Not core,180
Not core,153
Not core,22
Not core,5
Not core,4
Core,456
Not core,185
Not core,53
Not core,1
Not core,157
Not core,8
Not core,29
Not core,1159
Not core,12
Not core,3
Not core,3
Core,5795
Not core,4
Not core,96
Not core,19
Core,11644
Not core,1
Not core,220
Not core,2
Not core,1
Not core,10
Core,90
Not core,4
Core,118
Not core,58
Not core,2
Not core,51
Not core,344
Not core,1
Not core,2
Not core,90
Not core,37
Not core,2
Core,1899
Not core,215
Not core,4
Not core,412
Not core,1573
Core,10181
Core,6455
Not core,14
Not core,1
Not core,3
Not core,13
Not core,6
Not core,81
Not core,18
Not core,1
Not core,182
Not core,392
Not core,30
Not core,14
Not core,3
Not core,1190
Not core,3
Not core,1
Not core,481
Not core,235
Core,966
Not core,276
Not core,42
Not core,2
Not core,1
Not core,92
Not core,362
Core,191
Not core,101
Not core,2
Not core,1
Not core,11
Not core,8
Not core,713
Core,486
Not core,3
Not core,198
Core,884
Not core,8
Not core,37
Core,363
Not core,49
Not core,1067
Core,410
Not core,193
Not core,36
Not core,8
Not core,15
Not core,1
Not core,1
Not core,94
Not core,15
Not core,17
Not core,324
Not core,367
Not core,83
Not core,10
Not core,2
Not core,886
Not core,108
Not core,504
Not core,10
Not core,20
Not core,2
Core,468
Not core,859
Not core,1
Core,1391
Not core,1
Not core,37
Not core,336
Not core,300
Not core,1
Not core,2
Not core,1
Not core,15
Not core,1
Core,4120
Not core,1
Not core,677
Not core,91
Not core,6
Not core,2
Core,7494
Not core,6
Not core,13
Not core,2150
Not core,390
Not core,1
Not core,1805
Not core,92
Not core,737
Not core,50
Not core,16
Not core,522
Not core,982
Not core,81
Not core,319
Not core,255
Not core,8570
Not core,1
Not core,1
Not core,110
Not core,4
Not core,2075
Not core,1557
Not core,3
Not core,546
Not core,12
Core,3623
Not core,25
Not core,762
Not core,84
Not core,140
Not core,1
Not core,2
Not core,243
Not core,91
Not core,80
Not core,78
Not core,16
Not core,2003
Not core,1
Core,839
Core,2547
Not core,2
Core,7045
Not core,3
Not core,11
Not core,128
Not core,2
Not core,1299
Not core,315
Not core,59
Not core,3
Not core,6
Not core,2
Core,3078
Core,2000
Not core,1636
Not core,4
Core,674
Not core,8
Core,14
Core,1172
Not core,148
Not core,13
Not core,83
Not core,596
Not core,18
Core,1877
Not core,887
Not core,1
Not core,982
Not core,1
Core,7
Not core,716
Not core,78
Not core,1
Not core,2
Core,48
Not core,3
Not core,5
Not core,23
Not core,17
Not core,8
Not core,5
Not core,856
Not core,126
Not core,1
Not core,16
Not core,3
Not core,1281
Not core,4
Not core,12
Not core,3
Not core,122
Not core,1
Not core,4
Not core,2
Not core,1
Not core,101
Not core,100
Not core,7
Not core,1
Not core,182
Not core,2141
Core,14637
Not core,167
Not core,2
Not core,5
Not core,36
Not core,1
Not core,370
Not core,64
Core,1287
Not core,1
Not core,4
Not core,1
Core,2689
Not core,158
Not core,3
Not core,34
Not core,4
Not core,8
Not core,111
Not core,57
Not core,29
Not core,264
Not core,3
Not core,1
Core,1979
Not core,5
Not core,23
Not core,18
Core,1467
Core,683
Not core,13
Not core,1
Not core,285
Not core,2
Not core,1
Core,1317
Core,49
Not core,20
Not core,6
Not core,6
Not core,7
Not core,2
Not core,2354
Core,164
Not core,4
Not core,2
Not core,248
Not core,163
Not core,2
Not core,5
Not core,1927
Not core,341
Not core,70
Not core,109
Not core,24
Not core,12
Not core,580
Not core,343
Not core,1
Not core,7
Not core,1
Core,58
Core,2905
Not core,2
Not core,1089
Not core,1406
Not core,219
Not core,25
Not core,2
Not core,331
Not core,803
Core,60
Not core,23
Not core,1
Not core,1
Not core,23
Not core,24
Not core,364
Core,1508
Not core,203
Not core,74
Not core,6
Not core,1
Not core,144
Not core,1
Core,9
Not core,2208
Not core,79
Not core,815
Not core,11
Not core,1
Not core,922
Not core,6
Core,65
Not core,14
Not core,2
Not core,1
Not core,535
Not core,2
Not core,117
Not core,665
Not core,1
Not core,560
Not core,8
Not core,2
Not core,37
Not core,5
Not core,55
Not core,83
Not core,827
Not core,8
Not core,1413
Not core,914
Not core,15
Not core,99
Not core,5
Not core,2
Not core,1
Not core,7
Not core,37
Not core,17
Not core,4
Not core,189
Not core,2
Core,5559
Not core,4
Not core,189
Not core,27
Not core,21
Not core,7
Not core,2
Not core,7
Not core,9
Not core,86
Not core,143
Core,1782
Not core,1
Not core,1
Not core,21
Not core,82
Not core,1
Not core,1
Not core,639
Not core,177
Not core,64
Not core,38
Not core,2
Not core,22
Not core,2233
Not core,24
Not core,32
Not core,9
Not core,45
Not core,1843
Not core,1343
Not core,82
Not core,1890
Not core,17
Not core,2
Not core,1
Core,2201
Not core,18
Not core,705
Core,1565
Not core,4
Core,2645
Not core,54
Not core,4
Not core,51
Core,5006
Not core,82
Not core,1
Not core,7
Not core,48
Not core,13
Not core,6
Not core,294
Not core,284
Not core,491
Not core,3
Core,670
Not core,131
Not core,149
Not core,477
Not core,14
Not core,14
Not core,54
Not core,54
Core,4826
Not core,1053
Not core,30
Not core,5
Not core,25
Not core,2
Not core,2
Not core,21
Not core,1282
Not core,535
Not core,106
Not core,76
Not core,25
Not core,3
Not core,1
Not core,826
Not core,130
Not core,4
Not core,54
Not core,2
Not core,18
Not core,8
Not core,1
Not core,4
Core,1811
Not core,13
Not core,5
Not core,33
Not core,4
Not core,81
Not core,44
Not core,1
Not core,3
Not core,921
Not core,72
Not core,15
Not core,654
Not core,87
Not core,78
Not core,10
Not core,4
Not core,6
Not core,1
Not core,4
Not core,22
Not core,14
Not core,6
Not core,25
Not core,2
Not core,19
Not core,3
Not core,5
Not core,9
Core,365
Not core,1
Not core,1766
Not core,21
Not core,7
Not core,3
Not core,101
Not core,3
Not core,56
Not core,10
Not core,281
Not core,4
Not core,6
Not core,1
Not core,31
Not core,19
Not core,8
Not core,2
Not core,117
Not core,2
Not core,1
Not core,1
Core,2284
Not core,1
Not core,25
Not core,98
Not core,2
Not core,107
Not core,5
Not core,2
Not core,56
Not core,54
Not core,2
Not core,38
Not core,7
Not core,130
Core,130
Not core,63
Not core,4
Not core,660
Not core,575
Not core,273
Not core,2
Not core,1
Not core,1
Not core,6
Not core,88
Not core,1
Not core,141
Not core,9
Not core,8
Not core,28
Not core,1651
Not core,371
Not core,3628
Not core,1
Not core,5
Not core,45
Not core,4
Not core,131
Not core,553
Not core,9
Core,223
Core,224
Not core,2
Not core,71
Not core,2
Not core,23
Not core,1
Not core,100
Not core,13
Not core,1
Not core,171
Not core,53
Not core,58
Not core,1628
Not core,1277
Not core,96
Not core,5
Not core,476
Not core,1
Not core,1
Not core,7
Core,3270
Not core,46
Not core,1
Not core,3
Not core,1296
Not core,12
Not core,61
Not core,298
Not core,63
Core,1980
Core,789
Not core,1831
Core,699
Core,416
Core,1413
Not core,4
Not core,3
Not core,209
Not core,3
Not core,1
Not core,1
Not core,604
Not core,2
Not core,1
Not core,9
Not core,65
Not core,16
Not core,45
Not core,568
Not core,595
Not core,75
Not core,216
Not core,1
Not core,1
Not core,4
Not core,44
Not core,922
Not core,931
Not core,12
Not core,2
Not core,7
Not core,5
Not core,72
Not core,1
Not core,1
Not core,2
Core,336
Not core,1070
Not core,1
Not core,1
Not core,117
Not core,78
Not core,1
Not core,2
Core,2275
Not core,517
Core,1375
Not core,1
Not core,4
Not core,1
Not core,2
Not core,16
Not core,5
Not core,1
Core,5468
Not core,629
Not core,21
Not core,7
Not core,6
Not core,1011
Not core,2
Not core,131
Not core,7
Core,141
Not core,4
Not core,1
Not core,1
Not core,538
Not core,38
Not core,248
Not core,9
Not core,57
Not core,37
Not core,1
Not core,2755
Not core,1166
Not core,12
Not core,8
Core,1897
Not core,36
Not core,145
Not core,71
Not core,5
Not core,420
Not core,14
Not core,5
Not core,1
Not core,6
Not core,1
Not core,9
Core,3084
Not core,1
Not core,91
Not core,1
Not core,8
Not core,1
Not core,2
Not core,107
Core,77
Core,496
Not core,29
Core,298
Not core,6
Not core,1
Not core,38
Not core,853
Not core,18
Not core,1
Core,1724
Not core,48
Not core,4
Not core,8
Not core,10
Not core,2
Core,2799
Not core,1091
Not core,9
Not core,3
Not core,81
Not core,1512
Not core,2038
Not core,610
Not core,56
Not core,790
Not core,17
Not core,2
Not core,4
Not core,32
Not core,270
Not core,3
Not core,4
Core,13
Not core,25
Not core,98
Not core,2
Not core,10
Not core,13
Core,326
Not core,51
Core,7737
Not core,2
Not core,1
Not core,17
Not core,2
Not core,5
Not core,1
Not core,1
Not core,189
Core,4273
Not core,1
Not core,2
Core,541
Not core,2
Not core,7
Not core,9
Not core,7
Not core,1
Not core,1
Not core,30
Not core,643
Not core,1
Not core,14
Not core,1
Not core,107
Not core,1
Not core,27
Not core,9
Not core,6
Not core,1
Not core,26
Not core,1062
Not core,113
Not core,66
Not core,89
Core,1326
Not core,3
Not core,7
Not core,2
Core,10017
Not core,3
Core,4
Not core,7
Not core,467
Not core,2
Not core,363
Not core,63
Not core,1
Not core,1
Not core,213
Not core,16
Not core,2
Not core,2
Not core,78
Not core,2
Not core,1060
Not core,31
Not core,1
Not core,2
Core,411
Not core,1
Not core,16
Not core,66
Not core,45
Not core,31
Core,969
Not core,77
Not core,21
Not core,1
Not core,1
Not core,87
Not core,44
Not core,1123
Not core,72
Core,1335
Not core,1
Not core,51
Core,1018
Core,2165
Not core,10
Not core,557
Not core,3
Not core,3
Not core,1
Not core,114
Not core,10
Not core,66
Not core,11
Not core,853
Not core,11
Not core,11
Not core,1
Not core,1
Not core,14
Not core,1
Not core,1
Not core,11
Core,18
Core,530
Not core,6
Core,538
Core,4218
Not core,39
Core,2785
Not core,1471
Not core,1
Not core,4
Not core,44
Not core,308
Not core,7
Core,2769
Not core,1
Not core,38
Not core,437
Core,1906
Not core,163
Not core,271
Not core,890
Not core,2
Not core,3
Core,1088
Core,755
Not core,3
Not core,14
Not core,117
Not core,29
Core,4412
Not core,1774
Not core,1448
Not core,1758
Not core,3
Not core,48
Not core,47
Core,843
Not core,2
Not core,296
Not core,174
Not core,9
Not core,1
Not core,1
Not core,5
Not core,2
Not core,434
Not core,4
Not core,529
Not core,36
Not core,8
Core,4705
Not core,2
Not core,1
Not core,524
Not core,177
Not core,58
Not core,30
Core,859
Not core,2478
Not core,1
Not core,22
Not core,116
Not core,12
Core,590
Core,673
Not core,87
Not core,621
Not core,19
Not core,13858
Not core,4
Not core,1265
Not core,175
Not core,54
Core,1154
Not core,2
Not core,1
Core,3832
Not core,1
Not core,4
Not core,11
Not core,32
Not core,29
Not core,89
Core,2578
Not core,2
Core,1505
Not core,9
Not core,9
Core,266
Not core,158
Not core,1
Not core,2
Not core,18
Not core,93
Not core,1270
Core,2230
Not core,2
Not core,445
Not core,1
Not core,59
Not core,403
Not core,1
Not core,4
Not core,590
Not core,4
Not core,246
Not core,2
Not core,396
Not core,181
Not core,191
Not core,2
Not core,180
Not core,1
Not core,497
Not core,874
Not core,124
Not core,296
Not core,10
Not core,1394
Not core,21
Not core,1
Not core,58
Not core,9
Not core,7
Not core,1
Core,3761
Not core,1
Not core,21
Not core,8
Not core,1
Not core,1
Not core,257
Not core,7
Core,12
Not core,2
Not core,6
Not core,1972
Core,13
Not core,13
Not core,6
Not core,157
Not core,1
Not core,72
Not core,60
Not core,17
Not core,5
Not core,8
Not core,180
Not core,1124
Not core,72
Not core,1
Not core,60
Not core,28
Not core,58
Not core,35
Not core,22
Not core,1
Not core,9
Not core,1
Core,29
Not core,82
Not core,15
Not core,1
Not core,2
Not core,16
Not core,2
Not core,1144
Not core,81
Not core,101
Core,568
Not core,173
Core,329
Not core,23
Not core,240
Not core,1121
Not core,1
Not core,11
Not core,107
Not core,1
Not core,6
Not core,3
Not core,6
Not core,2
Not core,35
Not core,66
Not core,9
Not core,1
Not core,1
Not core,20
Not core,1
Not core,299
Not core,1
Not core,9
Not core,20
Not core,1
Not core,85
Not core,135
Core,1647
Not core,40
Not core,3
Not core,1
Core,911
Not core,363
Not core,14
Not core,11
Not core,139
Not core,1
Not core,243
Not core,93
Not core,95
Not core,34
Not core,166
Not core,17
Not core,44
Not core,42
Not core,78
Core,259
Not core,17
Core,22
Not core,68
Not core,7
Not core,5
Not core,2
Not core,60
Not core,3
Not core,101
Not core,19
Not core,4
Not core,28
Not core,50
Not core,1
Not core,1
Not core,683
Not core,2
Core,448
Core,668
Not core,3
Not core,10
Not core,17
Not core,4
Not core,4
Not core,211
Not core,150
Not core,92
Not core,143
Not core,13
Not core,2
Not core,236
Core,94
Not core,2
Not core,7
Not core,2
Not core,15
Not core,1
Not core,3
Not core,1
Not core,11
Not core,3
Not core,4
Not core,26
Core,1948
Not core,4
Core,704
Core,523
Not core,54
Not core,552
Core,1572
Not core,1
Not core,11
Core,154
Not core,13
Not core,1
Not core,179
Not core,1
Not core,9
Not core,11
Not core,1
Not core,22
Not core,24
Not core,1
Not core,28
Not core,1
Not core,21
Not core,3
Not core,199
Not core,3
Not core,29
Not core,1
Not core,228
Not core,1
Core,760
Not core,439
Not core,327
Not core,213
Not core,47
Core,1249
Not core,41
Core,2459
Not core,48
Not core,278
Not core,261
Not core,2
Not core,34
Not core,325
Not core,33
Not core,1060
Not core,42
Not core,6926
Not core,15
Not core,20
Not core,2
Not core,381
Not core,190
Not core,10
Not core,3
Not core,14
Not core,1037
Not core,4
Not core,639
Not core,3
Not core,24
Not core,3
Not core,1
Not core,163
Not core,61
Not core,103
Not core,27
Not core,379
Not core,26
Not core,138
Not core,8
Not core,1
Not core,23
Not core,2
Not core,2
Not core,2
Not core,9
Not core,1
Not core,13
Not core,387
Not core,9
Not core,5
Not core,1
Core,175
Not core,45
Core,1205
Not core,25
Not core,1231
Not core,1
Not core,1
Not core,34
Not core,110
Not core,11
Not core,211
Core,1230
Not core,2
Not core,316
Core,2472
Not core,36
Core,412
Not core,1
Core,2182
Core,3269
Not core,429
Core,326
Not core,311
Not core,179
Not core,47
Not core,4
Not core,5
Not core,666
Not core,16
Not core,4
Not core,46
Not core,57
Core,1137
Not core,51
Not core,1
Not core,5
Not core,3
Not core,663
Not core,6
Not core,92
Core,2184
Not core,15
Not core,15
Not core,74
Core,510
Not core,491
Not core,2
Core,559
Not core,5369
Not core,1
Not core,11
Not core,1
Not core,26
Not core,195
Not core,1
Not core,20
Not core,1
Core,145
Not core,23
Not core,1742
Not core,102
Not core,199
Core,687
Not core,16
Not core,1
Not core,53
Not core,2
Not core,26
Not core,1
Not core,294
Not core,39
Not core,149
Core,132
Not core,16
Not core,1
Not core,3
Not core,6206
Not core,1
Not core,6
Not core,304
Not core,3
Not core,1688
Not core,1
Not core,1
Not core,8
Not core,75
Not core,13
Not core,78
Not core,66
Not core,2
Not core,2
Not core,3
Not core,13
Not core,9
Not core,34
Not core,1
Core,4119
Not core,2831
Not core,1
Core,383
Not core,4
Not core,8
Not core,8
Not core,134
Not core,1
Not core,1195
Not core,364
Not core,236
Not core,66
Not core,59
Not core,1
Not core,7
Core,9
Not core,19
Not core,1
Not core,2
Not core,37
Not core,1
Not core,1
Not core,108
Not core,15
Not core,1
Not core,308
Core,584
Not core,5
Core,3594
Not core,30
Not core,2
Not core,1
Not core,1
Not core,11
Core,5610
Core,1167
Not core,1
Not core,1
Not core,42
Not core,8
Not core,1
Not core,7
Not core,4
Not core,1
Not core,23
Not core,1
Not core,26
Not core,1
Not core,1
Not core,9
Not core,9
Not core,4
Not core,15
Not core,77
Core,1660
Not core,3
Not core,2
Not core,30
Not core,3
Not core,49
Not core,9
Not core,23
Not core,3
Not core,29
Not core,2
Not core,39
Not core,2
Not core,1
Not core,248
Not core,3
Not core,1
Not core,1
Not core,23
Not core,117
Not core,423
Not core,11
Not core,19
Core,3380
Not core,1045
Not core,73
Not core,58
Not core,857
Not core,166
Not core,2
Not core,36
Not core,4
Not core,136
Not core,2
Not core,9
Not core,1
Not core,26
Not core,32
Not core,1
Not core,376
Not core,142
Not core,1
Not core,42
Not core,1
Not core,4
Core,1743
Not core,1
Not core,58
Core,1295
Not core,12
Not core,226
Not core,3
Not core,652
Not core,83
Core,1117
Not core,4
Not core,2711
Not core,5
Not core,1
Not core,7
Not core,9
Not core,42
Not core,4
Not core,16
Not core,35
Not core,1
Not core,15
Not core,1
Not core,2
Not core,1
Not core,20
Not core,3
Not core,4
Not core,25
Not core,4
Not core,40
Not core,846
Not core,6
Not core,268
Not core,89
Not core,144
Core,14
Core,2896
Core,2602
Not core,21
Not core,3
Not core,1
Not core,25
Not core,21
Not core,8
Not core,5
Not core,2
Not core,41
Not core,1
Not core,6
Not core,20
Not core,23
Not core,1
Not core,11
Not core,7
