owner_account_id,service,dev_status
6722,15,Non core
6724,6,Non core
6728,3,Non core
6732,22,Core
6735,8,Non core
6737,14,Non core
6739,1,Non core
6743,4,Non core
6754,7,Non core
6758,1,Non core
6759,1,Non core
6760,2,Non core
6761,2,Non core
6763,21,Core
6767,1,Non core
6769,2,Non core
6772,7,Non core
6773,15,Core
6781,1,Non core
6783,4,Non core
6785,2,Non core
6786,23,Non core
6788,3,Non core
6794,9,Core
6796,11,Non core
6798,2,Non core
6799,2,Non core
6800,1,Non core
6802,4,Non core
6804,1,Non core
6807,2,Non core
6816,22,Core
6820,2,Non core
6823,2,Non core
6825,5,Non core
6828,3,Non core
6834,1,Non core
6835,10,Core
6836,4,Non core
6838,1,Non core
6843,2,Non core
6847,1,Non core
6849,14,Non core
6850,1,Non core
6851,5,Non core
6854,15,Core
6857,1,Non core
6859,2,Non core
6873,30,Core
6876,7,Non core
6877,2,Non core
6880,1,Non core
6882,1,Core
6886,3,Non core
6889,5,Core
6890,2,Non core
6896,2,Non core
6899,10,Non core
6902,1,Non core
6904,7,Non core
6908,6,Non core
6912,2,Non core
6914,4,Core
6917,6,Non core
6918,1,Non core
6923,4,Non core
6924,15,Non core
6926,8,Core
6928,21,Core
6938,3,Non core
6939,1,Non core
6943,1,Non core
6944,1,Non core
6948,3,Non core
6949,1,Non core
6950,1,Non core
6951,2,Non core
6962,7,Non core
6967,2,Non core
6968,11,Core
6969,5,Non core
6971,3,Non core
6981,5,Non core
6983,9,Non core
6984,4,Core
6987,1,Non core
6992,1,Non core
6993,2,Non core
6994,5,Non core
6995,1,Core
6999,1,Non core
7002,21,Non core
7007,5,Core
7008,1,Non core
7010,3,Non core
7012,10,Core
7016,6,Non core
7018,3,Core
7020,4,Non core
7021,2,Non core
7028,2,Non core
7037,3,Non core
7038,2,Non core
7039,1,Non core
7040,2,Non core
7042,5,Non core
7045,1,Non core
7049,7,Non core
7051,4,Non core
7052,4,Non core
7060,1,Non core
7063,3,Core
7065,7,Non core
7069,6,Core
7073,9,Non core
7075,9,Non core
7080,6,Non core
7094,1,Non core
7096,2,Non core
7102,38,Core
7104,1,Non core
7109,3,Non core
7116,3,Non core
